Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
u3,1,0.01492,5.925926,[4 8] ; [14  4],[7.2 4.8] ; [10.8  7.2],0
d5,1,0.322337,0.979441,[38  9] ; [28 11],[36.06976744 10.93023256] ; [29.93023256  9.06976744],0
a5,1,0.336301,0.924482,[35 12] ; [26 14],[32.95402299 14.04597701] ; [28.04597701 11.95402299],0
r2,1,0.341093,0.90632,[43  3] ; [35  5],[41.72093023  4.27906977] ; [36.27906977  3.72093023],0
d3,1,0.409133,0.681317,[26 21] ; [25 14],[27.87209302 19.12790698] ; [23.12790698 15.87209302],0
p3,1,0.445575,0.581884,[16 31] ; [16 22],[17.69411765 29.30588235] ; [14.30588235 23.69411765],0
a6,1,0.462229,0.540491,[29 18] ; [21 18],[27.3255814 19.6744186] ; [22.6744186 16.3255814],0
n3,1,0.462325,0.54026,[9 5] ; [6 6],[8.07692308 5.92307692] ; [6.92307692 5.07692308],0
d4,1,0.4942,0.46737,[40  7] ; [31  8],[38.80232558  8.19767442] ; [32.19767442  6.80232558],0
r1,1,0.499003,0.457057,[37 10] ; [29 11],[35.65517241 11.34482759] ; [30.34482759  9.65517241],0
d1,1,0.507302,0.439628,[28 19] ; [21 19],[26.47126437 20.52873563] ; [22.52873563 17.47126437],0
r3,1,0.519556,0.414775,[43  4] ; [38  2],[43.75862069  3.24137931] ; [37.24137931  2.75862069],0
n6,1,0.627752,0.235121,[34 13] ; [30  9],[34.97674419 12.02325581] ; [29.02325581  9.97674419],0
d2,1,0.650202,0.205645,[24 23] ; [18 21],[22.95348837 24.04651163] ; [19.04651163 19.95348837],0
u4,1,0.654736,0.199981,[ 2 45] ; [ 1 39],[ 1.62068966 45.37931034] ; [ 1.37931034 38.62068966],0
b1,1,0.687148,0.162191,[22 25] ; [17 23],[21.06896552 25.93103448] ; [17.93103448 22.06896552],0
u1,1,0.746938,0.104122,[ 7 40] ; [ 5 35],[ 6.48275862 40.51724138] ; [ 5.51724138 34.48275862],0
p1,1,0.782376,0.0763,[ 3 44] ; [ 2 38],[ 2.70114943 44.29885057] ; [ 2.29885057 37.70114943],0
s4,1,0.791916,0.069603,[12 35] ; [ 9 30],[11.47674419 35.52325581] ; [ 9.52325581 29.47674419],0
n1,1,0.793117,0.068783,[ 4 10] ; [4 8],[4.30769231 9.69230769] ; [3.69230769 8.30769231],0
v3,1,0.804731,0.061122,[20 26] ; [18 21],[20.56470588 25.43529412] ; [17.43529412 21.56470588],0
b4,1,0.809569,0.058073,[27 20] ; [24 16],[27.55172414 19.44827586] ; [23.44827586 16.55172414],0
a1,1,0.810643,0.057406,[ 4 43] ; [ 4 36],[ 4.32183908 42.67816092] ; [ 3.67816092 36.32183908],0
b3,1,0.846974,0.037241,[10 19] ; [ 8 17],[ 9.66666667 19.33333333] ; [ 8.33333333 16.66666667],0
b2,1,0.846974,0.037241,[10 19] ; [ 8 17],[ 9.66666667 19.33333333] ; [ 8.33333333 16.66666667],0
p8,1,0.847422,0.037021,[15 32] ; [12 28],[14.5862069 32.4137931] ; [12.4137931 27.5862069],0
n4,1,0.879098,0.023138,[31 16] ; [27 13],[31.33333333 15.66666667] ; [26.66666667 13.33333333],0
p10,1,0.909264,0.012988,[32 15] ; [27 12],[32.24418605 14.75581395] ; [26.75581395 12.24418605],0
p4,1,0.919485,0.010218,[17 29] ; [14 25],[16.77647059 29.22352941] ; [14.22352941 24.77647059],0
a7,1,0.953574,0.00339,[32 15] ; [27 13],[31.87356322 15.12643678] ; [27.12643678 12.87356322],0
p12,1,0.95407,0.003317,[ 5 42] ; [ 4 35],[ 4.91860465 42.08139535] ; [ 4.08139535 34.91860465],0
a4,1,0.996009,2.5e-05,[20 27] ; [17 23],[19.98850575 27.01149425] ; [17.01149425 22.98850575],0
n2,1,1.0,0.0,[10  5] ; [8 4],[10.  5.] ; [8. 4.],0
