Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r3,1,0.0,74.177145,[100   2] ; [19 33],[78.81818182 23.18181818] ; [40.18181818 11.81818182],1
b4,1,0.330162,0.948263,[63 39] ; [29 25],[60.15384615 41.84615385] ; [31.84615385 22.15384615],0
p9,1,0.331687,0.9423,[35 66] ; [14 38],[32.34640523 68.65359477] ; [16.65359477 35.34640523],0
b1,1,0.371686,0.79802,[49 53] ; [30 24],[51.65384615 50.34615385] ; [27.34615385 26.65384615],0
a4,1,0.376885,0.780837,[48 54] ; [21 32],[45.40645161 56.59354839] ; [23.59354839 29.40645161],0
p6,1,0.398468,0.712945,[17 85] ; [ 6 46],[15.23376623 86.76623377] ; [ 7.76623377 44.23376623],0
a3,1,0.402562,0.700661,[64 38] ; [29 23],[61.5974026 40.4025974] ; [31.4025974 20.5974026],0
s5,1,0.406535,0.68891,[20 77] ; [ 8 45],[18.10666667 78.89333333] ; [ 9.89333333 43.10666667],0
n5,1,0.476314,0.507292,[53 48] ; [31 22],[55.09090909 45.90909091] ; [28.90909091 24.09090909],0
d5,1,0.501188,0.45242,[69 32] ; [34 20],[67.11612903 33.88387097] ; [35.88387097 18.11612903],0
b2,1,0.574741,0.314815,[22 44] ; [14 22],[23.29411765 42.70588235] ; [12.70588235 23.29411765],0
b3,1,0.574741,0.314815,[22 44] ; [14 22],[23.29411765 42.70588235] ; [12.70588235 23.29411765],0
d1,1,0.608623,0.262185,[41 61] ; [24 30],[42.5 59.5] ; [22.5 31.5],0
d2,1,0.610898,0.258869,[51 50] ; [24 28],[49.50980392 51.49019608] ; [25.49019608 26.50980392],0
v3,1,0.620652,0.244952,[25 70] ; [12 41],[23.75 71.25] ; [13.25 39.75],0
b5,1,0.760303,0.093076,[63 39] ; [32 22],[62.11538462 39.88461538] ; [32.88461538 21.11538462],0
n4,1,0.797617,0.065758,[65 36] ; [33 20],[64.27272727 36.72727273] ; [33.72727273 19.27272727],0
s1,1,0.887769,0.019917,[ 7 94] ; [ 4 49],[ 7.21428571 93.78571429] ; [ 3.78571429 49.21428571],0
v2,1,0.920281,0.010016,[35 63] ; [19 33],[35.28 62.72] ; [18.72 33.28],0
p12,1,0.95593,0.003054,[ 2 99] ; [ 1 53],[ 1.95483871 99.04516129] ; [ 1.04516129 52.95483871],0
d3,1,0.965281,0.001895,[52 49] ; [28 26],[52.12903226 48.87096774] ; [27.87096774 26.12903226],0
s4,1,0.979099,0.000686,[17 84] ; [ 9 45],[16.94193548 84.05806452] ; [ 9.05806452 44.94193548],0
