Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d3,1,2e-05,18.147084,[45  8] ; [14 20],[35.94252874 17.05747126] ; [23.05747126 10.94252874],1
v3,1,0.296378,1.090419,[27 26] ; [13 20],[24.65116279 28.34883721] ; [15.34883721 17.65116279],0
d1,1,0.340989,0.906709,[32 21] ; [17 17],[29.85057471 23.14942529] ; [19.14942529 14.85057471],0
p7,1,0.353321,0.861493,[30 23] ; [22 11],[32.04651163 20.95348837] ; [19.95348837 13.04651163],0
r4,1,0.388963,0.742182,[33 20] ; [18 16],[31.06896552 21.93103448] ; [19.93103448 14.06896552],0
u2,1,0.39033,0.737913,[9 8] ; [4 7],[7.89285714 9.10714286] ; [5.10714286 5.89285714],0
r2,1,0.490405,0.475637,[41  9] ; [25  8],[39.75903614 10.24096386] ; [26.24096386  6.75903614],0
a5,1,0.493632,0.4686,[32 21] ; [18 16],[30.45977011 22.54022989] ; [19.54022989 14.45977011],0
r3,1,0.506525,0.44124,[49  4] ; [30  4],[48.12643678  4.87356322] ; [30.87356322  3.12643678],0
p6,1,0.519714,0.414462,[23 27] ; [12 19],[21.60493827 28.39506173] ; [13.39506173 17.60493827],0
v4,1,0.531158,0.392176,[46  7] ; [27  6],[44.98837209  8.01162791] ; [28.01162791  4.98837209],0
n3,1,0.531403,0.391708,[14  5] ; [10  2],[14.70967742  4.29032258] ; [9.29032258 2.70967742],0
p5,1,0.531608,0.391316,[ 7 46] ; [ 3 31],[ 6.09195402 46.90804598] ; [ 3.90804598 30.09195402],0
s1,1,0.542595,0.370751,[ 3 49] ; [ 1 33],[ 2.41860465 49.58139535] ; [ 1.58139535 32.41860465],0
a1,1,0.552346,0.353131,[ 5 48] ; [ 2 32],[ 4.26436782 48.73563218] ; [ 2.73563218 31.26436782],0
a4,1,0.555323,0.347868,[17 36] ; [13 21],[18.27586207 34.72413793] ; [11.72413793 22.27586207],0
p1,1,0.569954,0.322759,[ 3 50] ; [ 3 31],[ 3.65517241 49.34482759] ; [ 2.34482759 31.65517241],0
n4,1,0.614277,0.253993,[40 13] ; [24 10],[38.98850575 14.01149425] ; [25.01149425  8.98850575],0
s6,1,0.673521,0.177511,[32 18] ; [19 13],[31.09756098 18.90243902] ; [19.90243902 12.09756098],0
p11,1,0.683832,0.165844,[41 12] ; [25  9],[40.20689655 12.79310345] ; [25.79310345  8.20689655],0
s5,1,0.702215,0.146177,[14 33] ; [ 8 23],[13.25641026 33.74358974] ; [ 8.74358974 22.25641026],0
s7,1,0.704304,0.144033,[22 27] ; [13 19],[21.17283951 27.82716049] ; [13.82716049 18.17283951],0
p8,1,0.708395,0.139885,[24 28] ; [13 18],[23.18072289 28.81927711] ; [13.81927711 17.18072289],0
p9,1,0.785633,0.073976,[40 12] ; [27  7],[40.51162791 11.48837209] ; [26.48837209  7.51162791],0
n5,1,0.793291,0.068664,[36 17] ; [24 10],[36.55172414 16.44827586] ; [23.44827586 10.55172414],0
u3,1,0.812126,0.056494,[9 9] ; [5 6],[8.68965517 9.31034483] ; [5.31034483 5.68965517],0
s8,1,0.821813,0.050721,[19 34] ; [13 21],[19.49425287 33.50574713] ; [12.50574713 21.49425287],0
p2,1,0.82232,0.050428,[39 14] ; [25  8],[39.44186047 13.55813953] ; [24.55813953  8.44186047],0
s3,1,0.824512,0.049171,[27 26] ; [16 17],[26.5 26.5] ; [16.5 16.5],0
a3,1,0.87653,0.02414,[35 18] ; [23 11],[35.33333333 17.66666667] ; [22.66666667 11.33333333],0
v1,1,0.934111,0.006835,[32 19] ; [21 12],[32.17857143 18.82142857] ; [20.82142857 12.17857143],0
n2,1,0.935004,0.00665,[14  5] ; [9 3],[14.09677419  4.90322581] ; [8.90322581 3.09677419],0
n1,1,0.976445,0.000872,[ 5 13] ; [3 8],[ 4.96551724 13.03448276] ; [3.03448276 7.96551724],0
