Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,0.001654,9.898962,[23 65] ; [14  9],[29.33333333 58.66666667] ; [ 7.66666667 15.33333333],0
r1,1,0.774214,0.082293,[49 40] ; [14 10],[49.61946903 39.38053097] ; [13.38053097 10.61946903],0
p3,1,0.793979,0.068198,[20 69] ; [ 6 18],[20.47787611 68.52212389] ; [ 5.52212389 18.47787611],0
b2,1,0.798084,0.065448,[20 38] ; [4 9],[19.6056338 38.3943662] ; [4.3943662 8.6056338],0
b3,1,0.798084,0.065448,[20 38] ; [4 9],[19.6056338 38.3943662] ; [4.3943662 8.6056338],0
p2,1,0.807487,0.059375,[50 40] ; [14 10],[50.52631579 39.47368421] ; [13.47368421 10.52631579],0
d1,1,0.823822,0.049565,[36 54] ; [ 9 15],[35.52631579 54.47368421] ; [ 9.47368421 14.52631579],0
s7,1,0.840633,0.040435,[10 73] ; [ 3 19],[10.27619048 72.72380952] ; [ 2.72380952 19.27619048],0
a7,1,0.8582,0.031921,[49 41] ; [13 10],[49.38053097 40.61946903] ; [12.61946903 10.38053097],0
a5,1,0.865393,0.028735,[47 43] ; [13 11],[47.36842105 42.63157895] ; [12.63157895 11.36842105],0
p11,1,0.865393,0.028735,[43 47] ; [11 13],[42.63157895 47.36842105] ; [11.36842105 12.63157895],0
a6,1,0.901168,0.015422,[55 35] ; [15  9],[55.26315789 34.73684211] ; [14.73684211  9.26315789],0
a8,1,0.903771,0.014617,[ 8 76] ; [ 2 21],[ 7.85046729 76.14953271] ; [ 2.14953271 20.85046729],0
u2,1,0.917199,0.010808,[15 23] ; [3 5],[14.86956522 23.13043478] ; [3.13043478 4.86956522],0
n5,1,0.922929,0.00936,[44 46] ; [12 12],[44.21052632 45.78947368] ; [11.78947368 12.21052632],0
s4,1,0.928542,0.008042,[ 7 83] ; [ 2 22],[ 7.10526316 82.89473684] ; [ 1.89473684 22.10526316],0
b5,1,0.960936,0.002399,[52 38] ; [14 10],[52.10526316 37.89473684] ; [13.89473684 10.10526316],0
