Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,0.0,40.922786,[240 100] ; [109 137],[202.49146758 137.50853242] ; [146.50853242  99.49146758],1
n1,1,0.056933,3.624553,[24 30] ; [18 47],[19.05882353 34.94117647] ; [22.94117647 42.05882353],0
n2,1,0.060457,3.524806,[44 10] ; [43 22],[39.4789916 14.5210084] ; [47.5210084 17.4789916],0
p5,1,0.065671,3.388041,[ 50 300] ; [ 24 233],[ 42.66886326 307.33113674] ; [ 31.33113674 225.66886326],0
s3,1,0.0685,3.318607,[187 156] ; [158  97],[197.88461538 145.11538462] ; [147.11538462 107.88461538],0
a8,1,0.082637,3.012255,[ 54 255] ; [ 28 204],[ 46.83548983 262.16451017] ; [ 35.16451017 196.83548983],0
s5,1,0.090152,2.871655,[134 208] ; [ 81 169],[124.20608108 217.79391892] ; [ 90.79391892 159.20608108],0
u1,1,0.094181,2.801423,[ 82 268] ; [ 46 212],[ 73.68421053 276.31578947] ; [ 54.31578947 203.68421053],0
r3,1,0.094299,2.799414,[343   6] ; [244  10],[339.73963516   9.26036484] ; [247.26036484   6.73963516],0
s4,1,0.097008,2.754055,[ 47 299] ; [ 47 206],[ 54.29716194 291.70283806] ; [ 39.70283806 213.29716194],0
d1,1,0.100759,2.693488,[229 121] ; [152 106],[219.32565789 130.67434211] ; [161.67434211  96.32565789],0
a1,1,0.105852,2.615078,[ 17 333] ; [  6 252],[ 13.24013158 336.75986842] ; [  9.75986842 248.24013158],0
p11,1,0.113658,2.502608,[293  57] ; [203  55],[285.52631579  64.47368421] ; [210.47368421  47.52631579],0
p7,1,0.11805,2.443007,[250  92] ; [170  83],[241.41176471 100.58823529] ; [178.58823529  74.41176471],0
n6,1,0.160913,1.965624,[303  44] ; [214  43],[297.01821192  49.98178808] ; [219.98178808  37.01821192],0
p1,1,0.182425,1.777756,[ 37 312] ; [ 19 237],[ 32.30413223 316.69586777] ; [ 23.69586777 232.30413223],0
s7,1,0.224482,1.475487,[182 152] ; [121 124],[174.78756477 159.21243523] ; [128.21243523 116.78756477],0
d2,1,0.236751,1.399834,[184 165] ; [123 134],[176.80363036 172.19636964] ; [130.19636964 126.80363036],0
d5,1,0.242325,1.36702,[299  50] ; [212  46],[293.80395387  55.19604613] ; [217.19604613  40.80395387],0
r2,1,0.248328,1.332684,[338   9] ; [245  11],[335.49087894  11.50912106] ; [247.50912106   8.49087894],0
d4,1,0.313277,1.01681,[302  47] ; [214  42],[297.65950413  51.34049587] ; [218.34049587  37.65950413],0
r4,1,0.323029,0.976644,[338  12] ; [245  13],[335.60855263  14.39144737] ; [247.39144737  10.60855263],0
s1,1,0.38033,0.769634,[  8 336] ; [  9 246],[  9.76293823 334.23706177] ; [  7.23706177 247.76293823],0
n3,1,0.447103,0.577985,[41 13] ; [46 20],[39.15 14.85] ; [47.85 18.15],0
s6,1,0.670208,0.181358,[243 104] ; [171  79],[240.63316583 106.36683417] ; [173.36683417  76.63316583],0
b1,1,0.740448,0.109734,[127 223] ; [ 97 161],[128.94736842 221.05263158] ; [ 95.05263158 162.94736842],0
v4,1,0.766907,0.087866,[337  11] ; [248   7],[337.6119403  10.3880597] ; [247.3880597   7.6119403],0
a7,1,0.796973,0.066186,[263  86] ; [196  61],[264.34158416  84.65841584] ; [194.65841584  62.34158416],0
u2,1,0.826509,0.04804,[40 31] ; [42 35],[39.33783784 31.66216216] ; [42.66216216 34.33783784],0
s2,1,0.834274,0.043774,[179 165] ; [131 125],[177.73333333 166.26666667] ; [132.26666667 123.73333333],0
a6,1,0.849821,0.035852,[250  99] ; [183  75],[248.95716639 100.04283361] ; [184.04283361  73.95716639],0
u3,1,0.869549,0.026972,[43 29] ; [47 30],[43.48993289 28.51006711] ; [46.51006711 30.48993289],0
d3,1,0.880135,0.02274,[261  89] ; [191  67],[260.19736842  89.80263158] ; [191.80263158  66.19736842],0
b4,1,0.898605,0.016237,[208 142] ; [152 106],[207.23684211 142.76315789] ; [152.76315789 105.23684211],0
