Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,1e-06,24.787462,[ 7 35] ; [73 46],[20.86956522 21.13043478] ; [59.13043478 59.86956522],1
d4,1,0.484581,0.488537,[25 17] ; [78 41],[26.86956522 15.13043478] ; [76.13043478 42.86956522],0
a8,1,0.506457,0.441379,[ 4 35] ; [  8 107],[ 3.03896104 35.96103896] ; [  8.96103896 106.03896104],0
a5,1,0.511492,0.431014,[18 24] ; [58 61],[19.82608696 22.17391304] ; [56.17391304 62.82608696],0
a6,1,0.541422,0.37291,[21 21] ; [66 53],[22.69565217 19.30434783] ; [64.30434783 54.69565217],0
d1,1,0.548,0.360912,[12 30] ; [40 79],[13.56521739 28.43478261] ; [38.43478261 80.56521739],0
p7,1,0.589119,0.291723,[17 25] ; [53 64],[18.49056604 23.50943396] ; [51.50943396 65.49056604],0
n5,1,0.600075,0.274883,[26 16] ; [79 40],[27.39130435 14.60869565] ; [77.60869565 41.39130435],0
s2,1,0.621412,0.243888,[10 32] ; [33 86],[11.2173913 30.7826087] ; [31.7826087 87.2173913],0
b5,1,0.632391,0.228832,[24 18] ; [73 46],[25.30434783 16.69565217] ; [71.69565217 47.30434783],0
p11,1,0.632391,0.228832,[24 18] ; [73 46],[25.30434783 16.69565217] ; [71.69565217 47.30434783],0
s6,1,0.653074,0.202046,[15 27] ; [46 70],[16.21518987 25.78481013] ; [44.78481013 71.21518987],0
n3,1,0.658306,0.195588,[10  7] ; [26 14],[10.73684211  6.26315789] ; [25.26315789 14.73684211],0
v2,1,0.680567,0.169489,[15 26] ; [39 79],[13.9245283 27.0754717] ; [40.0754717 77.9245283],0
d2,1,0.691864,0.157074,[14 28] ; [43 74],[15.05660377 26.94339623] ; [41.94339623 75.05660377],0
s4,1,0.741851,0.108507,[ 8 34] ; [20 99],[ 7.30434783 34.69565217] ; [20.69565217 98.30434783],0
p1,1,0.78618,0.07359,[ 3 39] ; [ 10 108],[ 3.4125 38.5875] ; [  9.5875 108.4125],0
v1,1,0.814614,0.05498,[14 28] ; [41 75],[14.62025316 27.37974684] ; [40.37974684 75.62025316],0
a1,1,0.824661,0.049086,[ 4 38] ; [ 10 109],[ 3.65217391 38.34782609] ; [ 10.34782609 108.65217391],0
p4,1,0.889315,0.019369,[16 26] ; [46 71],[16.37735849 25.62264151] ; [45.62264151 71.37735849],0
