Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n4,1,9.9e-05,15.14636,[46  5] ; [62 42],[35.53548387 15.46451613] ; [72.46451613 31.53548387],1
p9,1,0.421583,0.645899,[39 12] ; [71 30],[36.90789474 14.09210526] ; [73.09210526 27.90789474],0
s1,1,0.466082,0.53125,[ 4 47] ; [ 5 97],[ 3. 48.] ; [ 6. 96.],0
b2,1,0.473829,0.513033,[13 22] ; [18 42],[11.42105263 23.57894737] ; [19.57894737 40.42105263],0
b3,1,0.473829,0.513033,[13 22] ; [18 42],[11.42105263 23.57894737] ; [19.57894737 40.42105263],0
s8,1,0.490037,0.476444,[18 33] ; [31 73],[16.12258065 34.87741935] ; [32.87741935 71.12258065],0
d2,1,0.490323,0.475817,[11 40] ; [28 77],[12.75 38.25] ; [26.25 78.75],0
b5,1,0.51153,0.430936,[31 20] ; [58 47],[29.09615385 21.90384615] ; [59.90384615 45.09615385],0
u3,1,0.526046,0.402024,[10 11] ; [23 35],[ 8.7721519 12.2278481] ; [24.2278481 33.7721519],0
a4,1,0.662774,0.190171,[13 38] ; [23 80],[11.92207792 39.07792208] ; [24.07792208 78.92207792],0
r3,1,0.69035,0.158707,[43  8] ; [85 19],[42.11612903  8.88387097] ; [85.88387097 18.11612903],0
p11,1,0.797935,0.065546,[36 15] ; [72 33],[35.30769231 15.69230769] ; [72.69230769 32.30769231],0
d1,1,0.812019,0.05656,[ 2 49] ; [  5 100],[ 2.28846154 48.71153846] ; [  4.71153846 100.28846154],0
a1,1,0.812019,0.05656,[ 2 49] ; [  5 100],[ 2.28846154 48.71153846] ; [  4.71153846 100.28846154],0
b1,1,0.874442,0.02497,[24 27] ; [48 57],[23.53846154 27.46153846] ; [48.46153846 56.53846154],0
d5,1,0.879186,0.023104,[23 28] ; [46 59],[22.55769231 28.44230769] ; [46.44230769 58.55769231],0
u2,1,0.906338,0.013844,[ 9 12] ; [24 34],[ 8.7721519 12.2278481] ; [24.2278481 33.7721519],0
n3,1,0.920452,0.009973,[4 1] ; [32  9],[3.91304348 1.08695652] ; [32.08695652  8.91304348],0
u1,1,0.980932,0.000571,[ 1 50] ; [  2 103],[ 0.98076923 50.01923077] ; [  2.01923077 102.98076923],0
