Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p6,1,9e-06,19.736043,[10 79] ; [20 24],[20.07518797 68.92481203] ; [ 9.92481203 34.07518797],1
a1,1,0.482678,0.492807,[ 7 83] ; [ 2 42],[ 6.04477612 83.95522388] ; [ 2.95522388 41.04477612],0
p1,1,0.54467,0.366952,[ 9 81] ; [ 3 41],[ 8.05970149 81.94029851] ; [ 3.94029851 40.05970149],0
n4,1,0.546485,0.363651,[63 27] ; [33 11],[64.47761194 25.52238806] ; [31.52238806 12.47761194],0
s4,1,0.561408,0.337272,[22 66] ; [ 9 35],[20.66666667 67.33333333] ; [10.33333333 33.66666667],0
d4,1,0.619144,0.247072,[69 21] ; [32 12],[67.8358209 22.1641791] ; [33.1641791 10.8358209],0
a7,1,0.63479,0.225621,[57 33] ; [26 18],[55.74626866 34.25373134] ; [27.25373134 16.74626866],0
n5,1,0.636308,0.223603,[64 26] ; [33 11],[65.14925373 24.85074627] ; [31.85074627 12.14925373],0
p11,1,0.6773,0.173181,[56 34] ; [29 15],[57.08955224 32.91044776] ; [27.91044776 16.08955224],0
p12,1,0.681746,0.168167,[ 8 82] ; [ 3 41],[ 7.3880597 82.6119403] ; [ 3.6119403 40.3880597],0
s7,1,0.719342,0.129124,[34 52] ; [18 24],[34.9375 51.0625] ; [17.0625 24.9375],0
n1,1,0.763598,0.090456,[15 19] ; [4 4],[15.38095238 18.61904762] ; [3.61904762 4.38095238],0
d1,1,0.809,0.058427,[47 43] ; [22 22],[46.34328358 43.65671642] ; [22.65671642 21.34328358],0
v3,1,0.817904,0.053011,[30 53] ; [15 29],[29.40944882 53.59055118] ; [15.59055118 28.40944882],0
d5,1,0.853466,0.034113,[62 28] ; [31 13],[62.46268657 27.53731343] ; [30.53731343 13.46268657],0
b1,1,0.908034,0.013345,[42 48] ; [21 23],[42.31343284 47.68656716] ; [20.68656716 23.31343284],0
u3,1,0.963404,0.002105,[15 14] ; [11 10],[15.08 13.92] ; [10.92 10.08],0
s1,1,0.986796,0.000274,[ 6 83] ; [ 3 41],[ 6.02255639 82.97744361] ; [ 2.97744361 41.02255639],0
