Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,0.0,180.183922,[ 33 140] ; [199  33],[99.10123457 73.89876543] ; [132.89876543  99.10123457],1
u1,1,0.609131,0.261442,[ 37 138] ; [ 54 178],[ 39.12776413 135.87223587] ; [ 51.87223587 180.12776413],0
a8,1,0.626517,0.236813,[ 21 127] ; [ 35 183],[ 22.64480874 125.35519126] ; [ 33.35519126 184.64480874],0
a5,1,0.654881,0.199801,[139  36] ; [180  52],[137.16216216  37.83783784] ; [181.83783784  50.16216216],0
b1,1,0.6908,0.158221,[ 66 109] ; [ 92 140],[ 67.93611794 107.06388206] ; [ 90.06388206 141.93611794],0
b4,1,0.734813,0.114738,[107  68] ; [138  94],[105.34398034  69.65601966] ; [139.65601966  92.34398034],0
a4,1,0.752515,0.09943,[88 86] ; [121 111],[89.57142857 84.42857143] ; [119.42857143 112.57142857],0
v2,1,0.75475,0.097583,[124  51] ; [152  67],[122.58883249  52.41116751] ; [153.41116751  65.58883249],0
r1,1,0.846061,0.037693,[145  29] ; [195  37],[145.71428571  28.28571429] ; [194.28571429  37.71428571],0
d3,1,0.889972,0.019138,[134  41] ; [179  53],[134.58230958  40.41769042] ; [178.41769042  53.58230958],0
b2,1,0.949644,0.003988,[47 59] ; [68 84],[47.24806202 58.75193798] ; [67.75193798 84.24806202],0
b3,1,0.949644,0.003988,[47 59] ; [68 84],[47.24806202 58.75193798] ; [67.75193798 84.24806202],0
p3,1,0.973296,0.001121,[99 73] ; [132  98],[98.8358209 73.1641791] ; [132.1641791  97.8358209],0
