Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d3,1,0.0,99.673947,[140  16] ; [ 70 119],[94.95652174 61.04347826] ; [115.04347826  73.95652174],1
u4,1,0.2244,1.476011,[  3 153] ; [  1 190],[  1.79827089 154.20172911] ; [  2.20172911 188.79827089],0
p12,1,0.228212,1.451972,[  3 152] ; [  8 181],[  4.95639535 150.04360465] ; [  6.04360465 182.95639535],0
u3,1,0.282335,1.155814,[23 17] ; [45 50],[20.14814815 19.85185185] ; [47.85185185 47.14814815],0
s5,1,0.282487,1.155087,[ 40 109] ; [ 41 147],[ 35.81305638 113.18694362] ; [ 45.18694362 142.81305638],0
b1,1,0.287436,1.131594,[ 55 101] ; [ 78 113],[59.7925072 96.2074928] ; [ 73.2074928 117.7925072],0
u2,1,0.31334,1.016543,[22 17] ; [44 50],[19.35338346 19.64661654] ; [46.64661654 47.35338346],0
b5,1,0.334361,0.931935,[101  55] ; [114  77],[96.65706052 59.34293948] ; [118.34293948  72.65706052],0
a8,1,0.377837,0.777728,[ 17 129] ; [ 27 153],[ 19.70552147 126.29447853] ; [ 24.29447853 155.70552147],0
p10,1,0.394065,0.726363,[110  45] ; [124  62],[106.36363636  48.63636364] ; [127.63636364  58.36363636],0
n1,1,0.418962,0.653224,[19 35] ; [28 38],[21.15 32.85] ; [25.85 40.15],0
n3,1,0.501561,0.451632,[32 19] ; [46 21],[33.71186441 17.28813559] ; [44.28813559 22.71186441],0
n5,1,0.55072,0.356029,[104  51] ; [121  68],[101.38081395  53.61918605] ; [123.61918605  65.38081395],0
s3,1,0.555375,0.347776,[78 78] ; [ 88 100],[75.27906977 80.72093023] ; [90.72093023 97.27906977],0
p11,1,0.623003,0.24167,[110  46] ; [130  61],[107.8962536  48.1037464] ; [132.1037464  58.8962536],0
p8,1,0.649184,0.20693,[ 53 101] ; [ 60 127],[ 51.03225806 102.96774194] ; [ 61.96774194 125.03225806],0
v1,1,0.656185,0.198191,[54 99] ; [ 70 116],[55.96460177 97.03539823] ; [ 68.03539823 117.96460177],0
p1,1,0.678051,0.172328,[  6 150] ; [  9 180],[  6.7826087 149.2173913] ; [  8.2173913 180.7826087],0
p5,1,0.734745,0.114799,[  6 150] ; [  6 183],[  5.42608696 150.57391304] ; [  6.57391304 182.42608696],0
s4,1,0.778928,0.078802,[ 27 125] ; [ 36 154],[ 28. 124.] ; [ 35. 155.],0
p7,1,0.809938,0.057843,[73 78] ; [87 98],[71.9047619 79.0952381] ; [88.0952381 96.9047619],0
p9,1,0.840407,0.040551,[111  41] ; [134  52],[110.17751479  41.82248521] ; [134.82248521  51.17751479],0
p2,1,0.866517,0.028252,[114  41] ; [142  49],[114.68208092  40.31791908] ; [141.31791908  49.68208092],0
