Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v4,1,2.2e-05,17.993051,[43 26] ; [63  5],[53.38686131 15.61313869] ; [52.61313869 15.38686131],1
p1,1,0.506029,0.442271,[ 5 65] ; [ 3 64],[ 4.08759124 65.91240876] ; [ 3.91240876 63.08759124],0
p12,1,0.542409,0.371092,[ 1 69] ; [ 2 66],[ 1.52173913 68.47826087] ; [ 1.47826087 66.52173913],0
n4,1,0.551164,0.355237,[45 24] ; [41 27],[43.31386861 25.68613139] ; [42.68613139 25.31386861],0
u1,1,0.59245,0.286535,[ 8 62] ; [ 6 63],[ 7.05035971 62.94964029] ; [ 6.94964029 62.05035971],0
d5,1,0.596754,0.279919,[42 27] ; [45 24],[43.5 25.5] ; [43.5 25.5],0
d3,1,0.609373,0.261089,[32 37] ; [35 34],[33.5 35.5] ; [33.5 35.5],0
n2,1,0.621689,0.243501,[18 16] ; [16 11],[18.95081967 15.04918033] ; [15.04918033 11.95081967],0
a2,1,0.634274,0.22631,[12 58] ; [14 55],[13.09352518 56.90647482] ; [12.90647482 56.09352518],0
d4,1,0.65418,0.20067,[47 22] ; [48 19],[48.19852941 20.80147059] ; [46.80147059 20.19852941],0
a3,1,0.725959,0.122855,[40 28] ; [42 26],[41. 27.] ; [41. 27.],0
d2,1,0.73059,0.11857,[32 36] ; [30 38],[31. 37.] ; [31. 37.],0
b4,1,0.785429,0.074121,[40 30] ; [41 28],[40.79136691 29.20863309] ; [40.20863309 28.79136691],0
s4,1,0.795625,0.067088,[ 9 60] ; [ 8 61],[ 8.5 60.5] ; [ 8.5 60.5],0
a4,1,0.807779,0.059191,[27 41] ; [26 43],[26.30656934 41.69343066] ; [26.69343066 42.30656934],0
d1,1,0.808707,0.05861,[27 43] ; [28 41],[27.69784173 42.30215827] ; [27.30215827 41.69784173],0
s6,1,0.808776,0.058567,[24 45] ; [25 43],[24.67883212 44.32116788] ; [24.32116788 43.67883212],0
u2,1,0.92144,0.009726,[14 16] ; [12 13],[14.18181818 15.81818182] ; [11.81818182 13.18181818],0
s7,1,0.922076,0.009569,[15 50] ; [15 48],[15.234375 49.765625] ; [14.765625 48.234375],0
s2,1,0.922444,0.009478,[17 53] ; [17 51],[17.24637681 52.75362319] ; [16.75362319 51.24637681],0
a5,1,0.937546,0.006139,[38 32] ; [37 32],[37.76978417 32.23021583] ; [37.23021583 31.76978417],0
p5,1,0.991823,0.000105,[ 1 69] ; [ 1 68],[ 1.00719424 68.99280576] ; [ 0.99280576 68.00719424],0
