Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d3,1,0.0,66.910902,[308  99] ; [63 97],[266.30864198 140.69135802] ; [104.69135802  55.30864198],1
p12,1,0.726809,0.122062,[ 20 385] ; [  9 150],[ 20.82446809 384.17553191] ; [  8.17553191 150.82446809],0
d2,1,0.73148,0.117757,[192 215] ; [72 86],[190.17345133 216.82654867] ; [73.82654867 84.17345133],0
s8,1,0.768368,0.086736,[144 261] ; [ 59 101],[145.51327434 259.48672566] ; [ 57.48672566 102.51327434],0
n3,1,0.800408,0.063918,[65 29] ; [37 15],[65.67123288 28.32876712] ; [36.32876712 15.67123288],0
p3,1,0.879505,0.022982,[161 246] ; [64 95],[161.79328622 245.20671378] ; [63.20671378 95.79328622],0
p1,1,0.885539,0.020722,[ 24 380] ; [  9 151],[ 23.63829787 380.36170213] ; [  9.36170213 150.63829787],0
p5,1,0.936468,0.006354,[ 25 379] ; [ 10 147],[ 25.20499109 378.79500891] ; [  9.79500891 147.20499109],0
a3,1,0.95438,0.003273,[278 129] ; [109  50],[278.2844523 128.7155477] ; [108.7155477  50.2844523],0
s3,1,0.965508,0.00187,[216 184] ; [85 73],[215.77060932 184.22939068] ; [85.22939068 72.77060932],0
n4,1,0.978715,0.000712,[289 117] ; [113  46],[288.87079646 117.12920354] ; [113.12920354  45.87079646],0
a4,1,0.979899,0.000635,[169 237] ; [66 93],[168.86725664 237.13274336] ; [66.13274336 92.86725664],0
n2,1,0.987659,0.000239,[68 26] ; [39 15],[67.95945946 26.04054054] ; [39.04054054 14.95945946],0
