Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s8,1,0.0,85.350607,[93 29] ; [ 21 101],[57. 65.] ; [57. 65.],1
b2,1,0.025089,5.017759,[45 44] ; [23 47],[38.06289308 50.93710692] ; [29.93710692 40.06289308],0
b3,1,0.025089,5.017759,[45 44] ; [23 47],[38.06289308 50.93710692] ; [29.93710692 40.06289308],0
p5,1,0.041995,4.135426,[ 19 101] ; [  9 112],[ 13.94190871 106.05809129] ; [ 14.05809129 106.94190871],0
d2,1,0.054389,3.700708,[65 57] ; [50 72],[57.5 64.5] ; [57.5 64.5],0
a6,1,0.05831,3.584812,[43 79] ; [58 65],[50.29387755 71.70612245] ; [50.70612245 72.29387755],0
u2,1,0.073232,3.209042,[13  6] ; [25 31],[9.62666667 9.37333333] ; [28.37333333 27.62666667],0
p11,1,0.094275,2.799817,[101  21] ; [91 32],[95.60816327 26.39183673] ; [96.39183673 26.60816327],0
p12,1,0.095258,2.783186,[ 10 110] ; [  4 117],[  6.97095436 113.02904564] ; [  7.02904564 113.97095436],0
a2,1,0.105857,2.61501,[ 14 108] ; [  7 116],[ 10.45714286 111.54285714] ; [ 10.54285714 112.45714286],0
r4,1,0.114365,2.492841,[108  14] ; [100  23],[103.5755102  18.4244898] ; [104.4244898  18.5755102],0
a8,1,0.123732,2.369432,[ 18 100] ; [ 10 105],[ 14.18025751 103.81974249] ; [ 13.81974249 101.18025751],0
r2,1,0.141579,2.160714,[115   6] ; [109  12],[112.   9.] ; [112.   9.],0
v1,1,0.171041,1.873796,[67 51] ; [58 63],[61.71548117 56.28451883] ; [63.28451883 57.71548117],0
b1,1,0.180099,1.796805,[62 60] ; [52 71],[56.76734694 65.23265306] ; [57.23265306 65.76734694],0
u3,1,0.182883,1.774043,[11  8] ; [23 34],[ 8.5 10.5] ; [25.5 31.5],0
v2,1,0.393688,0.727522,[59 59] ; [52 65],[55.73617021 62.26382979] ; [55.26382979 61.73617021],0
b5,1,0.40314,0.69894,[54 68] ; [61 62],[57.26530612 64.73469388] ; [57.73469388 65.26530612],0
p1,1,0.429863,0.623192,[ 10 111] ; [  7 116],[  8.43032787 112.56967213] ; [  8.56967213 114.43032787],0
s1,1,0.715119,0.133218,[  4 118] ; [  5 115],[  4.53719008 117.46280992] ; [  4.46280992 115.53719008],0
n3,1,0.754145,0.09808,[23 11] ; [27 11],[23.61111111 10.38888889] ; [26.38888889 11.61111111],0
n2,1,0.756386,0.096242,[28  6] ; [31  8],[27.47945205  6.52054795] ; [31.52054795  7.47945205],0
a1,1,0.777328,0.079978,[  8 114] ; [  7 116],[  7.46938776 114.53061224] ; [  7.53061224 115.46938776],0
