Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p4,1,0.000148,14.4,[ 4 32] ; [23 22],[12. 24.] ; [15. 30.],1
v1,1,0.763053,0.090887,[ 8 29] ; [11 34],[ 8.57317073 28.42682927] ; [10.42682927 34.57317073],0
n6,1,0.766638,0.088075,[25 12] ; [29 16],[24.36585366 12.63414634] ; [29.63414634 15.36585366],0
b4,1,0.766638,0.088075,[25 12] ; [29 16],[24.36585366 12.63414634] ; [29.63414634 15.36585366],0
r4,1,0.766739,0.087997,[21 16] ; [27 18],[21.65853659 15.34146341] ; [26.34146341 18.65853659],0
v3,1,0.80701,0.059675,[11 26] ; [12 32],[10.50617284 26.49382716] ; [12.49382716 31.50617284],0
a3,1,0.830928,0.045587,[14 23] ; [16 29],[13.53658537 23.46341463] ; [16.46341463 28.53658537],0
a8,1,0.858711,0.031689,[ 3 32] ; [ 4 37],[ 3.22368421 31.77631579] ; [ 3.77631579 37.22368421],0
r2,1,0.864944,0.028929,[27  9] ; [33 12],[26.66666667  9.33333333] ; [33.33333333 11.66666667],0
u2,1,0.877192,0.02388,[12 11] ; [14 14],[11.7254902 11.2745098] ; [14.2745098 13.7254902],0
n4,1,0.891848,0.018487,[20 17] ; [25 20],[20.30487805 16.69512195] ; [24.69512195 20.30487805],0
p1,1,0.899802,0.015854,[ 3 34] ; [ 4 41],[ 3.15853659 33.84146341] ; [ 3.84146341 41.15853659],0
n1,1,0.961291,0.002356,[4 9] ; [ 6 13],[4.0625 8.9375] ; [ 5.9375 13.0625],0
d1,1,0.970765,0.001343,[10 27] ; [12 33],[ 9.92682927 27.07317073] ; [12.07317073 32.92682927],0
