Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s7,1,7e-06,20.249703,[195  58] ; [11 18],[184.81560284  68.18439716] ; [21.18439716  7.81560284],1
a6,1,0.508492,0.43717,[186  75] ; [21 11],[184.39249147  76.60750853] ; [22.60750853  9.39249147],0
a5,1,0.513003,0.427937,[226  38] ; [26  6],[224.75675676  39.24324324] ; [27.24324324  4.75675676],0
n6,1,0.542201,0.371476,[230  31] ; [27  5],[228.93174061  32.06825939] ; [28.06825939  3.93174061],0
p10,1,0.568749,0.32478,[228  35] ; [28  3],[229.00680272  33.99319728] ; [26.99319728  4.00680272],0
u4,1,0.595763,0.281434,[ 14 250] ; [ 1 31],[ 13.37837838 250.62162162] ; [ 1.62162162 30.37837838],0
u2,1,0.624938,0.238987,[32 13] ; [5 3],[31.41509434 13.58490566] ; [5.58490566 2.41509434],0
s1,1,0.645084,0.212154,[ 13 249] ; [ 1 31],[ 12.47619048 249.52380952] ; [ 1.52380952 30.47619048],0
n2,1,0.721917,0.126664,[42 16] ; [6 3],[41.55223881 16.44776119] ; [6.44776119 2.55223881],0
v1,1,0.73034,0.118799,[155  98] ; [18 13],[154.11619718  98.88380282] ; [18.88380282 12.11619718],0
r2,1,0.746987,0.10408,[256   6] ; [30  1],[255.74061433   6.25938567] ; [30.25938567  0.74061433],0
p8,1,0.751088,0.100619,[142 118] ; [16 15],[141.16838488 118.83161512] ; [16.83161512 14.16838488],0
d2,1,0.764948,0.089395,[194  67] ; [23  9],[193.3003413  67.6996587] ; [23.6996587  8.3003413],0
a1,1,0.843786,0.03883,[ 19 245] ; [ 2 30],[ 18.72972973 245.27027027] ; [ 2.27027027 29.72972973],0
n5,1,0.851486,0.035052,[210  53] ; [26  6],[210.4  52.6] ; [25.6  6.4],0
d5,1,0.884604,0.021064,[254   7] ; [31  1],[253.87372014   7.12627986] ; [31.12627986  0.87372014],0
n4,1,0.902635,0.014965,[216  47] ; [26  6],[215.74915254  47.25084746] ; [26.25084746  5.74915254],0
a7,1,0.913358,0.011838,[204  60] ; [25  7],[204.24324324  59.75675676] ; [24.75675676  7.24324324],0
v2,1,0.932819,0.007106,[160  91] ; [20 11],[160.21276596  90.78723404] ; [19.78723404 11.21276596],0
b1,1,0.933607,0.00694,[101 163] ; [12 20],[100.78378378 163.21621622] ; [12.21621622 19.78378378],0
p12,1,0.956057,0.003036,[ 35 229] ; [ 4 27],[ 34.90169492 229.09830508] ; [ 4.09830508 26.90169492],0
n3,1,0.964742,0.001954,[41 17] ; [7 3],[40.94117647 17.05882353] ; [7.05882353 2.94117647],0
a8,1,0.98485,0.000361,[ 31 207] ; [ 4 27],[ 30.96654275 207.03345725] ; [ 4.03345725 26.96654275],0
