Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n4,1,2.4e-05,17.863745,[52  9] ; [ 9 14],[44.29761905 16.70238095] ; [16.70238095  6.29761905],1
u2,1,0.319765,0.989907,[17 17] ; [ 6 11],[15.33333333 18.66666667] ; [7.66666667 9.33333333],0
a6,1,0.325051,0.968513,[39 22] ; [12 11],[37.03571429 23.96428571] ; [13.96428571  9.03571429],0
v2,1,0.340974,0.906767,[29 28] ; [ 9 14],[27.075 29.925] ; [10.925 12.075],0
b1,1,0.356939,0.848636,[25 36] ; [12 11],[26.86904762 34.13095238] ; [10.13095238 12.86904762],0
n3,1,0.372374,0.795726,[11  2] ; [4 2],[10.26315789  2.73684211] ; [4.73684211 1.26315789],0
s4,1,0.372741,0.794508,[13 47] ; [ 3 20],[11.56626506 48.43373494] ; [ 4.43373494 18.56626506],0
a2,1,0.417059,0.658589,[ 6 55] ; [ 1 22],[ 5.08333333 55.91666667] ; [ 1.91666667 21.08333333],0
b2,1,0.449238,0.572573,[ 9 26] ; [ 2 11],[ 8.02083333 26.97916667] ; [ 2.97916667 10.02083333],0
b3,1,0.449238,0.572573,[ 9 26] ; [ 2 11],[ 8.02083333 26.97916667] ; [ 2.97916667 10.02083333],0
p1,1,0.458329,0.549971,[12 49] ; [ 6 16],[13.22891566 47.77108434] ; [ 4.77108434 17.22891566],0
a7,1,0.5352,0.384509,[38 23] ; [16  7],[39.21428571 21.78571429] ; [14.78571429  8.21428571],0
v3,1,0.58734,0.294518,[23 37] ; [ 7 15],[21.95121951 38.04878049] ; [ 8.04878049 13.95121951],0
r3,1,0.671704,0.179615,[55  6] ; [20  3],[54.46428571  6.53571429] ; [20.53571429  2.46428571],0
r2,1,0.689799,0.159303,[54  6] ; [20  3],[53.4939759  6.5060241] ; [20.5060241  2.4939759],0
v1,1,0.728565,0.120433,[26 34] ; [ 9 14],[25.30120482 34.69879518] ; [ 9.69879518 13.30120482],0
a5,1,0.769809,0.085629,[34 27] ; [12 11],[33.4047619 27.5952381] ; [12.5952381 10.4047619],0
d5,1,0.804521,0.061256,[23 38] ; [ 8 15],[22.51190476 38.48809524] ; [ 8.48809524 14.51190476],0
b4,1,0.806699,0.059872,[30 31] ; [12 11],[30.5 30.5] ; [11.5 11.5],0
d3,1,0.816437,0.053885,[17 44] ; [ 7 16],[17.42857143 43.57142857] ; [ 6.57142857 16.42857143],0
p12,1,0.873847,0.025209,[ 6 55] ; [ 2 21],[ 5.80952381 55.19047619] ; [ 2.19047619 20.80952381],0
p2,1,0.879255,0.023078,[49 12] ; [18  4],[49.24096386 11.75903614] ; [17.75903614  4.24096386],0
s1,1,0.901185,0.015417,[ 3 57] ; [ 1 22],[ 2.89156627 57.10843373] ; [ 1.10843373 21.89156627],0
b5,1,0.948537,0.004166,[34 27] ; [13 10],[34.13095238 26.86904762] ; [12.86904762 10.13095238],0
u3,1,1.0,0.0,[14 20] ; [ 7 10],[14. 20.] ; [ 7. 10.],0
