Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p6,1,1.9e-05,18.303646,[ 9 60] ; [10  6],[15.42352941 53.57647059] ; [ 3.57647059 12.42352941],1
a6,1,0.380117,0.770324,[38 32] ; [10  5],[39.52941176 30.47058824] ; [8.47058824 6.52941176],0
a5,1,0.433782,0.612676,[46 25] ; [12  4],[47.33333333 23.66666667] ; [10.66666667  5.33333333],0
b5,1,0.452929,0.563311,[47 24] ; [9 7],[45.70114943 25.29885057] ; [10.29885057  5.70114943],0
u2,1,0.462832,0.539037,[13  7] ; [4 4],[12.14285714  7.85714286] ; [4.85714286 3.14285714],0
n1,1,0.496367,0.462695,[16 12] ; [3 1],[16.625 11.375] ; [2.375 1.625],0
s2,1,0.505441,0.443494,[52 19] ; [13  3],[53.04597701 17.95402299] ; [11.95402299  4.04597701],0
n6,1,0.524755,0.404537,[46 25] ; [11  4],[47.05813953 23.94186047] ; [9.94186047 5.05813953],0
d4,1,0.566301,0.328911,[56 14] ; [11  4],[55.17647059 14.82352941] ; [11.82352941  3.17647059],0
b3,1,0.568194,0.325714,[16 34] ; [3 4],[16.66666667 33.33333333] ; [2.33333333 4.66666667],0
b2,1,0.568194,0.325714,[16 34] ; [3 4],[16.66666667 33.33333333] ; [2.33333333 4.66666667],0
r1,1,0.577181,0.310814,[53 18] ; [13  3],[53.86206897 17.13793103] ; [12.13793103  3.86206897],0
p9,1,0.584434,0.299121,[48 21] ; [10  6],[47.08235294 21.91764706] ; [10.91764706  5.08235294],0
d2,1,0.591614,0.287831,[38 32] ; [7 8],[37.05882353 32.94117647] ; [7.94117647 7.05882353],0
r2,1,0.641284,0.217067,[63  7] ; [15  1],[63.48837209  6.51162791] ; [14.51162791  1.48837209],0
r3,1,0.651751,0.2037,[64  7] ; [15  1],[64.47126437  6.52873563] ; [14.52873563  1.47126437],0
u1,1,0.66514,0.18734,[12 59] ; [ 2 14],[11.42528736 59.57471264] ; [ 2.57471264 13.42528736],0
p10,1,0.723031,0.125607,[47 23] ; [10  6],[46.39534884 23.60465116] ; [10.60465116  5.39534884],0
u4,1,0.726846,0.122028,[ 3 68] ; [ 1 15],[ 3.26436782 67.73563218] ; [ 0.73563218 15.26436782],0
p1,1,0.754018,0.098185,[ 7 64] ; [ 2 14],[ 7.34482759 63.65517241] ; [ 1.65517241 14.34482759],0
s1,1,0.768196,0.086869,[ 7 63] ; [ 2 14],[ 7.3255814 62.6744186] ; [ 1.6744186 14.3255814],0
v1,1,0.793625,0.068438,[37 32] ; [8 8],[36.52941176 32.47058824] ; [8.47058824 7.52941176],0
b1,1,0.798805,0.064971,[38 33] ; [8 8],[37.54022989 33.45977011] ; [8.45977011 7.54022989],0
p11,1,0.805295,0.060763,[42 29] ; [10  6],[42.43678161 28.56321839] ; [9.56321839 6.43678161],0
s7,1,0.83606,0.042823,[39 27] ; [9 7],[38.63414634 27.36585366] ; [9.36585366 6.63414634],0
n4,1,0.844857,0.038292,[47 24] ; [11  5],[47.33333333 23.66666667] ; [10.66666667  5.33333333],0
s8,1,0.853159,0.034258,[35 36] ; [7 8],[34.6744186 36.3255814] ; [7.3255814 7.6744186],0
v4,1,0.868123,0.02757,[61 10] ; [14  2],[61.20689655  9.79310345] ; [13.79310345  2.20689655],0
a7,1,0.885957,0.02057,[43 28] ; [10  6],[43.25287356 27.74712644] ; [9.74712644 6.25287356],0
b4,1,0.912902,0.011964,[41 30] ; [9 7],[40.8045977 30.1954023] ; [9.1954023 6.8045977],0
a8,1,0.93919,0.00582,[10 61] ; [ 2 13],[ 9.90697674 61.09302326] ; [ 2.09302326 12.90697674],0
a2,1,0.967253,0.001685,[13 58] ; [ 3 13],[13.05747126 57.94252874] ; [ 2.94252874 13.05747126],0
r4,1,0.967253,0.001685,[58 13] ; [13  3],[57.94252874 13.05747126] ; [13.05747126  2.94252874],0
