Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s6,1,5.4e-05,16.293468,[45  8] ; [133 109],[31.97966102 21.02033898] ; [146.02033898  95.97966102],1
p7,1,0.321868,0.98134,[32 21] ; [128 114],[28.74576271 24.25423729] ; [131.25423729 110.74576271],0
d4,1,0.326875,0.961238,[37 17] ; [183  61],[39.86577181 14.13422819] ; [180.13422819  63.86577181],0
n6,1,0.382464,0.762768,[48  6] ; [208  39],[45.9269103  8.0730897] ; [210.0730897  36.9269103],0
u3,1,0.384791,0.755339,[12 11] ; [34 47],[10.17307692 12.82692308] ; [35.82692308 45.17307692],0
r3,1,0.395578,0.721727,[44  9] ; [215  31],[45.909699  7.090301] ; [213.090301  32.909699],0
a7,1,0.402307,0.701419,[33 21] ; [165  81],[35.64 18.36] ; [162.36  83.64],0
a4,1,0.403395,0.698184,[21 33] ; [111 135],[23.76 30.24] ; [108.24 137.76],0
p12,1,0.403609,0.697547,[ 5 49] ; [ 15 230],[ 3.61204013 50.38795987] ; [ 16.38795987 228.61204013],0
p9,1,0.407649,0.685648,[44 10] ; [183  57],[41.69387755 12.30612245] ; [185.30612245  54.69387755],0
n2,1,0.425946,0.633851,[15  4] ; [53 23],[13.6  5.4] ; [54.4 21.6],0
b5,1,0.471952,0.517401,[31 23] ; [129 119],[28.60927152 25.39072848] ; [131.39072848 116.60927152],0
a6,1,0.485978,0.485419,[34 20] ; [167  79],[36.18 17.82] ; [164.82  81.18],0
u2,1,0.511187,0.431636,[13 10] ; [39 41],[11.61165049 11.38834951] ; [40.38834951 39.61165049],0
p3,1,0.608164,0.262857,[24 30] ; [100 146],[22.32 31.68] ; [101.68 144.32],0
u1,1,0.60864,0.26216,[ 7 47] ; [ 39 209],[ 8.22516556 45.77483444] ; [ 37.77483444 210.22516556],0
d3,1,0.622923,0.241781,[35 19] ; [150  95],[33.41137124 20.58862876] ; [151.58862876  93.41137124],0
b4,1,0.712423,0.135869,[29 25] ; [140 108],[30.21854305 23.78145695] ; [138.78145695 109.21854305],0
a2,1,0.723157,0.125488,[11 43] ; [ 56 192],[11.98013245 42.01986755] ; [ 55.01986755 192.98013245],0
p1,1,0.910918,0.012517,[ 5 49] ; [ 24 222],[ 5.22 48.78] ; [ 23.78 222.22],0
p10,1,0.914412,0.011551,[40 14] ; [179  65],[39.68456376 14.31543624] ; [179.31543624  64.68456376],0
