Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s7,1,3.4e-05,17.153263,[11  2] ; [ 3 19],[5.2 7.8] ; [ 8.8 13.2],1
u1,1,0.232707,1.42424,[ 2 11] ; [ 1 23],[ 1.05405405 11.94594595] ; [ 1.94594595 22.05405405],0
n5,1,0.240545,1.377398,[11  2] ; [16  8],[9.48648649 3.51351351] ; [17.51351351  6.48648649],0
r1,1,0.248286,1.332921,[8 5] ; [10 14],[6.32432432 6.67567568] ; [11.67567568 12.32432432],0
n4,1,0.258152,1.278641,[10  3] ; [14 10],[8.43243243 4.56756757] ; [15.56756757  8.43243243],0
d5,1,0.258152,1.278641,[10  3] ; [14 10],[8.43243243 4.56756757] ; [15.56756757  8.43243243],0
a7,1,0.259653,1.270604,[9 4] ; [12 12],[7.37837838 5.62162162] ; [13.62162162 10.37837838],0
s5,1,0.306136,1.047273,[5 7] ; [ 6 18],[3.66666667 8.33333333] ; [ 7.33333333 16.66666667],0
p4,1,0.361535,0.832555,[8 5] ; [11 13],[6.67567568 6.32432432] ; [12.32432432 11.67567568],0
d3,1,0.372944,0.793833,[9 4] ; [13 11],[7.72972973 5.27027027] ; [14.27027027  9.72972973],0
p6,1,0.392416,0.731442,[5 8] ; [ 6 18],[3.86486486 9.13513514] ; [ 7.13513514 16.86486486],0
s4,1,0.404698,0.694324,[ 3 10] ; [ 3 21],[ 2.10810811 10.89189189] ; [ 3.89189189 20.10810811],0
u3,1,0.428537,0.626786,[3 2] ; [3 5],[2.30769231 2.69230769] ; [3.69230769 4.30769231],0
n2,1,0.490168,0.476157,[7 2] ; [5 3],[6.35294118 2.64705882] ; [5.64705882 2.35294118],0
b5,1,0.514084,0.425745,[9 4] ; [14 10],[8.08108108 4.91891892] ; [14.91891892  9.08108108],0
b4,1,0.564222,0.332447,[8 5] ; [17  7],[8.78378378 4.21621622] ; [16.21621622  7.78378378],0
p3,1,0.587045,0.294983,[5 8] ; [11 12],[5.77777778 7.22222222] ; [10.22222222 12.77777778],0
a3,1,0.623627,0.240803,[8 5] ; [16  7],[8.66666667 4.33333333] ; [15.33333333  7.66666667],0
p5,1,0.678863,0.171409,[ 3 10] ; [ 4 19],[ 2.52777778 10.47222222] ; [ 4.47222222 18.52777778],0
p1,1,0.686225,0.163202,[ 2 11] ; [ 5 19],[ 2.45945946 10.54054054] ; [ 4.54054054 19.45945946],0
r2,1,0.765875,0.08867,[10  2] ; [19  5],[9.66666667 2.33333333] ; [19.33333333  4.66666667],0
v3,1,0.79246,0.069231,[3 9] ; [ 7 17],[3.33333333 8.66666667] ; [ 6.66666667 17.33333333],0
n1,1,0.818821,0.052469,[5 4] ; [4 4],[4.76470588 4.23529412] ; [4.23529412 3.76470588],0
p8,1,0.823181,0.049933,[7 6] ; [12 12],[6.67567568 6.32432432] ; [12.32432432 11.67567568],0
a4,1,0.825298,0.048724,[5 8] ; [ 8 15],[4.69444444 8.30555556] ; [ 8.30555556 14.69444444],0
b3,1,0.855702,0.033069,[3 7] ; [ 4 11],[2.8 7.2] ; [ 4.2 10.8],0
b2,1,0.855702,0.033069,[3 7] ; [ 4 11],[2.8 7.2] ; [ 4.2 10.8],0
s1,1,0.94563,0.004651,[ 1 12] ; [ 2 22],[ 1.05405405 11.94594595] ; [ 1.94594595 22.05405405],0
a5,1,0.954089,0.003315,[8 5] ; [15  9],[8.08108108 4.91891892] ; [14.91891892  9.08108108],0
p11,1,0.9851,0.000349,[7 6] ; [13 11],[7.02702703 5.97297297] ; [12.97297297 11.02702703],0
v2,1,1.0,0.0,[3 9] ; [ 6 18],[3. 9.] ; [ 6. 18.],0
