Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s3,1,1e-06,23.410217,[ 8 25] ; [33  8],[18.28378378 14.71621622] ; [22.71621622 18.28378378],1
b1,1,0.279223,1.170868,[12 22] ; [20 22],[14.31578947 19.68421053] ; [17.68421053 24.31578947],0
p3,1,0.283497,1.150248,[ 9 25] ; [16 26],[11.18421053 22.81578947] ; [13.81578947 28.18421053],0
u2,1,0.310557,1.028307,[2 7] ; [6 8],[3.13043478 5.86956522] ; [4.86956522 9.13043478],0
a7,1,0.335893,0.926043,[19 15] ; [28 14],[21.02631579 12.97368421] ; [25.97368421 16.02631579],0
a3,1,0.354171,0.858455,[25  8] ; [27 14],[23.18918919  9.81081081] ; [28.81081081 12.18918919],0
n3,1,0.368042,0.810264,[11  2] ; [12  5],[9.96666667 3.03333333] ; [13.03333333  3.96666667],0
s4,1,0.440774,0.594268,[ 3 31] ; [ 6 35],[ 4.08 29.92] ; [ 4.92 36.08],0
a1,1,0.48843,0.479983,[ 4 30] ; [ 3 39],[ 3.13157895 30.86842105] ; [ 3.86842105 38.13157895],0
p11,1,0.53868,0.377992,[21 13] ; [23 19],[19.68421053 14.31578947] ; [24.31578947 17.68421053],0
b3,1,0.542209,0.371461,[ 9 14] ; [ 9 20],[ 7.96153846 15.03846154] ; [10.03846154 18.96153846],0
b2,1,0.542209,0.371461,[ 9 14] ; [ 9 20],[ 7.96153846 15.03846154] ; [10.03846154 18.96153846],0
p1,1,0.558307,0.342644,[ 2 32] ; [ 4 38],[ 2.68421053 31.31578947] ; [ 3.31578947 38.68421053],0
b4,1,0.595284,0.282168,[19 15] ; [26 16],[20.13157895 13.86842105] ; [24.86842105 17.13157895],0
a8,1,0.634041,0.22662,[ 6 23] ; [10 29],[ 6.82352941 22.17647059] ; [ 9.17647059 29.82352941],0
v3,1,0.655138,0.199484,[ 8 25] ; [11 27],[ 8.83098592 24.16901408] ; [10.16901408 27.83098592],0
p7,1,0.686987,0.162367,[15 19] ; [20 21],[15.86666667 18.13333333] ; [19.13333333 21.86666667],0
n2,1,0.697418,0.151172,[10  3] ; [12  5],[9.53333333 3.46666667] ; [12.46666667  4.53333333],0
a2,1,0.737564,0.112279,[ 7 27] ; [10 32],[ 7.60526316 26.39473684] ; [ 9.39473684 32.60526316],0
p2,1,0.789942,0.070962,[26  8] ; [31 11],[25.5  8.5] ; [31.5 10.5],0
b5,1,0.838631,0.041471,[25  9] ; [30 12],[24.60526316  9.39473684] ; [30.39473684 11.60526316],0
p6,1,0.849573,0.035972,[10 22] ; [14 28],[10.37837838 21.62162162] ; [13.62162162 28.37837838],0
n6,1,0.869719,0.026901,[23 11] ; [27 14],[22.66666667 11.33333333] ; [27.33333333 13.66666667],0
d2,1,0.881894,0.022073,[16 18] ; [20 21],[16.32 17.68] ; [19.68 21.32],0
a4,1,0.916248,0.011059,[17 17] ; [21 20],[17.22666667 16.77333333] ; [20.77333333 20.22666667],0
a6,1,0.944307,0.00488,[21 13] ; [25 16],[20.85333333 13.14666667] ; [25.14666667 15.85333333],0
