Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a6,1,0.0,34.495975,[ 9 23] ; [77 15],[22.19354839  9.80645161] ; [63.80645161 28.19354839],1
p7,1,0.637665,0.221809,[14 16] ; [38 53],[12.89256198 17.10743802] ; [39.10743802 51.89256198],0
p6,1,0.658274,0.195627,[10 21] ; [33 57],[11.01652893 19.98347107] ; [31.98347107 58.01652893],0
a8,1,0.683665,0.16603,[ 3 27] ; [ 6 73],[ 2.47706422 27.52293578] ; [ 6.52293578 72.47706422],0
p8,1,0.693206,0.155637,[12 19] ; [32 60],[11.08943089 19.91056911] ; [32.91056911 59.08943089],0
b3,1,0.703104,0.145263,[ 7 12] ; [16 34],[ 6.33333333 12.66666667] ; [16.66666667 33.33333333],0
b2,1,0.703104,0.145263,[ 7 12] ; [16 34],[ 6.33333333 12.66666667] ; [16.66666667 33.33333333],0
n2,1,0.723997,0.124695,[10  8] ; [23 15],[10.60714286  7.39285714] ; [22.39285714 15.60714286],0
s8,1,0.726483,0.122365,[14 18] ; [37 55],[13.16129032 18.83870968] ; [37.83870968 54.16129032],0
p10,1,0.740719,0.109496,[17 14] ; [53 38],[17.78688525 13.21311475] ; [52.21311475 38.78688525],0
u4,1,0.756053,0.096514,[ 1 31] ; [ 2 91],[ 0.768 31.232] ; [ 2.232 90.768],0
n6,1,0.759935,0.093371,[21 10] ; [65 27],[21.67479675  9.32520325] ; [64.32520325 27.67479675],0
v1,1,0.778687,0.078978,[13 19] ; [40 52],[13.67741935 18.32258065] ; [39.32258065 52.67741935],0
a5,1,0.779735,0.078212,[24  8] ; [72 21],[24.576  7.424] ; [71.424 21.576],0
p12,1,0.784399,0.074852,[ 1 30] ; [ 4 88],[ 1.2601626 29.7398374] ; [ 3.7398374 88.2601626],0
u3,1,0.807671,0.059259,[4 2] ; [11  7],[3.75 2.25] ; [11.25  6.75],0
u2,1,0.813025,0.055944,[3 3] ; [10  8],[3.25 2.75] ; [9.75 8.25],0
b4,1,0.813778,0.055486,[19 13] ; [53 40],[18.432 13.568] ; [53.568 39.432],0
v3,1,0.849103,0.0362,[10 20] ; [28 61],[ 9.57983193 20.42016807] ; [28.42016807 60.57983193],0
s7,1,0.860624,0.030828,[12 13] ; [42 42],[12.3853211 12.6146789] ; [41.6146789 42.3853211],0
s1,1,0.967939,0.001615,[ 2 30] ; [ 6 87],[ 2.048 29.952] ; [ 5.952 87.048],0
a1,1,0.967939,0.001615,[ 2 30] ; [ 6 87],[ 2.048 29.952] ; [ 5.952 87.048],0
a3,1,0.972825,0.00116,[26  6] ; [75 17],[26.06451613  5.93548387] ; [74.93548387 17.06451613],0
p4,1,0.994488,4.8e-05,[14 16] ; [43 49],[14.01639344 15.98360656] ; [42.98360656 49.01639344],0
s3,1,1.0,0.0,[17 14] ; [51 42],[17. 14.] ; [51. 42.],0
s2,1,1.0,0.0,[16 16] ; [46 46],[16. 16.] ; [46. 46.],0
