Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p9,1,5e-06,20.883059,[24  5] ; [ 7 23],[15.23728814 13.76271186] ; [15.76271186 14.23728814],1
p4,1,0.056513,3.636865,[13 16] ; [ 7 25],[ 9.50819672 19.49180328] ; [10.49180328 21.50819672],0
a1,1,0.089348,2.886076,[ 2 28] ; [ 7 25],[ 4.35483871 25.64516129] ; [ 4.64516129 27.35483871],0
r4,1,0.090721,2.861538,[ 9 21] ; [ 4 28],[ 6.29032258 23.70967742] ; [ 6.70967742 25.29032258],0
p3,1,0.100437,2.698585,[12 17] ; [ 7 25],[ 9.03278689 19.96721311] ; [ 9.96721311 22.03278689],0
d5,1,0.116248,2.467152,[20 10] ; [15 17],[16.93548387 13.06451613] ; [18.06451613 13.93548387],0
d4,1,0.116248,2.467152,[20 10] ; [15 17],[16.93548387 13.06451613] ; [18.06451613 13.93548387],0
p6,1,0.117079,2.455965,[ 6 24] ; [ 2 29],[ 3.93442623 26.06557377] ; [ 4.06557377 26.93442623],0
d1,1,0.127433,2.3235,[13 17] ; [ 8 24],[10.16129032 19.83870968] ; [10.83870968 21.16129032],0
p1,1,0.135344,2.230112,[ 7 23] ; [ 3 29],[ 4.83870968 25.16129032] ; [ 5.16129032 26.83870968],0
d2,1,0.158955,1.98414,[15 15] ; [10 21],[12.29508197 17.70491803] ; [12.70491803 18.29508197],0
u2,1,0.178978,1.80609,[5 5] ; [ 3 10],[3.47826087 6.52173913] ; [4.52173913 8.47826087],0
d3,1,0.21059,1.567367,[16 14] ; [12 20],[13.5483871 16.4516129] ; [14.4516129 17.5483871],0
a6,1,0.21059,1.567367,[14 16] ; [20 12],[16.4516129 13.5483871] ; [17.5483871 14.4516129],0
p12,1,0.270816,1.212608,[ 3 27] ; [ 1 31],[ 1.93548387 28.06451613] ; [ 2.06451613 29.93548387],0
n2,1,0.300115,1.073684,[11  6] ; [8 9],[9.5 7.5] ; [9.5 7.5],0
s3,1,0.300612,1.071476,[10 18] ; [ 7 23],[ 8.20689655 19.79310345] ; [ 8.79310345 21.20689655],0
b1,1,0.469247,0.523748,[17 13] ; [21 11],[18.38709677 11.61290323] ; [19.61290323 12.38709677],0
u1,1,0.516041,0.421798,[ 2 28] ; [ 1 31],[ 1.4516129 28.5483871] ; [ 1.5483871 30.4516129],0
v2,1,0.607826,0.263352,[ 7 22] ; [ 6 26],[ 6.18032787 22.81967213] ; [ 6.81967213 25.18032787],0
p7,1,0.639903,0.218869,[10 17] ; [10 22],[ 9.15254237 17.84745763] ; [10.84745763 21.15254237],0
n5,1,0.659189,0.19451,[21  9] ; [24  8],[21.77419355  8.22580645] ; [23.22580645  8.77419355],0
s1,1,0.695508,0.153187,[ 2 28] ; [ 3 29],[ 2.41935484 27.58064516] ; [ 2.58064516 29.41935484],0
n1,1,0.731601,0.117647,[8 9] ; [9 8],[8.5 8.5] ; [8.5 8.5],0
a3,1,0.786648,0.07326,[20 10] ; [19 11],[19.5 10.5] ; [19.5 10.5],0
b5,1,0.805634,0.060547,[15 15] ; [15 17],[14.51612903 15.48387097] ; [15.48387097 16.51612903],0
v3,1,0.818623,0.052586,[ 8 21] ; [ 8 24],[ 7.60655738 21.39344262] ; [ 8.39344262 23.60655738],0
n3,1,0.848698,0.036397,[8 9] ; [7 9],[7.72727273 9.27272727] ; [7.27272727 8.72727273],0
b2,1,0.850371,0.035587,[ 8 13] ; [ 9 13],[ 8.30232558 12.69767442] ; [ 8.69767442 13.30232558],0
b3,1,0.850371,0.035587,[ 8 13] ; [ 9 13],[ 8.30232558 12.69767442] ; [ 8.69767442 13.30232558],0
n4,1,0.850508,0.035521,[19 11] ; [21 11],[19.35483871 10.64516129] ; [20.64516129 11.35483871],0
a2,1,0.922079,0.009568,[ 4 26] ; [ 4 28],[ 3.87096774 26.12903226] ; [ 4.12903226 27.87096774],0
a5,1,0.973621,0.001093,[17 13] ; [18 14],[16.93548387 13.06451613] ; [18.06451613 13.93548387],0
a7,1,0.986891,0.00027,[14 16] ; [15 17],[14.03225806 15.96774194] ; [14.96774194 17.03225806],0
a4,1,1.0,0.0,[10 20] ; [10 20],[10. 20.] ; [10. 20.],0
