Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s6,1,2.6e-05,17.671602,[30 68] ; [18  5],[38.87603306 59.12396694] ; [ 9.12396694 13.87603306],1
r2,1,0.203446,1.61746,[76 19] ; [21  2],[78.09322034 16.90677966] ; [18.90677966  4.09322034],0
b4,1,0.206176,1.59808,[54 44] ; [16  7],[56.69421488 41.30578512] ; [13.30578512  9.69421488],0
n1,1,0.241567,1.371429,[16 24] ; [5 3],[17.5 22.5] ; [3.5 4.5],0
n5,1,0.255223,1.294487,[63 34] ; [12 11],[60.625 36.375] ; [14.375  8.625],0
s2,1,0.263334,1.251145,[23 75] ; [ 8 15],[25.10743802 72.89256198] ; [ 5.89256198 17.10743802],0
a4,1,0.343996,0.895482,[36 61] ; [11 12],[37.99166667 59.00833333] ; [ 9.00833333 13.99166667],0
s1,1,0.355006,0.855484,[ 7 91] ; [ 3 20],[ 8.09917355 89.90082645] ; [ 1.90082645 21.09917355],0
u2,1,0.357725,0.845865,[18 20] ; [2 5],[16.88888889 21.11111111] ; [3.11111111 3.88888889],0
b5,1,0.359629,0.839187,[53 45] ; [10 13],[51.02479339 46.97520661] ; [11.97520661 11.02479339],0
p5,1,0.365725,0.818137,[ 4 93] ; [ 2 21],[ 4.85 92.15] ; [ 1.15 21.85],0
u3,1,0.367582,0.811821,[16 22] ; [2 6],[14.86956522 23.13043478] ; [3.13043478 4.86956522],0
a8,1,0.386422,0.750172,[10 85] ; [ 1 21],[ 8.93162393 86.06837607] ; [ 2.06837607 19.93162393],0
b1,1,0.444736,0.584031,[51 47] ; [14  9],[52.6446281 45.3553719] ; [12.3553719 10.6446281],0
s3,1,0.450176,0.570209,[30 67] ; [ 9 14],[31.525 65.475] ; [ 7.475 15.525],0
p3,1,0.486304,0.484695,[23 75] ; [ 7 16],[24.29752066 73.70247934] ; [ 5.70247934 17.29752066],0
v4,1,0.507893,0.438406,[70 28] ; [18  5],[71.27272727 26.72727273] ; [16.72727273  6.27272727],0
u4,1,0.521945,0.410048,[ 2 96] ; [ 1 22],[ 2.42975207 95.57024793] ; [ 0.57024793 22.42975207],0
d3,1,0.543887,0.368383,[48 49] ; [13 10],[49.30833333 47.69166667] ; [11.69166667 11.30833333],0
n4,1,0.548784,0.359501,[62 36] ; [13 10],[60.74380165 37.25619835] ; [14.25619835  8.74380165],0
a1,1,0.577286,0.310643,[ 9 89] ; [ 3 20],[ 9.71900826 88.28099174] ; [ 2.28099174 20.71900826],0
p8,1,0.579873,0.306439,[22 75] ; [ 4 19],[21.01666667 75.98333333] ; [ 4.98333333 18.01666667],0
v3,1,0.583494,0.300619,[26 69] ; [ 7 14],[27.02586207 67.97413793] ; [ 5.97413793 15.02586207],0
a2,1,0.623074,0.241571,[17 81] ; [ 5 18],[17.81818182 80.18181818] ; [ 4.18181818 18.81818182],0
d1,1,0.651063,0.204563,[46 52] ; [12 11],[46.97520661 51.02479339] ; [11.02479339 11.97520661],0
p9,1,0.652093,0.203271,[42 52] ; [11 11],[42.94827586 51.05172414] ; [10.05172414 11.94827586],0
r1,1,0.657082,0.197087,[59 39] ; [15  8],[59.9338843 38.0661157] ; [14.0661157  8.9338843],0
p11,1,0.731731,0.117528,[43 55] ; [11 12],[43.73553719 54.26446281] ; [10.26446281 12.73553719],0
d5,1,0.742922,0.107575,[64 33] ; [16  7],[64.66666667 32.33333333] ; [15.33333333  7.66666667],0
a7,1,0.746116,0.104824,[59 39] ; [13 10],[58.31404959 39.68595041] ; [13.68595041  9.31404959],0
a3,1,0.764628,0.089646,[60 37] ; [15  8],[60.625 36.375] ; [14.375  8.625],0
n3,1,0.785904,0.073784,[21 17] ; [4 4],[20.65217391 17.34782609] ; [4.34782609 3.65217391],0
u1,1,0.806116,0.06024,[11 87] ; [ 3 20],[11.33884298 86.66115702] ; [ 2.66115702 20.33884298],0
p7,1,0.844531,0.038456,[27 69] ; [ 6 17],[26.62184874 69.37815126] ; [ 6.37815126 16.62184874],0
n2,1,0.869668,0.026922,[24 17] ; [5 4],[23.78 17.22] ; [5.22 3.78],0
b2,1,0.880051,0.022772,[20 40] ; [ 6 11],[20.25974026 39.74025974] ; [ 5.74025974 11.25974026],0
b3,1,0.880051,0.022772,[20 40] ; [ 6 11],[20.25974026 39.74025974] ; [ 5.74025974 11.25974026],0
a6,1,0.987553,0.000243,[55 42] ; [13 10],[54.96666667 42.03333333] ; [13.03333333  9.96666667],0
