Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s3,1,0.0,99.350563,[ 49 129] ; [277 107],[103.25266904  74.74733096] ; [222.74733096 161.25266904],1
u4,1,0.158544,1.988058,[  2 179] ; [ 12 380],[  4.42233857 176.57766143] ; [  9.57766143 382.42233857],0
p8,1,0.165377,1.924358,[93 85] ; [224 159],[100.58110517  77.41889483] ; [216.41889483 166.58110517],0
d3,1,0.178992,1.805972,[117  64] ; [274 116],[123.94220665  57.05779335] ; [267.05779335 122.94220665],0
a3,1,0.187813,1.734691,[128  53] ; [296  94],[134.4028021  46.5971979] ; [289.5971979 100.4028021],0
a1,1,0.195068,1.67892,[  6 175] ; [ 23 369],[  9.16055846 171.83944154] ; [ 19.83944154 372.16055846],0
a5,1,0.29677,1.088653,[135  46] ; [307  84],[139.86363636  41.13636364] ; [302.13636364  88.86363636],0
s1,1,0.313727,1.014921,[  4 174] ; [ 15 370],[  6.0071048 171.9928952] ; [ 12.9928952 372.0071048],0
n3,1,0.315562,1.007252,[32  7] ; [44 16],[29.93939394  9.06060606] ; [46.06060606 13.93939394],0
a8,1,0.329588,0.950517,[ 22 142] ; [ 60 298],[ 25.76245211 138.23754789] ; [ 56.23754789 301.76245211],0
b2,1,0.340733,0.907673,[51 66] ; [101 162],[46.8 70.2] ; [105.2 157.8],0
b3,1,0.340733,0.907673,[51 66] ; [101 162],[46.8 70.2] ; [105.2 157.8],0
d1,1,0.341593,0.904442,[107  74] ; [248 144],[112.13787086  68.86212914] ; [242.86212914 149.13787086],0
a6,1,0.365405,0.819232,[131  50] ; [267 122],[126.38245614  54.61754386] ; [271.61754386 117.38245614],0
b1,1,0.388186,0.744617,[ 70 111] ; [137 255],[ 65.38743455 115.61256545] ; [141.61256545 250.38743455],0
v2,1,0.428938,0.625698,[108  66] ; [220 156],[103.76727273  70.23272727] ; [224.23272727 151.76727273],0
n1,1,0.462867,0.538954,[13 24] ; [26 35],[14.7244898 22.2755102] ; [24.2755102 36.7244898],0
r3,1,0.477601,0.504336,[175   4] ; [378  13],[173.66140351   5.33859649] ; [379.33859649  11.66140351],0
n2,1,0.504219,0.446046,[27 11] ; [47 14],[28.4040404  9.5959596] ; [45.5959596 15.4040404],0
d2,1,0.687117,0.162224,[89 90] ; [201 189],[91.23022847 87.76977153] ; [198.76977153 191.23022847],0
r2,1,0.744347,0.106342,[169  10] ; [366  19],[169.79609929   9.20390071] ; [365.20390071  19.79609929],0
b4,1,0.753467,0.09864,[106  75] ; [235 157],[107.71553229  73.28446771] ; [233.28446771 158.71553229],0
a4,1,0.86472,0.029026,[87 94] ; [184 205],[86.05438596 94.94561404] ; [184.94561404 204.05438596],0
v3,1,0.900843,0.015524,[ 75 100] ; [165 215],[75.67567568 99.32432432] ; [164.32432432 215.67567568],0
a7,1,0.924745,0.008922,[129  51] ; [278 112],[128.52631579  51.47368421] ; [278.47368421 111.52631579],0
