Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s6,1,2e-06,22.837693,[ 3 27] ; [20  8],[11.89655172 18.10344828] ; [11.10344828 16.89655172],1
v3,1,0.280309,1.165594,[ 7 25] ; [ 9 17],[ 8.82758621 23.17241379] ; [ 7.17241379 18.82758621],0
a6,1,0.300623,1.071429,[18 14] ; [12 16],[16. 16.] ; [14. 14.],0
u2,1,0.306702,1.044825,[ 4 16] ; [5 9],[ 5.29411765 14.70588235] ; [ 3.70588235 10.29411765],0
n4,1,0.328782,0.953689,[19 13] ; [20  8],[20.8 11.2] ; [18.2  9.8],0
p4,1,0.329662,0.950226,[12 20] ; [14 14],[13.86666667 18.13333333] ; [12.13333333 15.86666667],0
p1,1,0.334922,0.929773,[ 3 29] ; [ 5 23],[ 4.26666667 27.73333333] ; [ 3.73333333 24.26666667],0
p8,1,0.360758,0.835253,[ 7 24] ; [ 9 18],[ 8.55172414 22.44827586] ; [ 7.44827586 19.55172414],0
v2,1,0.360758,0.835253,[ 7 24] ; [ 9 18],[ 8.55172414 22.44827586] ; [ 7.44827586 19.55172414],0
b1,1,0.381673,0.765306,[17 15] ; [18 10],[18.66666667 13.33333333] ; [16.33333333 11.66666667],0
p7,1,0.388494,0.743649,[13 19] ; [14 13],[14.6440678 17.3559322] ; [12.3559322 14.6440678],0
d5,1,0.392787,0.730298,[11 20] ; [13 15],[12.61016949 18.38983051] ; [11.38983051 16.61016949],0
n1,1,0.452651,0.564004,[5 6] ; [ 5 11],[4.07407407 6.92592593] ; [ 5.92592593 10.07407407],0
b4,1,0.484018,0.489796,[12 20] ; [13 15],[13.33333333 18.66666667] ; [11.66666667 16.33333333],0
s1,1,0.532504,0.38961,[ 2 30] ; [ 3 25],[ 2.66666667 29.33333333] ; [ 2.33333333 25.66666667],0
p2,1,0.553958,0.350275,[17 15] ; [17 11],[18.13333333 13.86666667] ; [15.86666667 12.13333333],0
n3,1,0.621685,0.243506,[6 5] ; [9 5],[6.6 4.4] ; [8.4 5.6],0
p6,1,0.750343,0.101243,[ 8 23] ; [ 6 21],[ 7.48275862 23.51724138] ; [ 6.51724138 20.48275862],0
a2,1,0.754969,0.097403,[ 3 29] ; [ 2 26],[ 2.66666667 29.33333333] ; [ 2.33333333 25.66666667],0
p9,1,0.789137,0.07152,[15 14] ; [13 14],[14.5 14.5] ; [13.5 13.5],0
b5,1,0.809046,0.058398,[17 15] ; [14 14],[16.53333333 15.46666667] ; [14.46666667 13.53333333],0
n5,1,0.898834,0.016163,[23  9] ; [19  8],[22.77966102  9.22033898] ; [19.22033898  7.77966102],0
d3,1,0.923099,0.009318,[10 20] ; [ 9 19],[ 9.82758621 20.17241379] ; [ 9.17241379 18.82758621],0
a4,1,0.981854,0.000517,[ 6 26] ; [ 5 22],[ 5.96610169 26.03389831] ; [ 5.03389831 21.96610169],0
p3,1,1.0,0.0,[ 8 24] ; [ 7 21],[ 8. 24.] ; [ 7. 21.],0
