Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a4,1,0.009087,6.805556,[9 7] ; [12 42],[ 4.8 11.2] ; [16.2 37.8],0
b4,1,0.375005,0.787012,[11  5] ; [31 24],[9.46478873 6.53521127] ; [32.53521127 22.46478873],0
r2,1,0.380054,0.770526,[15  1] ; [47  8],[13.97183099  2.02816901] ; [48.02816901  6.97183099],0
s2,1,0.428098,0.627979,[8 8] ; [21 33],[6.62857143 9.37142857] ; [22.37142857 31.62857143],0
u1,1,0.431769,0.618061,[ 4 12] ; [ 9 46],[ 2.92957746 13.07042254] ; [10.07042254 44.92957746],0
b5,1,0.446776,0.578818,[7 9] ; [30 25],[8.33802817 7.66197183] ; [28.66197183 26.33802817],0
b2,1,0.447185,0.577778,[ 2 10] ; [11 29],[3. 9.] ; [10. 30.],0
b3,1,0.447185,0.577778,[ 2 10] ; [11 29],[3. 9.] ; [10. 30.],0
p1,1,0.470795,0.52011,[ 1 15] ; [ 7 48],[ 1.8028169 14.1971831] ; [ 6.1971831 48.8028169],0
v4,1,0.470795,0.52011,[15  1] ; [48  7],[14.1971831  1.8028169] ; [48.8028169  6.1971831],0
d4,1,0.472698,0.515662,[12  4] ; [36 19],[10.81690141  5.18309859] ; [37.18309859 17.81690141],0
a6,1,0.47602,0.507967,[8 8] ; [33 22],[9.23943662 6.76056338] ; [31.76056338 23.23943662],0
r4,1,0.49478,0.466114,[14  2] ; [44 11],[13.07042254  2.92957746] ; [44.92957746 10.07042254],0
a5,1,0.501179,0.452439,[9 7] ; [36 19],[10.14084507  5.85915493] ; [34.85915493 20.14084507],0
v2,1,0.503968,0.446571,[8 7] ; [24 31],[6.85714286 8.14285714] ; [25.14285714 29.85714286],0
d1,1,0.52728,0.399631,[9 7] ; [26 29],[7.88732394 8.11267606] ; [27.11267606 27.88732394],0
p7,1,0.552119,0.353535,[10  5] ; [32 23],[9. 6.] ; [33. 22.],0
p8,1,0.56917,0.324074,[7 9] ; [28 26],[8. 8.] ; [27. 27.],0
p11,1,0.572316,0.318823,[10  6] ; [30 25],[9.01408451 6.98591549] ; [30.98591549 24.01408451],0
n4,1,0.59219,0.286937,[9 7] ; [35 20],[9.91549296 6.08450704] ; [34.08450704 20.91549296],0
n2,1,0.626928,0.23625,[5 1] ; [11  4],[4.57142857 1.42857143] ; [11.42857143  3.57142857],0
p2,1,0.644891,0.212402,[11  5] ; [41 14],[11.71830986  4.28169014] ; [40.28169014 14.71830986],0
d3,1,0.648517,0.207775,[12  4] ; [38 17],[11.26760563  4.73239437] ; [38.73239437 16.26760563],0
b1,1,0.661858,0.191275,[10  6] ; [31 24],[9.23943662 6.76056338] ; [31.76056338 23.23943662],0
p10,1,0.674034,0.17692,[ 5 11] ; [14 40],[ 4.34285714 11.65714286] ; [14.65714286 39.34285714],0
n6,1,0.718816,0.12963,[12  4] ; [38 16],[11.42857143  4.57142857] ; [38.57142857 15.42857143],0
s8,1,0.748834,0.102513,[ 4 12] ; [16 39],[ 4.50704225 11.49295775] ; [15.49295775 39.50704225],0
r1,1,0.748834,0.102513,[12  4] ; [39 16],[11.49295775  4.50704225] ; [39.50704225 15.49295775],0
p3,1,0.896429,0.016945,[8 8] ; [26 28],[7.77142857 8.22857143] ; [26.22857143 27.77142857],0
a1,1,0.90333,0.014752,[ 1 15] ; [ 3 52],[ 0.90140845 15.09859155] ; [ 3.09859155 51.90140845],0
s3,1,0.960826,0.002412,[9 7] ; [30 24],[8.91428571 7.08571429] ; [30.08571429 23.91428571],0
u2,1,1.0,0.0,[2 3] ; [12 18],[2. 3.] ; [12. 18.],0
