Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v1,1,0.0,35.023026,[121  54] ; [50 90],[95. 80.] ; [76. 64.],1
a7,1,0.100451,2.698373,[141  38] ; [102  42],[134.66563467  44.33436533] ; [108.33436533  35.66563467],0
a2,1,0.116796,2.459773,[ 47 133] ; [ 27 117],[ 41.11111111 138.88888889] ; [ 32.88888889 111.11111111],0
d5,1,0.117369,2.452088,[152  28] ; [111  32],[146.56346749  33.43653251] ; [116.43653251  26.56346749],0
s1,1,0.120982,2.404556,[  4 172] ; [  8 135],[  6.62068966 169.37931034] ; [  5.37931034 137.62068966],0
p12,1,0.126874,2.330346,[ 15 164] ; [  6 138],[ 11.6377709 167.3622291] ; [  9.3622291 134.6377709],0
a8,1,0.251766,1.313477,[ 26 132] ; [ 16 120],[ 22.57142857 135.42857143] ; [ 19.42857143 116.57142857],0
u1,1,0.270572,1.213845,[ 36 144] ; [ 22 122],[ 32.22222222 147.77777778] ; [ 25.77777778 118.22222222],0
p4,1,0.307354,1.04201,[115  65] ; [84 60],[110.55555556  69.44444444] ; [88.44444444 55.55555556],0
p1,1,0.326715,0.961875,[  9 171] ; [ 11 133],[ 11.11111111 168.88888889] ; [  8.88888889 135.11111111],0
a3,1,0.342817,0.899867,[126  54] ; [93 50],[122.04334365  57.95665635] ; [96.95665635 46.04334365],0
a5,1,0.353509,0.860823,[131  49] ; [98 46],[127.22222222  52.77777778] ; [101.77777778  42.22222222],0
a1,1,0.375189,0.786408,[ 10 170] ; [  5 139],[  8.33333333 171.66666667] ; [  6.66666667 137.33333333],0
p3,1,0.387204,0.747703,[88 92] ; [63 80],[84.14860681 95.85139319] ; [66.85139319 76.14860681],0
u2,1,0.400612,0.70649,[35 18] ; [29 21],[32.93203883 20.06796117] ; [31.06796117 18.93203883],0
n2,1,0.402195,0.701754,[24  8] ; [25 13],[22.4  9.6] ; [26.6 11.4],0
n3,1,0.402195,0.701754,[24  8] ; [25 13],[22.4  9.6] ; [26.6 11.4],0
p8,1,0.407971,0.684705,[83 92] ; [75 69],[86.67711599 88.32288401] ; [71.32288401 72.67711599],0
b5,1,0.435156,0.609023,[120  60] ; [90 54],[116.66666667  63.33333333] ; [93.33333333 50.66666667],0
s7,1,0.455561,0.556778,[95 79] ; [70 69],[91.72523962 82.27476038] ; [73.27476038 65.72523962],0
n5,1,0.504175,0.446138,[142  37] ; [109  34],[139.5310559  39.4689441] ; [111.4689441  31.5310559],0
p11,1,0.523988,0.406036,[144  36] ; [111  33],[141.66666667  38.33333333] ; [113.33333333  30.66666667],0
s2,1,0.526871,0.400423,[99 79] ; [75 69],[96.1863354 81.8136646] ; [77.8136646 66.1863354],0
v4,1,0.617022,0.250075,[168  11] ; [137   7],[169.0247678   9.9752322] ; [135.9752322   8.0247678],0
r4,1,0.622102,0.242924,[163  17] ; [128  16],[161.66666667  18.33333333] ; [129.33333333  14.66666667],0
n4,1,0.625484,0.238235,[144  36] ; [112  32],[142.22222222  37.77777778] ; [113.77777778  30.22222222],0
u3,1,0.676964,0.173564,[32 22] ; [31 18],[33.02912621 20.97087379] ; [29.97087379 19.02912621],0
a4,1,0.709514,0.138762,[ 73 106] ; [55 87],[ 71.37694704 107.62305296] ; [56.62305296 85.37694704],0
b3,1,0.740731,0.109486,[35 77] ; [25 61],[33.93939394 78.06060606] ; [26.06060606 59.93939394],0
b2,1,0.740731,0.109486,[35 77] ; [25 61],[33.93939394 78.06060606] ; [26.06060606 59.93939394],0
u4,1,0.773874,0.082548,[  6 174] ; [  4 140],[  5.55555556 174.44444444] ; [  4.44444444 139.55555556],0
s8,1,0.802927,0.06228,[87 92] ; [72 72],[88.11455108 90.88544892] ; [70.88544892 73.11455108],0
r2,1,0.928406,0.008073,[165  13] ; [132  10],[165.20625  12.79375] ; [131.79375  10.20625],0
n6,1,0.935611,0.006527,[151  28] ; [121  23],[150.73684211  28.26315789] ; [121.26315789  22.73684211],0
s3,1,0.939629,0.005736,[114  64] ; [91 52],[113.67601246  64.32398754] ; [91.32398754 51.67601246],0
p2,1,0.944878,0.00478,[148  32] ; [118  25],[148.23529412  31.76470588] ; [117.76470588  25.23529412],0
p7,1,0.977426,0.000801,[108  67] ; [86 53],[108.12101911  66.87898089] ; [85.87898089 53.12101911],0
