Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v4,1,3e-06,21.522497,[96  4] ; [33 15],[87.16216216 12.83783784] ; [41.83783784  6.16216216],1
s8,1,0.172755,1.858869,[40 60] ; [14 35],[36.24161074 63.75838926] ; [17.75838926 31.24161074],0
p3,1,0.193417,1.6914,[48 52] ; [18 31],[44.29530201 55.70469799] ; [21.70469799 27.29530201],0
s3,1,0.196713,1.666611,[53 47] ; [20 28],[49.32432432 50.67567568] ; [23.67567568 24.32432432],0
b4,1,0.196936,1.664952,[66 34] ; [27 22],[62.41610738 37.58389262] ; [30.58389262 18.41610738],0
a5,1,0.201466,1.631713,[62 38] ; [25 24],[58.38926174 41.61073826] ; [28.61073826 20.38926174],0
a6,1,0.202535,1.623996,[60 40] ; [24 25],[56.37583893 43.62416107] ; [27.62416107 21.37583893],0
p2,1,0.203648,1.616017,[82 18] ; [35 13],[79.05405405 20.94594595] ; [37.94594595 10.05405405],0
a8,1,0.211399,1.561821,[12 81] ; [ 3 46],[ 9.82394366 83.17605634] ; [ 5.17605634 43.82394366],0
p8,1,0.213399,1.548217,[50 49] ; [19 29],[46.46938776 52.53061224] ; [22.53061224 25.46938776],0
v2,1,0.242898,1.363697,[43 53] ; [17 32],[39.72413793 56.27586207] ; [20.27586207 28.72413793],0
s2,1,0.294257,1.100043,[52 48] ; [21 28],[48.99328859 51.00671141] ; [24.00671141 24.99328859],0
p5,1,0.295034,1.096505,[14 85] ; [ 4 45],[12.04054054 86.95945946] ; [ 5.95945946 43.04054054],0
n5,1,0.388355,0.744086,[76 24] ; [34 15],[73.82550336 26.17449664] ; [36.17449664 12.82550336],0
p7,1,0.415279,0.663636,[56 42] ; [24 24],[53.69863014 44.30136986] ; [26.30136986 21.69863014],0
p4,1,0.417753,0.656628,[54 46] ; [23 26],[51.67785235 48.32214765] ; [25.32214765 23.67785235],0
s4,1,0.437998,0.601521,[19 81] ; [12 37],[20.80536913 79.19463087] ; [10.19463087 38.80536913],0
n1,1,0.446867,0.578587,[12 16] ; [ 5 11],[10.81818182 17.18181818] ; [6.18181818 9.81818182],0
d3,1,0.455863,0.556032,[58 41] ; [25 23],[55.89795918 43.10204082] ; [27.10204082 20.89795918],0
u2,1,0.464214,0.535714,[20 20] ; [12  8],[21.33333333 18.66666667] ; [10.66666667  9.33333333],0
a2,1,0.47729,0.50505,[12 88] ; [ 4 45],[10.73825503 89.26174497] ; [ 5.26174497 43.73825503],0
a1,1,0.482368,0.493505,[ 7 93] ; [ 2 47],[ 6.04026846 93.95973154] ; [ 2.95973154 46.04026846],0
n3,1,0.49168,0.472847,[21  8] ; [10  6],[19.97777778  9.02222222] ; [11.02222222  4.97777778],0
b3,1,0.515674,0.422537,[24 35] ; [ 9 18],[22.63953488 36.36046512] ; [10.36046512 16.63953488],0
b2,1,0.515674,0.422537,[24 35] ; [ 9 18],[22.63953488 36.36046512] ; [10.36046512 16.63953488],0
u1,1,0.625511,0.238197,[ 6 94] ; [ 2 47],[ 5.36912752 94.63087248] ; [ 2.63087248 46.36912752],0
d2,1,0.656327,0.198016,[36 63] ; [16 33],[34.78378378 64.21621622] ; [17.21621622 31.78378378],0
u3,1,0.714393,0.133929,[18 22] ; [10 10],[18.66666667 21.33333333] ; [ 9.33333333 10.66666667],0
s1,1,0.730521,0.118634,[ 3 97] ; [ 2 47],[ 3.3557047 96.6442953] ; [ 1.6442953 47.3557047],0
p1,1,0.745982,0.104938,[12 88] ; [ 5 44],[11.40939597 88.59060403] ; [ 5.59060403 43.40939597],0
s7,1,0.752662,0.099308,[39 56] ; [18 29],[38.13380282 56.86619718] ; [18.86619718 28.13380282],0
a3,1,0.923956,0.009111,[60 40] ; [29 20],[59.73154362 40.26845638] ; [29.26845638 19.73154362],0
n2,1,0.948642,0.004149,[22  7] ; [12  4],[21.91111111  7.08888889] ; [12.08888889  3.91111111],0
