Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r3,1,1.1e-05,19.296133,[63  5] ; [46 29],[51.83216783 16.16783217] ; [57.16783217 17.83216783],1
d3,1,0.404686,0.694357,[43 24] ; [43 32],[40.57746479 26.42253521] ; [45.42253521 29.57746479],0
s2,1,0.475767,0.50855,[33 36] ; [31 43],[30.88111888 38.11888112] ; [33.11888112 40.88111888],0
n4,1,0.497578,0.460098,[59  9] ; [62 13],[57.53846154 10.46153846] ; [63.46153846 11.53846154],0
d2,1,0.501619,0.45151,[32 36] ; [39 35],[34. 34.] ; [37. 37.],0
a3,1,0.551265,0.355056,[47 21] ; [47 26],[45.33333333 22.66666667] ; [48.66666667 24.33333333],0
s1,1,0.604562,0.26817,[ 4 64] ; [ 6 68],[ 4.78873239 63.21126761] ; [ 5.21126761 68.78873239],0
p5,1,0.635597,0.224547,[ 8 60] ; [ 7 68],[ 7.13286713 60.86713287] ; [ 7.86713287 67.13286713],0
d1,1,0.635954,0.224073,[34 35] ; [34 41],[32.58333333 36.41666667] ; [35.41666667 39.58333333],0
v3,1,0.641604,0.21665,[23 44] ; [23 52],[21.70422535 45.29577465] ; [24.29577465 50.70422535],0
p12,1,0.718347,0.130082,[ 2 67] ; [ 3 72],[ 2.39583333 66.60416667] ; [ 2.60416667 72.39583333],0
b4,1,0.743892,0.106736,[34 35] ; [39 36],[34.97916667 34.02083333] ; [38.02083333 36.97916667],0
a2,1,0.780842,0.077407,[17 52] ; [17 58],[16.29166667 52.70833333] ; [17.70833333 57.29166667],0
s4,1,0.858412,0.031825,[11 58] ; [11 63],[10.61538462 58.38461538] ; [11.38461538 62.61538462],0
s8,1,0.873856,0.025206,[27 42] ; [28 46],[26.53846154 42.46153846] ; [28.46153846 45.53846154],0
s7,1,0.886419,0.020402,[30 33] ; [32 37],[29.59090909 33.40909091] ; [32.40909091 36.59090909],0
u4,1,0.932588,0.007155,[ 2 67] ; [ 2 73],[ 1.91666667 67.08333333] ; [ 2.08333333 72.91666667],0
a4,1,0.97346,0.001107,[31 38] ; [33 40],[31.09859155 37.90140845] ; [32.90140845 40.09859155],0
n1,1,0.9836,0.000423,[10  8] ; [21 17],[9.96428571 8.03571429] ; [21.03571429 16.96428571],0
