Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s3,1,0.0,140.277597,[123  15] ; [ 33 128],[72. 66.] ; [84. 77.],1
r1,1,0.5017,0.451339,[119  19] ; [136  27],[116.910299  21.089701] ; [138.089701  24.910299],0
u2,1,0.509675,0.434734,[14 19] ; [22 22],[15.42857143 17.57142857] ; [20.57142857 23.42857143],0
p7,1,0.529886,0.39461,[79 58] ; [87 74],[76.31543624 60.68456376] ; [89.68456376 71.31543624],0
u4,1,0.532692,0.389254,[  3 137] ; [  2 161],[  2.31023102 137.68976898] ; [  2.68976898 160.31023102],0
p2,1,0.5493,0.358572,[113  27] ; [127  36],[110.89108911  29.10891089] ; [129.10891089  33.89108911],0
a1,1,0.572153,0.319094,[  7 133] ; [  6 157],[  6.00660066 133.99339934] ; [  6.99339934 156.00660066],0
n6,1,0.592772,0.286036,[115  22] ; [133  30],[113.25333333  23.74666667] ; [134.74666667  28.25333333],0
b2,1,0.635348,0.224879,[27 59] ; [34 64],[28.51086957 57.48913043] ; [32.48913043 65.51086957],0
b3,1,0.635348,0.224879,[27 59] ; [34 64],[28.51086957 57.48913043] ; [32.48913043 65.51086957],0
n1,1,0.653394,0.201648,[ 9 19] ; [10 27],[ 8.18461538 19.81538462] ; [10.81538462 26.18461538],0
b5,1,0.708559,0.139721,[82 58] ; [92 71],[80.3960396 59.6039604] ; [93.6039604 69.3960396],0
d3,1,0.721066,0.127473,[97 43] ; [116  47],[98.41584158 41.58415842] ; [114.58415842  48.41584158],0
a4,1,0.767184,0.087651,[62 78] ; [69 93],[60.72847682 79.27152318] ; [70.27152318 91.72847682],0
b1,1,0.767845,0.08714,[45 95] ; [ 55 108],[46.20462046 93.79537954] ; [ 53.79537954 109.20462046],0
p8,1,0.826951,0.047792,[63 74] ; [72 89],[62.06375839 74.93624161] ; [72.93624161 88.06375839],0
p11,1,0.82967,0.046279,[112  28] ; [132  31],[112.73927393  27.26072607] ; [131.26072607  31.73927393],0
p1,1,0.839641,0.040947,[  7 133] ; [  9 154],[  7.39273927 132.60726073] ; [  8.60726073 154.39273927],0
n3,1,0.874992,0.02475,[23  7] ; [27  9],[22.72727273  7.27272727] ; [27.27272727  8.72727273],0
s1,1,0.876549,0.024132,[  2 136] ; [  2 159],[  1.84615385 136.15384615] ; [  2.15384615 158.84615385],0
p3,1,0.888068,0.01981,[59 81] ; [70 93],[59.6039604 80.3960396] ; [69.3960396 93.6039604],0
