Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p4,1,1.1e-05,19.382829,[ 7 19] ; [22  3],[14.78431373 11.21568627] ; [14.21568627 10.78431373],1
p1,1,0.440401,0.595238,[ 3 22] ; [ 5 20],[ 4. 21.] ; [ 4. 21.],0
a6,1,0.481959,0.494428,[12 14] ; [14 11],[13.25490196 12.74509804] ; [12.74509804 12.25490196],0
p2,1,0.507801,0.438596,[18  7] ; [20  5],[19.  6.] ; [19.  6.],0
a8,1,0.527064,0.400048,[ 2 22] ; [ 1 24],[ 1.46938776 22.53061224] ; [ 1.53061224 23.46938776],0
p12,1,0.528533,0.397212,[ 1 25] ; [ 2 23],[ 1.52941176 24.47058824] ; [ 1.47058824 23.52941176],0
r4,1,0.588148,0.293246,[18  8] ; [19  6],[18.8627451  7.1372549] ; [18.1372549  6.8627451],0
b5,1,0.667817,0.184167,[13 13] ; [11 14],[12.23529412 13.76470588] ; [11.76470588 13.23529412],0
s2,1,0.686737,0.162641,[20  6] ; [18  7],[19.37254902  6.62745098] ; [18.62745098  6.37254902],0
n5,1,0.687865,0.161407,[16 10] ; [14 11],[15.29411765 10.70588235] ; [14.70588235 10.29411765],0
a4,1,0.690926,0.158085,[ 9 17] ; [10 15],[ 9.68627451 16.31372549] ; [ 9.31372549 15.68627451],0
s3,1,0.690926,0.158085,[17  9] ; [15 10],[16.31372549  9.68627451] ; [15.68627451  9.31372549],0
u2,1,0.697161,0.151442,[7 6] ; [5 3],[7.42857143 5.57142857] ; [4.57142857 3.42857143],0
s7,1,0.715137,0.1332,[14 12] ; [13  9],[14.625 11.375] ; [12.375  9.625],0
p10,1,0.732807,0.11655,[20  5] ; [19  6],[19.5  5.5] ; [19.5  5.5],0
n4,1,0.90291,0.014881,[15 11] ; [14 11],[14.78431373 11.21568627] ; [14.21568627 10.78431373],0
n2,1,0.905565,0.014074,[8 2] ; [7 2],[7.89473684 2.10526316] ; [7.10526316 1.89473684],0
a7,1,0.910431,0.012655,[16 10] ; [15 10],[15.80392157 10.19607843] ; [15.19607843  9.80392157],0
s8,1,0.910431,0.012655,[10 16] ; [10 15],[10.19607843 15.80392157] ; [ 9.80392157 15.19607843],0
p11,1,0.924558,0.008967,[18  8] ; [17  8],[17.84313725  8.15686275] ; [17.15686275  7.84313725],0
v3,1,0.93192,0.007298,[ 6 17] ; [ 6 18],[ 5.87234043 17.12765957] ; [ 6.12765957 17.87234043],0
n6,1,0.944856,0.004784,[21  5] ; [20  5],[20.90196078  5.09803922] ; [20.09803922  4.90196078],0
a2,1,0.967409,0.001669,[ 2 24] ; [ 2 23],[ 2.03921569 23.96078431] ; [ 1.96078431 23.03921569],0
u1,1,0.967409,0.001669,[ 2 24] ; [ 2 23],[ 2.03921569 23.96078431] ; [ 1.96078431 23.03921569],0
s1,1,0.967409,0.001669,[ 2 24] ; [ 2 23],[ 2.03921569 23.96078431] ; [ 1.96078431 23.03921569],0
s6,1,1.0,0.0,[20  5] ; [20  5],[20.  5.] ; [20.  5.],0
v4,1,1.0,0.0,[23  2] ; [23  2],[23.  2.] ; [23.  2.],0
p9,1,1.0,0.0,[21  4] ; [21  4],[21.  4.] ; [21.  4.],0
r2,1,1.0,0.0,[21  4] ; [21  4],[21.  4.] ; [21.  4.],0
