Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v4,1,2.6e-05,17.712551,[72  6] ; [49 27],[61.28571429 16.71428571] ; [59.71428571 16.28571429],1
p5,1,0.544877,0.366576,[ 1 78] ; [ 2 75],[ 1.51923077 77.48076923] ; [ 1.48076923 75.51923077],0
p12,1,0.567493,0.326895,[ 2 76] ; [ 1 76],[ 1.50967742 76.49032258] ; [ 1.49032258 75.50967742],0
n5,1,0.616893,0.250259,[41 37] ; [43 33],[42.54545455 35.45454545] ; [41.45454545 34.54545455],0
d2,1,0.689433,0.159699,[37 41] ; [38 37],[38.23529412 39.76470588] ; [36.76470588 38.23529412],0
a2,1,0.732052,0.117235,[15 64] ; [13 64],[14.17948718 64.82051282] ; [13.82051282 63.17948718],0
s4,1,0.747584,0.103572,[14 65] ; [12 64],[13.2516129 65.7483871] ; [12.7483871 63.2516129],0
a3,1,0.767757,0.087208,[48 30] ; [45 31],[47.1038961 30.8961039] ; [45.8961039 30.1038961],0
u2,1,0.78241,0.076275,[13 16] ; [15 16],[13.53333333 15.46666667] ; [14.46666667 16.53333333],0
a4,1,0.787878,0.072397,[36 43] ; [33 43],[35.16774194 43.83225806] ; [33.83225806 42.16774194],0
d4,1,0.818387,0.052726,[55 22] ; [53 23],[54.35294118 22.64705882] ; [53.64705882 22.35294118],0
n4,1,0.831156,0.045462,[49 29] ; [49 27],[49.63636364 28.36363636] ; [48.36363636 27.63636364],0
d5,1,0.864031,0.029325,[53 26] ; [50 26],[52.49677419 26.50322581] ; [50.50322581 25.49677419],0
b4,1,0.893745,0.01784,[47 32] ; [45 32],[46.58974359 32.41025641] ; [45.41025641 31.58974359],0
s6,1,0.901142,0.01543,[33 46] ; [31 45],[32.61935484 46.38064516] ; [31.38064516 44.61935484],0
u1,1,0.951032,0.003771,[10 69] ; [10 67],[10.12820513 68.87179487] ; [ 9.87179487 67.12820513],0
a5,1,0.985159,0.000346,[44 35] ; [43 34],[44.05769231 34.94230769] ; [42.94230769 34.05769231],0
