Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,34.828431,[82 34] ; [ 3 26],[68. 48.] ; [17. 12.],1
b3,1,0.066071,3.378032,[22 49] ; [12 11],[25.68085106 45.31914894] ; [ 8.31914894 14.68085106],0
u3,1,0.082823,3.008609,[14 23] ; [ 2 13],[11.38461538 25.61538462] ; [ 4.61538462 10.38461538],0
a8,1,0.111789,2.528746,[16 93] ; [ 1 27],[13.52554745 95.47445255] ; [ 3.47445255 24.52554745],0
d2,1,0.117887,2.445168,[43 72] ; [15 13],[46.64335664 68.35664336] ; [11.35664336 16.64335664],0
p5,1,0.118584,2.43593,[16 99] ; [ 1 28],[ 13.57638889 101.42361111] ; [ 3.42361111 25.57638889],0
s4,1,0.132416,2.26395,[ 15 101] ; [ 7 22],[17.6 98.4] ; [ 4.4 24.6],0
s2,1,0.148405,2.088567,[49 67] ; [ 8 21],[45.6 70.4] ; [11.4 17.6],0
d3,1,0.157215,2.000812,[65 51] ; [12 17],[61.6 54.4] ; [15.4 13.6],0
p6,1,0.157505,1.998023,[39 71] ; [ 6 22],[35.86956522 74.13043478] ; [ 9.13043478 18.86956522],0
b5,1,0.169373,1.888482,[76 40] ; [15 14],[72.8 43.2] ; [18.2 10.8],0
b1,1,0.176254,1.828932,[44 72] ; [15 14],[47.2 68.8] ; [11.8 17.2],0
n1,1,0.372609,0.794944,[15 16] ; [4 8],[13.69767442 17.30232558] ; [5.30232558 6.69767442],0
s1,1,0.410375,0.677713,[  4 111] ; [ 2 27],[  4.79166667 110.20833333] ; [ 1.20833333 27.79166667],0
d1,1,0.451691,0.566406,[53 63] ; [11 18],[51.2 64.8] ; [12.8 16.2],0
a4,1,0.459432,0.547279,[41 75] ; [12 16],[42.69444444 73.30555556] ; [10.30555556 17.69444444],0
p12,1,0.479763,0.499402,[  8 106] ; [ 1 28],[  7.17482517 106.82517483] ; [ 1.82517483 27.17482517],0
p1,1,0.495415,0.464744,[ 11 105] ; [ 4 25],[ 12. 104.] ; [ 3. 26.],0
u2,1,0.570866,0.321236,[18 19] ; [6 9],[17.07692308 19.92307692] ; [6.92307692 8.07692308],0
a6,1,0.612055,0.257194,[70 46] ; [16 13],[68.8 47.2] ; [17.2 11.8],0
a2,1,0.705595,0.142717,[ 15 101] ; [ 3 26],[ 14.4 101.6] ; [ 3.6 25.4],0
u1,1,0.863364,0.029616,[  7 109] ; [ 2 27],[  7.2 108.8] ; [ 1.8 27.2],0
n5,1,0.92596,0.008636,[96 19] ; [24  5],[95.83333333 19.16666667] ; [24.16666667  4.83333333],0
b4,1,0.93264,0.007144,[69 47] ; [17 12],[68.8 47.2] ; [17.2 11.8],0
a5,1,0.932969,0.007075,[67 49] ; [17 12],[67.2 48.8] ; [16.8 12.2],0
s5,1,0.975425,0.000949,[23 83] ; [ 6 22],[22.94029851 83.05970149] ; [ 6.05970149 21.94029851],0
