Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d3,1,2e-06,23.098532,[ 36 109] ; [85 80],[56.59677419 88.40322581] ; [ 64.40322581 100.59677419],1
a6,1,0.26973,1.218118,[80 67] ; [100  65],[84.80769231 62.19230769] ; [95.19230769 69.80769231],0
r2,1,0.274229,1.195468,[120  25] ; [143  21],[123.41423948  21.58576052] ; [139.58576052  24.41423948],0
s1,1,0.291019,1.114903,[  8 137] ; [  5 157],[  6.14006515 138.85993485] ; [  6.85993485 155.14006515],0
n2,1,0.321852,0.981406,[33 15] ; [29  8],[35.01176471 12.98823529] ; [26.98823529 10.01176471],0
a2,1,0.331384,0.943482,[ 11 136] ; [  8 157],[  8.95192308 138.04807692] ; [ 10.04807692 154.95192308],0
n5,1,0.338565,0.915859,[104  41] ; [108  54],[100.13029316  44.86970684] ; [111.86970684  50.13029316],0
n3,1,0.388709,0.742977,[35 11] ; [25 12],[33.25301205 12.74698795] ; [26.74698795 10.25301205],0
p7,1,0.395004,0.723484,[75 69] ; [90 68],[78.67549669 65.32450331] ; [86.32450331 71.67549669],0
p12,1,0.42957,0.623986,[  6 141] ; [  4 157],[  4.77272727 142.22727273] ; [  5.22727273 155.77272727],0
p5,1,0.42971,0.623608,[  6 140] ; [ 10 154],[  7.53548387 138.46451613] ; [  8.46451613 155.53548387],0
v3,1,0.446124,0.58048,[ 39 105] ; [ 50 111],[ 42.01967213 101.98032787] ; [ 46.98032787 114.01967213],0
a4,1,0.470457,0.520903,[ 31 114] ; [ 41 124],[ 33.67741935 111.32258065] ; [ 38.32258065 126.67741935],0
a8,1,0.500129,0.454662,[ 13 122] ; [ 19 138],[ 14.79452055 120.20547945] ; [ 17.20547945 139.79452055],0
p6,1,0.505638,0.443084,[ 32 113] ; [ 41 121],[ 34.47882736 110.52117264] ; [ 38.52117264 123.47882736],0
a1,1,0.523133,0.407712,[  5 142] ; [  8 157],[  6.125 140.875] ; [  6.875 158.125],0
v4,1,0.524494,0.405047,[123  21] ; [145  20],[124.89320388  19.10679612] ; [143.10679612  21.89320388],0
s3,1,0.679997,0.170129,[62 82] ; [74 89],[63.79153094 80.20846906] ; [72.20846906 90.79153094],0
s4,1,0.693463,0.155363,[ 20 126] ; [ 20 144],[ 18.83870968 127.16129032] ; [ 21.16129032 142.83870968],0
n6,1,0.728417,0.12057,[104  42] ; [119  44],[105.36569579  40.63430421] ; [117.63430421  45.36569579],0
n1,1,0.809493,0.058119,[19 28] ; [14 23],[18.46428571 28.53571429] ; [14.53571429 22.46428571],0
v1,1,0.822886,0.050102,[64 79] ; [70 91],[63.03289474 79.96710526] ; [70.96710526 90.03289474],0
p4,1,0.834612,0.043593,[65 82] ; [74 89],[65.91290323 81.08709677] ; [73.08709677 89.91290323],0
p3,1,0.837581,0.04202,[56 91] ; [ 61 104],[55.125 91.875] ; [ 61.875 103.125],0
b5,1,0.883377,0.021518,[87 60] ; [99 66],[87.63461538 59.36538462] ; [98.36538462 66.63461538],0
n4,1,0.884597,0.021067,[95 51] ; [108  56],[95.60645161 50.39354839] ; [107.39354839  56.60645161],0
s8,1,0.924992,0.008864,[ 39 108] ; [ 43 122],[ 38.63461538 108.36538462] ; [ 43.36538462 121.63461538],0
b1,1,0.938479,0.005957,[63 84] ; [70 95],[62.66346154 84.33653846] ; [70.33653846 94.66346154],0
