Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v4,1,0.0,46.666667,[69  3] ; [15 25],[54. 18.] ; [30. 10.],1
v2,1,0.600481,0.274271,[29 40] ; [14 24],[27.72897196 41.27102804] ; [15.27102804 22.72897196],0
s4,1,0.610422,0.259561,[11 59] ; [ 5 36],[10.09009009 59.90990991] ; [ 5.90990991 35.09009009],0
v1,1,0.619743,0.246229,[19 52] ; [ 9 31],[17.90990991 53.09009009] ; [10.09009009 29.90990991],0
b4,1,0.652932,0.202223,[39 33] ; [24 17],[40.14159292 31.85840708] ; [22.85840708 18.14159292],0
u1,1,0.660273,0.193192,[ 9 63] ; [ 4 37],[ 8.28318584 63.71681416] ; [ 4.71681416 36.28318584],0
a5,1,0.677814,0.172597,[45 27] ; [24 17],[43.96460177 28.03539823] ; [25.03539823 15.96460177],0
d2,1,0.696394,0.15225,[31 40] ; [19 21],[31.98198198 39.01801802] ; [18.01801802 21.98198198],0
a8,1,0.704,0.144344,[ 4 63] ; [ 3 35],[ 4.46666667 62.53333333] ; [ 2.53333333 35.46666667],0
n4,1,0.794349,0.067947,[45 27] ; [24 16],[44.35714286 27.64285714] ; [24.64285714 15.35714286],0
b1,1,0.845515,0.037964,[32 40] ; [19 22],[32.49557522 39.50442478] ; [18.50442478 22.49557522],0
a3,1,0.863601,0.029513,[42 30] ; [24 16],[42.42857143 29.57142857] ; [23.57142857 16.42857143],0
a2,1,0.895333,0.017308,[13 59] ; [ 7 34],[12.74336283 59.25663717] ; [ 7.25663717 33.74336283],0
n1,1,0.915594,0.011233,[ 7 14] ; [ 7 15],[ 6.8372093 14.1627907] ; [ 7.1627907 14.8372093],0
