Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d4,1,2e-06,22.170836,[103  12] ; [17 15],[93.87755102 21.12244898] ; [26.12244898  5.87755102],1
u2,1,0.430841,0.620556,[8 9] ; [8 5],[9.06666667 7.93333333] ; [6.93333333 6.06666667],0
p10,1,0.436867,0.604498,[91 21] ; [24  8],[89.44444444 22.55555556] ; [25.55555556  6.44444444],0
r1,1,0.466199,0.53097,[93 22] ; [24  8],[91.53061224 23.46938776] ; [25.46938776  6.53061224],0
p9,1,0.47124,0.519067,[92 18] ; [25  7],[90.63380282 19.36619718] ; [26.36619718  5.63380282],0
s6,1,0.480574,0.49756,[92 22] ; [24  8],[90.57534247 23.42465753] ; [25.42465753  6.57534247],0
s4,1,0.533504,0.387713,[26 88] ; [ 9 23],[27.32876712 86.67123288] ; [ 7.67123288 24.32876712],0
n6,1,0.618442,0.248063,[92 21] ; [24  7],[91.02777778 21.97222222] ; [24.97222222  6.02777778],0
a1,1,0.623002,0.241671,[  6 109] ; [ 1 31],[  5.47619048 109.52380952] ; [ 1.52380952 30.47619048],0
p3,1,0.680109,0.170003,[33 82] ; [ 8 24],[32.07482993 82.92517007] ; [ 8.92517007 23.07482993],0
n4,1,0.697523,0.151062,[89 25] ; [26  6],[89.79452055 24.20547945] ; [25.20547945  6.79452055],0
s5,1,0.705094,0.143227,[42 68] ; [13 18],[42.90780142 67.09219858] ; [12.09219858 18.90780142],0
n3,1,0.708597,0.139683,[23 10] ; [7 4],[22.5 10.5] ; [7.5 3.5],0
n5,1,0.757017,0.095728,[78 35] ; [23  9],[78.71034483 34.28965517] ; [22.28965517  9.71034483],0
v3,1,0.791902,0.069612,[48 63] ; [13 19],[47.34965035 63.65034965] ; [13.65034965 18.34965035],0
p12,1,0.797196,0.066037,[  6 108] ; [ 2 29],[  6.28965517 107.71034483] ; [ 1.71034483 29.28965517],0
p11,1,0.824525,0.049164,[84 31] ; [24  8],[84.48979592 30.51020408] ; [23.51020408  8.48979592],0
p2,1,0.853959,0.033882,[81 34] ; [22 10],[80.57823129 34.42176871] ; [22.42176871  9.57823129],0
n1,1,0.926137,0.008594,[16 18] ; [5 6],[15.86666667 18.13333333] ; [5.13333333 5.86666667],0
n2,1,0.967835,0.001626,[28  6] ; [9 2],[27.95555556  6.04444444] ; [9.04444444 1.95555556],0
v1,1,0.979448,0.000664,[57 54] ; [16 15],[57.06338028 53.93661972] ; [15.93661972 15.06338028],0
p5,1,0.981818,0.000519,[  7 107] ; [ 2 30],[  7.02739726 106.97260274] ; [ 1.97260274 30.02739726],0
