Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s6,1,0.0,40.96906,[121 120] ; [91 14],[147.66473988  93.33526012] ; [64.33526012 40.66473988],1
p10,1,0.059074,3.563195,[175  66] ; [87 19],[181.96541787  59.03458213] ; [80.03458213 25.96541787],0
s1,1,0.068698,3.313852,[  6 235] ; [  7 101],[  8.97707736 232.02292264] ; [  4.02292264 103.97707736],0
a4,1,0.087296,2.923544,[ 89 154] ; [50 58],[ 96.23076923 146.76923077] ; [42.76923077 65.23076923],0
u1,1,0.100299,2.700787,[ 31 213] ; [21 87],[ 36.04545455 207.95454545] ; [15.95454545 92.04545455],0
s8,1,0.111201,2.537066,[ 81 163] ; [45 62],[ 87.58974359 156.41025641] ; [38.41025641 68.58974359],0
u3,1,0.132777,2.259729,[34 47] ; [20 15],[37.70689655 43.29310345] ; [16.29310345 18.70689655],0
v3,1,0.147513,2.097781,[ 62 179] ; [35 70],[ 67.56358382 173.43641618] ; [29.43641618 75.56358382],0
v2,1,0.171374,1.870887,[ 88 147] ; [48 58],[ 93.72434018 141.27565982] ; [42.27565982 63.72434018],0
d2,1,0.209005,1.578306,[105 138] ; [54 53],[110.39142857 132.60857143] ; [48.60857143 58.39142857],0
n3,1,0.21867,1.513081,[53 26] ; [20  5],[55.45192308 23.54807692] ; [17.54807692  7.45192308],0
a1,1,0.245989,1.345939,[  9 235] ; [  7 101],[ 11.09090909 232.90909091] ; [  4.90909091 103.09090909],0
n1,1,0.257776,1.280662,[25 54] ; [11 14],[27.34615385 51.65384615] ; [ 8.65384615 16.34615385],0
a2,1,0.264892,1.243006,[ 44 200] ; [25 83],[ 47.82954545 196.17045455] ; [21.17045455 86.82954545],0
b2,1,0.294242,1.100109,[40 91] ; [24 39],[43.21649485 87.78350515] ; [20.78350515 42.21649485],0
b3,1,0.294242,1.100109,[40 91] ; [24 39],[43.21649485 87.78350515] ; [20.78350515 42.21649485],0
p2,1,0.330512,0.94689,[187  57] ; [87 20],[190.47293447  53.52706553] ; [83.52706553 23.47293447],0
b4,1,0.33636,0.924256,[138 106] ; [67 41],[142.10227273 101.89772727] ; [62.89772727 45.10227273],0
p8,1,0.364842,0.821159,[106 136] ; [52 54],[109.87356322 132.12643678] ; [48.12643678 57.87356322],0
n2,1,0.492924,0.470137,[52 27] ; [19  7],[53.41904762 25.58095238] ; [17.58095238  8.41904762],0
r3,1,0.525681,0.402734,[223  21] ; [99  7],[224.48  19.52] ; [97.52  8.48],0
v4,1,0.545388,0.365644,[226  18] ; [101   6],[227.31623932  16.68376068] ; [99.68376068  7.31623932],0
u4,1,0.55245,0.352946,[  1 243] ; [  1 107],[  1.38636364 242.61363636] ; [  0.61363636 107.38636364],0
a8,1,0.590398,0.289723,[ 29 200] ; [10 85],[ 27.56481481 201.43518519] ; [11.43518519 83.56481481],0
d5,1,0.628701,0.233827,[188  55] ; [81 27],[186.23076923  56.76923077] ; [82.76923077 25.23076923],0
p11,1,0.728219,0.120753,[181  63] ; [82 26],[182.30681818  61.69318182] ; [80.69318182 27.30681818],0
n5,1,0.732471,0.116855,[172  69] ; [79 29],[173.32664756  67.67335244] ; [77.67335244 30.32664756],0
a7,1,0.745556,0.105303,[170  73] ; [73 34],[168.71142857  74.28857143] ; [74.28857143 32.71142857],0
d4,1,0.763739,0.090345,[188  56] ; [84 23],[189.08262108  54.91737892] ; [82.91737892 24.08262108],0
a3,1,0.768067,0.086969,[161  83] ; [73 35],[162.20454545  81.79545455] ; [71.79545455 36.20454545],0
a6,1,0.81618,0.054038,[155  89] ; [70 38],[155.96590909  88.03409091] ; [69.03409091 38.96590909],0
n4,1,0.870057,0.02676,[182  61] ; [80 28],[181.38461538  61.61538462] ; [80.61538462 27.38461538],0
b1,1,0.890436,0.018976,[ 93 151] ; [42 66],[ 93.57954545 150.42045455] ; [41.42045455 66.57954545],0
d1,1,0.93079,0.007543,[130 114] ; [57 51],[129.625 114.375] ; [57.375 50.625],0
u2,1,0.943792,0.004971,[38 44] ; [16 18],[38.17241379 43.82758621] ; [15.82758621 18.17241379],0
d3,1,0.970252,0.001391,[158  85] ; [70 38],[157.84615385  85.15384615] ; [70.15384615 37.84615385],0
