Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p6,1,1.3e-05,19.072011,[ 7 81] ; [15 22],[15.488 72.512] ; [ 6.512 30.488],1
b1,1,0.562548,0.335312,[46 44] ; [21 16],[47.48031496 42.51968504] ; [19.51968504 17.48031496],0
d2,1,0.574421,0.315341,[42 47] ; [15 21],[40.584 48.416] ; [16.416 19.584],0
d3,1,0.596812,0.279831,[46 44] ; [17 20],[44.64566929 45.35433071] ; [18.35433071 18.64566929],0
d4,1,0.600896,0.273647,[64 26] ; [28  9],[65.19685039 24.80314961] ; [26.80314961 10.19685039],0
r1,1,0.647985,0.208449,[52 38] ; [23 14],[53.1496063 36.8503937] ; [21.8503937 15.1496063],0
u2,1,0.753143,0.098908,[16 22] ; [ 6 10],[15.48148148 22.51851852] ; [6.51851852 9.48148148],0
a6,1,0.850965,0.035301,[47 43] ; [20 17],[47.48031496 42.51968504] ; [19.51968504 17.48031496],0
p5,1,0.856678,0.032618,[ 3 85] ; [ 1 35],[ 2.83870968 85.16129032] ; [ 1.16129032 34.83870968],0
u4,1,0.871302,0.026246,[ 2 88] ; [ 1 36],[ 2.12598425 87.87401575] ; [ 0.87401575 36.12598425],0
n1,1,0.877293,0.02384,[20 22] ; [7 7],[20.25 21.75] ; [6.75 7.25],0
a3,1,0.901552,0.015302,[51 37] ; [21 16],[50.688 37.312] ; [21.312 15.688],0
a1,1,0.949923,0.003944,[ 7 83] ; [ 3 34],[ 7.08661417 82.91338583] ; [ 2.91338583 34.08661417],0
u1,1,0.96084,0.002411,[10 80] ; [ 4 33],[ 9.92125984 80.07874016] ; [ 4.07874016 32.92125984],0
s4,1,0.972836,0.001159,[19 70] ; [ 8 29],[19.07142857 69.92857143] ; [ 7.92857143 29.07142857],0
a4,1,0.99495,4e-05,[38 50] ; [16 21],[38.016 49.984] ; [15.984 21.016],0
