Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
u1,1,0.001087,10.673594,[15 22] ; [12 74],[ 8.12195122 28.87804878] ; [18.87804878 67.12195122],0
p7,1,0.336832,0.922453,[15 22] ; [42 42],[17.42975207 19.57024793] ; [39.57024793 44.42975207],0
a8,1,0.347535,0.882437,[ 2 29] ; [10 69],[ 3.38181818 27.61818182] ; [ 8.61818182 70.38181818],0
d1,1,0.350086,0.873147,[24 13] ; [48 38],[21.65853659 15.34146341] ; [50.34146341 35.65853659],0
b4,1,0.42498,0.636503,[26 11] ; [54 32],[24.06504065 12.93495935] ; [55.93495935 30.06504065],0
b2,1,0.440401,0.595238,[ 9 12] ; [18 36],[ 7.56 13.44] ; [19.44 34.56],0
b3,1,0.440401,0.595238,[ 9 12] ; [18 36],[ 7.56 13.44] ; [19.44 34.56],0
s2,1,0.445735,0.581474,[26 10] ; [56 30],[24.19672131 11.80327869] ; [57.80327869 28.19672131],0
d4,1,0.48112,0.496324,[33  3] ; [75 11],[31.86885246  4.13114754] ; [76.13114754  9.86885246],0
s1,1,0.489482,0.477665,[ 1 34] ; [ 5 80],[ 1.75 33.25] ; [ 4.25 80.75],0
b1,1,0.561918,0.336395,[13 24] ; [35 51],[14.43902439 22.56097561] ; [33.56097561 52.43902439],0
p9,1,0.594797,0.282915,[27  8] ; [70 16],[28.05785124  6.94214876] ; [68.94214876 17.05785124],0
n3,1,0.608874,0.261818,[9 3] ; [16  8],[8.33333333 3.66666667] ; [16.66666667  7.33333333],0
n2,1,0.628745,0.233766,[8 3] ; [20  5],[8.55555556 2.44444444] ; [19.44444444  5.55555556],0
a4,1,0.679957,0.170174,[20 17] ; [43 43],[18.95121951 18.04878049] ; [44.04878049 41.95121951],0
p5,1,0.686192,0.163239,[ 3 34] ; [ 9 77],[ 3.6097561 33.3902439] ; [ 8.3902439 77.6097561],0
p1,1,0.795961,0.066863,[ 4 33] ; [ 8 78],[ 3.6097561 33.3902439] ; [ 8.3902439 77.6097561],0
p11,1,0.826631,0.047972,[24 13] ; [54 32],[23.46341463 13.53658537] ; [54.53658537 31.46341463],0
s3,1,0.847767,0.036852,[22 13] ; [55 30],[22.45833333 12.54166667] ; [54.54166667 30.45833333],0
r2,1,0.893765,0.017833,[35  2] ; [78  5],[34.84166667  2.15833333] ; [78.15833333  4.84166667],0
p10,1,0.987403,0.000249,[28  8] ; [66 19],[27.96694215  8.03305785] ; [66.03305785 18.96694215],0
