Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p10,1,0.0,26.571452,[500  34] ; [86 24],[485.9068323  48.0931677] ; [100.0931677   9.9068323],1
p5,1,0.263598,1.249761,[ 75 457] ; [11 98],[ 71.37597504 460.62402496] ; [14.62402496 94.37597504],0
a8,1,0.275362,1.189841,[ 76 414] ; [11 87],[ 72.5 417.5] ; [14.5 83.5],0
s5,1,0.275471,1.189297,[190 326] ; [43 58],[194.85899514 321.14100486] ; [38.14100486 62.85899514],0
a4,1,0.311971,1.022312,[264 272] ; [60 50],[268.82972136 267.17027864] ; [55.17027864 54.82972136],0
s2,1,0.32376,0.973695,[287 245] ; [65 45],[291.68847352 240.31152648] ; [60.31152648 49.68847352],0
a3,1,0.337368,0.920408,[415 121] ; [79 29],[411.1552795 124.8447205] ; [82.8447205 25.1552795],0
a6,1,0.350897,0.870211,[375 161] ; [72 38],[370.88544892 165.11455108] ; [76.11455108 33.88544892],0
v4,1,0.411639,0.674062,[512  20] ; [104   6],[510.45482866  21.54517134] ; [105.54517134   4.45482866],0
s8,1,0.468189,0.526247,[263 271] ; [50 60],[259.53726708 274.46273292] ; [53.46273292 56.53726708],0
u4,1,0.498187,0.458796,[ 16 520] ; [  2 108],[ 14.93498452 521.06501548] ; [  3.06501548 106.93498452],0
d5,1,0.576244,0.312346,[474  63] ; [95 15],[472.26120556  64.73879444] ; [96.73879444 13.26120556],0
s7,1,0.579,0.307854,[269 250] ; [57 47],[271.57945425 247.42054575] ; [54.42054575 49.57945425],0
a1,1,0.608927,0.26174,[ 31 506] ; [  5 105],[ 29.87944359 507.12055641] ; [  6.12055641 103.87944359],0
a2,1,0.647355,0.209251,[140 397] ; [31 79],[141.92735703 395.07264297] ; [29.07264297 80.92735703],0
r1,1,0.686067,0.163377,[436  98] ; [88 22],[434.49689441  99.50310559] ; [89.50310559 20.49689441],0
n3,1,0.692092,0.15683,[71 29] ; [29 10],[71.94244604 28.05755396] ; [28.05755396 10.94244604],0
u1,1,0.719259,0.129204,[109 428] ; [24 86],[110.38794436 426.61205564] ; [22.61205564 87.38794436],0
u3,1,0.73839,0.111547,[75 46] ; [17 12],[74.21333333 46.78666667] ; [17.78666667 11.21333333],0
d1,1,0.755884,0.096653,[379 158] ; [76 34],[377.64296754 159.35703246] ; [77.35703246 32.64296754],0
n2,1,0.767057,0.08775,[75 26] ; [28 11],[74.30714286 26.69285714] ; [28.69285714 10.30714286],0
d3,1,0.772721,0.083415,[418 119] ; [87 23],[419.14219474 117.85780526] ; [85.85780526 24.14219474],0
r2,1,0.784492,0.074786,[502  26] ; [102   6],[501.43396226  26.56603774] ; [102.56603774   5.43396226],0
b4,1,0.822496,0.050327,[316 221] ; [66 44],[317.05409583 219.94590417] ; [64.94590417 45.05409583],0
a7,1,0.884872,0.020966,[396 140] ; [82 28],[396.60681115 139.39318885] ; [81.39318885 28.60681115],0
p6,1,0.891678,0.018545,[212 316] ; [43 66],[211.36577708 316.63422292] ; [43.63422292 65.36577708],0
s6,1,0.909553,0.012905,[368 157] ; [77 32],[368.49369085 156.50630915] ; [76.50630915 32.49369085],0
p1,1,0.93889,0.005878,[ 43 492] ; [  9 100],[ 43.19875776 491.80124224] ; [  8.80124224 100.19875776],0
s3,1,0.982373,0.000488,[310 219] ; [64 45],[310.10344828 218.89655172] ; [63.89655172 45.10344828],0
