Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p9,1,7.6e-05,15.644407,[87 20] ; [ 9 13],[79.62790698 27.37209302] ; [16.37209302  5.62790698],1
s8,1,0.540248,0.37508,[38 69] ; [ 6 15],[36.78125 70.21875] ; [ 7.21875 13.78125],0
p1,1,0.545235,0.365923,[  6 100] ; [ 2 20],[ 6.625 99.375] ; [ 1.375 20.625],0
u3,1,0.592012,0.287213,[21 18] ; [3 4],[20.34782609 18.65217391] ; [3.65217391 3.34782609],0
a3,1,0.600281,0.274572,[66 40] ; [15  7],[67.078125 38.921875] ; [13.921875  8.078125],0
a8,1,0.666349,0.185902,[ 7 92] ; [ 1 21],[ 6.54545455 92.45454545] ; [ 1.45454545 20.54545455],0
a5,1,0.693433,0.155394,[68 39] ; [13  9],[67.18604651 39.81395349] ; [13.81395349  8.18604651],0
d2,1,0.693433,0.155394,[39 68] ; [ 9 13],[39.81395349 67.18604651] ; [ 8.18604651 13.81395349],0
s6,1,0.720338,0.128169,[65 41] ; [12  9],[64.26771654 41.73228346] ; [12.73228346  8.26771654],0
a4,1,0.740599,0.109601,[35 72] ; [ 8 14],[35.66666667 71.33333333] ; [ 7.33333333 14.66666667],0
p5,1,0.757987,0.094941,[  7 100] ; [ 1 20],[  6.6875 100.3125] ; [ 1.3125 19.6875],0
b5,1,0.863444,0.029581,[66 41] ; [14  8],[66.35658915 40.64341085] ; [13.64341085  8.35658915],0
u2,1,0.886998,0.020193,[24 16] ; [4 3],[23.82978723 16.17021277] ; [4.17021277 2.82978723],0
d5,1,0.896298,0.016988,[69 37] ; [14  8],[68.734375 37.265625] ; [14.265625  7.734375],0
s5,1,0.909871,0.012814,[31 73] ; [ 6 15],[30.784 73.216] ; [ 6.216 14.784],0
s3,1,0.935804,0.006487,[54 52] ; [11 11],[53.828125 52.171875] ; [11.171875 10.828125],0
a1,1,0.979376,0.000668,[  5 102] ; [ 1 21],[  4.97674419 102.02325581] ; [ 1.02325581 20.97674419],0
p12,1,0.979376,0.000668,[  5 102] ; [ 1 21],[  4.97674419 102.02325581] ; [ 1.02325581 20.97674419],0
p4,1,0.985286,0.00034,[63 44] ; [13  9],[63.03875969 43.96124031] ; [12.96124031  9.03875969],0
