Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p4,1,1e-06,23.764931,[87 19] ; [84 75],[68.4 37.6] ; [102.6  56.4],1
d1,1,0.778069,0.079432,[70 37] ; [108  53],[71.06716418 35.93283582] ; [106.93283582  54.06716418],0
s3,1,0.835427,0.043158,[63 42] ; [91 64],[62.19230769 42.80769231] ; [91.80769231 63.19230769],0
a6,1,0.836309,0.04269,[73 32] ; [110  51],[72.23684211 32.76315789] ; [110.76315789  50.23684211],0
s4,1,0.83635,0.042669,[13 94] ; [ 18 141],[12.46992481 94.53007519] ; [ 18.53007519 140.46992481],0
a7,1,0.839333,0.041106,[79 27] ; [121  39],[79.69924812 26.30075188] ; [120.30075188  39.69924812],0
r3,1,0.869173,0.027129,[103   3] ; [156   4],[103.21052632   2.78947368] ; [155.78947368   4.21052632],0
p11,1,0.884129,0.021239,[89 18] ; [135  26],[89.43283582 17.56716418] ; [134.56716418  26.43283582],0
a4,1,0.901572,0.015296,[50 57] ; [76 84],[50.49438202 56.50561798] ; [75.50561798 84.49438202],0
d5,1,0.910869,0.012531,[89 17] ; [136  25],[89.3258427 16.6741573] ; [135.6741573  25.3258427],0
a8,1,0.985215,0.000343,[15 81] ; [ 22 118],[15.05084746 80.94915254] ; [ 21.94915254 118.05084746],0
