Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d1,1,4.3e-05,16.715507,[20 16] ; [ 1 23],[12.6 23.4] ; [ 8.4 15.6],1
b5,1,0.291841,1.111111,[20 16] ; [10 14],[18. 18.] ; [12. 12.],0
p10,1,0.299588,1.076029,[17 18] ; [ 8 15],[15.0862069 19.9137931] ; [ 9.9137931 13.0862069],0
a1,1,0.301502,1.067538,[ 4 32] ; [ 5 19],[ 5.4 30.6] ; [ 3.6 20.4],0
p1,1,0.340356,0.909091,[ 2 34] ; [ 3 21],[ 3. 33.] ; [ 2. 22.],0
s4,1,0.340356,0.909091,[ 8 28] ; [ 3 21],[ 6.6 29.4] ; [ 4.4 19.6],0
s8,1,0.352236,0.865385,[ 6 30] ; [ 2 22],[ 4.8 31.2] ; [ 3.2 20.8],0
v4,1,0.365462,0.819035,[20 16] ; [10 13],[18.30508475 17.69491525] ; [11.69491525 11.30508475],0
b1,1,0.376701,0.781441,[25 11] ; [14 10],[23.4 12.6] ; [15.6  8.4],0
v1,1,0.393248,0.728874,[14 21] ; [ 7 17],[12.45762712 22.54237288] ; [ 8.54237288 15.45762712],0
s2,1,0.404123,0.696023,[11 25] ; [ 5 19],[ 9.6 26.4] ; [ 6.4 17.6],0
v2,1,0.421583,0.645898,[13 23] ; [ 6 17],[11.59322034 24.40677966] ; [ 7.40677966 15.59322034],0
n1,1,0.436198,0.606264,[ 5 12] ; [6 8],[ 6.03225806 10.96774194] ; [4.96774194 9.03225806],0
a2,1,0.511368,0.431267,[ 5 31] ; [ 2 22],[ 4.2 31.8] ; [ 2.8 21.2],0
n4,1,0.598161,0.277778,[17 19] ; [13 11],[18. 18.] ; [12. 12.],0
n3,1,0.623233,0.241349,[ 7 10] ; [7 7],[7.67741935 9.32258065] ; [6.32258065 7.67741935],0
n2,1,0.623233,0.241349,[10  7] ; [7 7],[9.32258065 7.67741935] ; [7.67741935 6.32258065],0
p7,1,0.684238,0.165394,[16 18] ; [10 14],[15.24137931 18.75862069] ; [10.75862069 13.24137931],0
a8,1,0.694249,0.154524,[ 2 33] ; [ 2 22],[ 2.37288136 32.62711864] ; [ 1.62711864 22.37288136],0
r2,1,0.708299,0.139982,[19 15] ; [14  9],[19.68421053 14.31578947] ; [13.31578947  9.68421053],0
p2,1,0.724301,0.124409,[14 20] ; [11 13],[14.65517241 19.34482759] ; [10.34482759 13.65517241],0
p11,1,0.825094,0.04884,[13 23] ; [ 8 16],[12.6 23.4] ; [ 8.4 15.6],0
a6,1,0.832937,0.044494,[19 17] ; [12 12],[18.6 17.4] ; [12.4 11.6],0
p5,1,0.836832,0.042414,[ 2 34] ; [ 1 22],[ 1.83050847 34.16949153] ; [ 1.16949153 21.83050847],0
p4,1,0.849263,0.036122,[ 8 27] ; [ 6 18],[ 8.30508475 26.69491525] ; [ 5.69491525 18.30508475],0
p9,1,0.870596,0.026537,[18 18] ; [11 12],[17.69491525 18.30508475] ; [11.30508475 11.69491525],0
v3,1,1.0,0.0,[ 6 30] ; [ 4 20],[ 6. 30.] ; [ 4. 20.],0
s1,1,1.0,0.0,[ 3 33] ; [ 2 22],[ 3. 33.] ; [ 2. 22.],0
