Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a6,1,2e-06,23.034074,[12 28] ; [103  41],[25. 15.] ; [90. 54.],1
b3,1,0.222805,1.48621,[ 5 21] ; [22 47],[ 7.38947368 18.61052632] ; [19.61052632 49.38947368],0
d2,1,0.237982,1.392506,[14 26] ; [65 78],[17.26775956 22.73224044] ; [61.73224044 81.26775956],0
s4,1,0.243535,1.360012,[13 27] ; [ 33 108],[10.16574586 29.83425414] ; [ 35.83425414 105.16574586],0
a4,1,0.265945,1.237544,[14 26] ; [65 80],[17.08108108 22.91891892] ; [61.91891892 83.08108108],0
u2,1,0.305918,1.048219,[6 8] ; [28 20],[7.67741935 6.32258065] ; [26.32258065 21.67741935],0
v3,1,0.3192,0.992221,[11 29] ; [50 89],[13.63128492 26.36871508] ; [47.36871508 91.63128492],0
s5,1,0.329131,0.952313,[19 20] ; [56 84],[16.34078212 22.65921788] ; [58.65921788 81.34078212],0
v1,1,0.381459,0.765994,[21 19] ; [63 78],[18.56353591 21.43646409] ; [65.43646409 75.56353591],0
s1,1,0.401215,0.704681,[ 4 35] ; [  9 133],[ 2.80110497 36.19889503] ; [ 10.19889503 131.80110497],0
p5,1,0.425061,0.636279,[ 2 37] ; [ 13 130],[ 3.21428571 35.78571429] ; [ 11.78571429 131.21428571],0
s6,1,0.489289,0.478089,[27 10] ; [112  31],[28.57222222  8.42777778] ; [110.42777778  32.57222222],0
p4,1,0.527692,0.398835,[20 19] ; [82 62],[21.73770492 17.26229508] ; [80.26229508 63.73770492],0
p6,1,0.571158,0.320749,[11 27] ; [48 94],[12.45555556 25.54444444] ; [46.54444444 95.45555556],0
u3,1,0.580038,0.306173,[7 7] ; [28 20],[7.90322581 6.09677419] ; [27.09677419 20.90322581],0
b4,1,0.599791,0.275312,[23 17] ; [90 55],[24.43243243 15.56756757] ; [88.56756757 56.43243243],0
b1,1,0.619694,0.246298,[14 26] ; [57 88],[15.35135135 24.64864865] ; [55.64864865 89.35135135],0
p3,1,0.637664,0.221811,[15 24] ; [61 82],[16.28571429 22.71428571] ; [59.71428571 83.28571429],0
n1,1,0.708597,0.139683,[ 3 11] ; [ 8 22],[ 3.5 10.5] ; [ 7.5 22.5],0
p7,1,0.736213,0.113483,[24 14] ; [83 55],[23.10227273 14.89772727] ; [83.89772727 54.10227273],0
s7,1,0.767677,0.08727,[18 20] ; [63 78],[17.19553073 20.80446927] ; [63.80446927 77.19553073],0
v2,1,0.935671,0.006514,[20 20] ; [70 68],[20.2247191 19.7752809] ; [69.7752809 68.2247191],0
a3,1,0.951451,0.003707,[26 14] ; [95 50],[26.16216216 13.83783784] ; [94.83783784 50.16216216],0
