Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n4,1,3e-06,21.99738,[63 14] ; [11 20],[52.75925926 24.24074074] ; [21.24074074  9.75925926],1
u1,1,0.722722,0.125899,[12 65] ; [ 4 27],[11.40740741 65.59259259] ; [ 4.59259259 26.40740741],0
v4,1,0.74846,0.10283,[71  6] ; [28  3],[70.58333333  6.41666667] ; [28.41666667  2.58333333],0
s6,1,0.771638,0.084236,[46 31] ; [17 13],[45.3364486 31.6635514] ; [17.6635514 12.3364486],0
b4,1,0.775137,0.081603,[47 30] ; [18 13],[46.34259259 30.65740741] ; [18.65740741 12.34259259],0
p8,1,0.807456,0.059394,[23 54] ; [10 21],[23.52777778 53.47222222] ; [ 9.47222222 21.52777778],0
a1,1,0.809824,0.057914,[ 6 71] ; [ 2 29],[ 5.7037037 71.2962963] ; [ 2.2962963 28.7037037],0
a4,1,0.833241,0.04433,[34 43] ; [13 18],[33.50925926 43.49074074] ; [13.49074074 17.50925926],0
d1,1,0.880689,0.022529,[41 36] ; [17 14],[41.35185185 35.64814815] ; [16.64814815 14.35185185],0
p6,1,0.9026,0.014976,[18 58] ; [ 7 24],[17.75700935 58.24299065] ; [ 7.24299065 23.75700935],0
s2,1,0.902844,0.014901,[39 37] ; [15 15],[38.71698113 37.28301887] ; [15.28301887 14.71698113],0
a7,1,0.912206,0.012156,[53 24] ; [21 10],[52.75925926 24.24074074] ; [21.24074074  9.75925926],0
r3,1,0.924214,0.009049,[70  7] ; [28  3],[69.87037037  7.12962963] ; [28.12962963  2.87037037],0
r2,1,0.956034,0.003039,[68  7] ; [28  3],[67.9245283  7.0754717] ; [28.0754717  2.9245283],0
p4,1,0.959799,0.002541,[27 48] ; [11 20],[26.88679245 48.11320755] ; [11.11320755 19.88679245],0
s1,1,0.967651,0.001645,[ 5 70] ; [ 2 29],[ 4.95283019 70.04716981] ; [ 2.04716981 28.95283019],0
p9,1,0.971732,0.001256,[66 10] ; [27  4],[66.05607477  9.94392523] ; [26.94392523  4.05607477],0
d3,1,0.987124,0.00026,[44 32] ; [18 13],[44.03738318 31.96261682] ; [17.96261682 13.03738318],0
