Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r3,1,0.0,80.514998,[109   2] ; [25 40],[84.51136364 26.48863636] ; [49.48863636 15.51136364],1
n4,1,0.033736,4.508017,[75 36] ; [34 32],[68.3559322 42.6440678] ; [40.6440678 25.3559322],0
d1,1,0.040042,4.216105,[51 60] ; [20 46],[44.52542373 66.47457627] ; [26.47457627 39.52542373],0
p3,1,0.046156,3.975906,[39 71] ; [14 52],[33.125 76.875] ; [19.875 46.125],0
p4,1,0.067715,3.337547,[45 65] ; [18 48],[39.375 70.625] ; [23.625 42.375],0
p10,1,0.068509,3.318379,[68 42] ; [31 34],[62.22857143 47.77142857] ; [36.77142857 28.22857143],0
v1,1,0.101537,2.681235,[35 75] ; [13 51],[30.34482759 79.65517241] ; [17.65517241 46.34482759],0
d4,1,0.114401,2.492349,[80 31] ; [40 26],[75.25423729 35.74576271] ; [44.74576271 21.25423729],0
s1,1,0.134273,2.242399,[  4 105] ; [ 6 60],[  6.22857143 102.77142857] ; [ 3.77142857 62.22857143],0
a8,1,0.148455,2.088057,[14 88] ; [ 4 58],[11.19512195 90.80487805] ; [ 6.80487805 55.19512195],0
a5,1,0.155518,2.017276,[66 45] ; [32 34],[61.45762712 49.54237288] ; [36.54237288 29.45762712],0
p8,1,0.163756,1.939192,[40 70] ; [17 48],[35.82857143 74.17142857] ; [21.17142857 43.82857143],0
a3,1,0.186197,1.747458,[68 42] ; [33 31],[63.85057471 46.14942529] ; [37.14942529 26.85057471],0
v3,1,0.266292,1.23575,[16 90] ; [ 6 59],[13.6374269 92.3625731] ; [ 8.3625731 56.6374269],0
p1,1,0.299268,1.077455,[  7 103] ; [ 7 58],[  8.8 101.2] ; [ 5.2 59.8],0
a2,1,0.300043,1.074005,[18 93] ; [ 7 59],[15.6779661 95.3220339] ; [ 9.3220339 56.6779661],0
d2,1,0.383202,0.760405,[48 62] ; [24 41],[45.25714286 64.74285714] ; [26.74285714 38.25714286],0
s7,1,0.481868,0.494632,[19 86] ; [14 48],[20.74850299 84.25149701] ; [12.25149701 49.74850299],0
u1,1,0.482163,0.493967,[ 10 101] ; [ 4 62],[  8.77966102 102.22033898] ; [ 5.22033898 60.77966102],0
s4,1,0.507683,0.43884,[ 10 101] ; [ 8 58],[11.28813559 99.71186441] ; [ 6.71186441 59.28813559],0
n1,1,0.529006,0.3963,[10 21] ; [12 18],[11.18032787 19.81967213] ; [10.81967213 19.18032787],0
a4,1,0.534934,0.385011,[41 70] ; [21 44],[39.10227273 71.89772727] ; [22.89772727 42.10227273],0
n5,1,0.547677,0.361495,[70 40] ; [39 27],[68.125 41.875] ; [40.875 25.125],0
b2,1,0.628625,0.23393,[22 42] ; [16 25],[23.16190476 40.83809524] ; [14.83809524 26.16190476],0
b3,1,0.628625,0.23393,[22 42] ; [16 25],[23.16190476 40.83809524] ; [14.83809524 26.16190476],0
s3,1,0.636184,0.223767,[29 81] ; [19 45],[30.34482759 79.65517241] ; [17.65517241 46.34482759],0
p12,1,0.705076,0.143245,[  1 109] ; [ 1 64],[  1.25714286 108.74285714] ; [ 0.74285714 64.25714286],0
b4,1,0.795341,0.067279,[60 51] ; [37 29],[60.83050847 50.16949153] ; [36.16949153 29.83050847],0
s8,1,0.822225,0.050483,[13 98] ; [ 7 59],[12.54237288 98.45762712] ; [ 7.45762712 58.54237288],0
s5,1,0.853455,0.034119,[ 9 98] ; [ 6 59],[ 9.33139535 97.66860465] ; [ 5.66860465 59.33139535],0
s2,1,0.896517,0.016916,[19 90] ; [11 55],[18.68571429 90.31428571] ; [11.31428571 54.68571429],0
