Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a3,1,0.0,27.028125,[85 11] ; [13 17],[74.66666667 21.33333333] ; [23.33333333  6.66666667],1
n1,1,0.179339,1.803093,[15 14] ; [2 6],[13.32432432 15.67567568] ; [3.67567568 4.32432432],0
n6,1,0.186863,1.74218,[82 12] ; [24  7],[79.712 14.288] ; [26.288  4.712],0
n3,1,0.207119,1.591453,[22  8] ; [4 4],[20.52631579  9.47368421] ; [5.47368421 2.52631579],0
p12,1,0.215871,1.531608,[10 86] ; [ 1 30],[ 8.31496063 87.68503937] ; [ 2.68503937 28.31496063],0
p9,1,0.23364,1.418563,[79 16] ; [22  8],[76.76 18.24] ; [24.24  5.76],0
n2,1,0.300919,1.070115,[24  6] ; [5 3],[22.89473684  7.10526316] ; [6.10526316 1.89473684],0
p10,1,0.307084,1.043174,[75 19] ; [22  9],[72.944 21.056] ; [24.056  6.944],0
s7,1,0.327674,0.958068,[57 35] ; [15 14],[54.74380165 37.25619835] ; [17.25619835 11.74380165],0
p2,1,0.38883,0.742596,[70 26] ; [25  6],[71.81102362 24.18897638] ; [23.18897638  7.81102362],0
u2,1,0.411314,0.675,[4 5] ; [11  7],[5. 4.] ; [10.  8.],0
p11,1,0.446383,0.57982,[63 33] ; [18 13],[61.22834646 34.77165354] ; [19.77165354 11.22834646],0
b5,1,0.446383,0.57982,[63 33] ; [18 13],[61.22834646 34.77165354] ; [19.77165354 11.22834646],0
b1,1,0.447802,0.576209,[36 60] ; [14 17],[37.79527559 58.20472441] ; [12.20472441 18.79527559],0
p6,1,0.456865,0.553564,[28 67] ; [ 7 24],[26.38888889 68.61111111] ; [ 8.61111111 22.38888889],0
p3,1,0.476961,0.505805,[41 55] ; [11 20],[39.30708661 56.69291339] ; [12.69291339 18.30708661],0
a8,1,0.49115,0.474006,[10 75] ; [ 2 26],[ 9.02654867 75.97345133] ; [ 2.97345133 25.02654867],0
s4,1,0.494102,0.467581,[28 66] ; [ 7 23],[26.53225806 67.46774194] ; [ 8.46774194 21.53225806],0
d3,1,0.507373,0.43948,[68 28] ; [20 11],[66.51968504 29.48031496] ; [21.48031496  9.51968504],0
a1,1,0.651021,0.204615,[ 5 91] ; [ 1 30],[ 4.53543307 91.46456693] ; [ 1.46456693 29.53543307],0
p4,1,0.681357,0.168602,[50 45] ; [15 16],[49.00793651 45.99206349] ; [15.99206349 15.00793651],0
p1,1,0.700728,0.147716,[10 86] ; [ 4 27],[10.58267717 85.41732283] ; [ 3.41732283 27.58267717],0
a7,1,0.736785,0.112973,[64 32] ; [19 11],[63.23809524 32.76190476] ; [19.76190476 10.23809524],0
s1,1,0.780676,0.077528,[ 5 89] ; [ 2 28],[ 5.30645161 88.69354839] ; [ 1.69354839 28.30645161],0
u3,1,0.867695,0.027751,[7 4] ; [12  6],[7.20689655 3.79310345] ; [11.79310345  6.20689655],0
p5,1,0.960084,0.002505,[ 9 87] ; [ 3 28],[ 9.07086614 86.92913386] ; [ 2.92913386 28.07086614],0
v4,1,0.989197,0.000183,[88  6] ; [29  2],[87.984  6.016] ; [29.016  1.984],0
