Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v4,1,0.0,27.082372,[82 12] ; [10 16],[72.06666667 21.93333333] ; [19.93333333  6.06666667],1
n3,1,0.029803,4.720608,[22  8] ; [5 8],[18.8372093 11.1627907] ; [8.1627907 4.8372093],0
a7,1,0.030449,4.683748,[65 29] ; [12 14],[60.31666667 33.68333333] ; [16.68333333  9.31666667],0
d1,1,0.037412,4.331568,[43 51] ; [ 6 20],[38.38333333 55.61666667] ; [10.61666667 15.38333333],0
a5,1,0.061105,3.507131,[59 35] ; [11 15],[54.83333333 39.16666667] ; [15.16666667 10.83333333],0
s3,1,0.06857,3.316932,[41 52] ; [ 6 19],[37.04237288 55.95762712] ; [ 9.95762712 15.04237288],0
p3,1,0.071085,3.257789,[31 61] ; [ 4 22],[27.28813559 64.71186441] ; [ 7.71186441 18.28813559],0
u3,1,0.071296,3.252923,[21 15] ; [3 8],[18.38297872 17.61702128] ; [5.61702128 5.38297872],0
b1,1,0.093564,2.811965,[44 50] ; [17  9],[47.78333333 46.21666667] ; [13.21666667 12.78333333],0
n2,1,0.118497,2.437079,[22  9] ; [6 7],[19.72727273 11.27272727] ; [8.27272727 4.72727273],0
u2,1,0.129942,2.293202,[23 14] ; [4 7],[20.8125 16.1875] ; [6.1875 4.8125],0
p1,1,0.141608,2.160393,[ 6 88] ; [ 4 22],[ 7.83333333 86.16666667] ; [ 2.16666667 23.83333333],0
v3,1,0.206056,1.598921,[24 63] ; [ 4 22],[21.55752212 65.44247788] ; [ 6.44247788 19.55752212],0
v1,1,0.279401,1.17,[35 56] ; [ 7 19],[32.66666667 58.33333333] ; [ 9.33333333 16.66666667],0
n1,1,0.307375,1.041923,[ 9 21] ; [6 7],[10.46511628 19.53488372] ; [4.53488372 8.46511628],0
n4,1,0.325856,0.965298,[44 50] ; [15 11],[46.21666667 47.78333333] ; [12.78333333 13.21666667],0
a4,1,0.436641,0.605095,[32 62] ; [11 15],[33.68333333 60.31666667] ; [ 9.31666667 16.68333333],0
a2,1,0.576499,0.311928,[15 79] ; [ 3 23],[14.1 79.9] ; [ 3.9 22.1],0
b4,1,0.600024,0.274959,[56 38] ; [14 12],[54.83333333 39.16666667] ; [15.16666667 10.83333333],0
s4,1,0.635824,0.224246,[ 8 86] ; [ 3 23],[ 8.61666667 85.38333333] ; [ 2.38333333 23.61666667],0
a8,1,0.700515,0.147936,[ 9 79] ; [ 2 24],[ 8.49122807 79.50877193] ; [ 2.50877193 23.49122807],0
s1,1,0.844771,0.038336,[ 6 85] ; [ 2 24],[ 6.22222222 84.77777778] ; [ 1.77777778 24.22222222],0
p5,1,0.849389,0.036061,[ 3 90] ; [ 1 24],[ 3.15254237 89.84745763] ; [ 0.84745763 24.15254237],0
d2,1,0.8628,0.029864,[38 56] ; [11 15],[38.38333333 55.61666667] ; [10.61666667 15.38333333],0
s5,1,0.910315,0.012688,[11 78] ; [ 3 23],[10.83478261 78.16521739] ; [ 3.16521739 22.83478261],0
a3,1,0.953729,0.003367,[57 37] ; [15 10],[56.87394958 37.12605042] ; [15.12605042  9.87394958],0
