Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s3,1,1e-06,24.222099,[116  24] ; [16 21],[104.40677966  35.59322034] ; [27.59322034  9.40677966],1
n3,1,0.338423,0.916394,[27 12] ; [10  2],[28.29411765 10.70588235] ; [8.70588235 3.29411765],0
u3,1,0.346465,0.886364,[23 10] ; [3 3],[22. 11.] ; [4. 2.],0
a3,1,0.346814,0.88508,[108  33] ; [31  6],[110.10674157  30.89325843] ; [28.89325843  8.10674157],0
n4,1,0.363821,0.824659,[116  25] ; [28  9],[114.06741573  26.93258427] ; [29.93258427  7.06741573],0
b1,1,0.371988,0.797014,[61 80] ; [13 24],[58.61797753 82.38202247] ; [15.38202247 21.61797753],0
a5,1,0.399899,0.70863,[105  36] ; [25 12],[102.97752809  38.02247191] ; [27.02247191  9.97752809],0
v2,1,0.425629,0.634721,[62 77] ; [13 22],[59.9137931 79.0862069] ; [15.0862069 19.9137931],0
p8,1,0.441544,0.592267,[70 69] ; [16 21],[67.92045455 71.07954545] ; [18.07954545 18.92045455],0
d2,1,0.454426,0.55959,[74 66] ; [17 20],[71.97740113 68.02259887] ; [19.02259887 17.97740113],0
u2,1,0.466551,0.530134,[21 11] ; [3 3],[20.21052632 11.78947368] ; [3.78947368 2.21052632],0
p7,1,0.478408,0.50249,[93 45] ; [22 14],[91.20689655 46.79310345] ; [23.79310345 12.20689655],0
p6,1,0.500825,0.453189,[54 87] ; [16 20],[55.76271186 85.23728814] ; [14.23728814 21.76271186],0
d4,1,0.52897,0.396371,[116  24] ; [29  8],[114.68926554  25.31073446] ; [30.31073446  6.68926554],0
p4,1,0.529792,0.394791,[88 53] ; [21 16],[86.34269663 54.65730337] ; [22.65730337 14.34269663],0
a7,1,0.530941,0.39259,[99 42] ; [24 13],[97.43258427 43.56741573] ; [25.56741573 11.43258427],0
p3,1,0.577348,0.310542,[70 71] ; [16 20],[68.50847458 72.49152542] ; [17.49152542 18.50847458],0
n2,1,0.595994,0.281081,[27 12] ; [10  3],[27.75 11.25] ; [9.25 3.75],0
p1,1,0.649587,0.206421,[ 15 126] ; [ 3 34],[ 14.25842697 126.74157303] ; [ 3.74157303 33.25842697],0
b4,1,0.698585,0.149948,[75 66] ; [21 16],[76.04494382 64.95505618] ; [19.95505618 17.04494382],0
a8,1,0.762672,0.091189,[ 18 113] ; [ 4 30],[ 17.46666667 113.53333333] ; [ 4.53333333 29.46666667],0
p2,1,0.786475,0.073382,[117  24] ; [30  7],[116.44382022  24.55617978] ; [30.55617978  6.44382022],0
p10,1,0.866939,0.028072,[116  25] ; [30  7],[115.65168539  25.34831461] ; [30.34831461  6.65168539],0
v3,1,0.893707,0.017853,[40 96] ; [11 25],[40.3255814 95.6744186] ; [10.6744186 25.3255814],0
p11,1,0.978725,0.000711,[107  34] ; [28  9],[106.93820225  34.06179775] ; [28.06179775  8.93820225],0
a4,1,0.986712,0.000277,[65 76] ; [17 20],[64.95505618 76.04494382] ; [17.04494382 19.95505618],0
