Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v1,1,0.007314,7.194235,[15 60] ; [13 15],[20.38834951 54.61165049] ; [ 7.61165049 20.38834951],0
r1,1,0.625197,0.23863,[47 28] ; [19  9],[48.05825243 26.94174757] ; [17.94174757 10.05825243],0
u2,1,0.629684,0.232489,[16 22] ; [3 6],[15.36170213 22.63829787] ; [3.63829787 5.36170213],0
p3,1,0.634666,0.225786,[18 57] ; [ 8 20],[18.93203883 56.06796117] ; [ 7.06796117 20.93203883],0
n3,1,0.666889,0.185263,[21 15] ; [4 4],[20.45454545 15.54545455] ; [4.54545455 3.45454545],0
d2,1,0.685238,0.164289,[35 39] ; [14 13],[35.9009901 38.0990099] ; [13.0990099 13.9009901],0
p4,1,0.709196,0.139081,[23 52] ; [ 9 17],[23.76237624 51.23762376] ; [ 8.23762376 17.76237624],0
s1,1,0.727207,0.121692,[ 4 71] ; [ 2 26],[ 4.36893204 70.63106796] ; [ 1.63106796 26.36893204],0
a5,1,0.729833,0.119265,[40 35] ; [16 12],[40.77669903 34.22330097] ; [15.22330097 12.77669903],0
a2,1,0.752557,0.099395,[14 61] ; [ 6 22],[14.5631068 60.4368932] ; [ 5.4368932 22.5631068],0
d1,1,0.822054,0.050582,[34 41] ; [12 16],[33.49514563 41.50485437] ; [12.50485437 15.49514563],0
p11,1,0.822054,0.050582,[34 41] ; [12 16],[33.49514563 41.50485437] ; [12.50485437 15.49514563],0
a8,1,0.834218,0.043804,[ 5 66] ; [ 2 22],[ 5.23157895 65.76842105] ; [ 1.76842105 22.23157895],0
a1,1,0.885025,0.02091,[ 6 69] ; [ 2 26],[ 5.82524272 69.17475728] ; [ 2.17475728 25.82524272],0
p2,1,0.887018,0.020186,[36 39] ; [13 15],[35.67961165 39.32038835] ; [13.32038835 14.67961165],0
a4,1,0.893178,0.018032,[28 46] ; [11 17],[28.29411765 45.70588235] ; [10.70588235 17.29411765],0
u1,1,0.994445,4.8e-05,[ 8 67] ; [ 3 25],[ 8.00970874 66.99029126] ; [ 2.99029126 25.00970874],0
