Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p1,1,5e-05,16.446595,[  9 289] ; [10 55],[ 15.59779614 282.40220386] ; [ 3.40220386 61.59779614],1
a1,1,0.283078,1.152255,[ 10 290] ; [ 4 61],[ 11.50684932 288.49315068] ; [ 2.49315068 62.50684932],0
n5,1,0.305693,1.049192,[191 107] ; [46 19],[194.56198347 103.43801653] ; [42.43801653 22.56198347],0
u3,1,0.319239,0.992063,[52 52] ; [13  8],[54.08 49.92] ; [10.92 10.08],0
a7,1,0.320376,0.98741,[206  93] ; [40 24],[202.62809917  96.37190083] ; [43.37190083 20.62809917],0
n1,1,0.336909,0.922159,[32 63] ; [ 9 11],[33.86956522 61.13043478] ; [ 7.13043478 12.86956522],0
a4,1,0.346239,0.887193,[120 179] ; [22 43],[116.64285714 182.35714286] ; [25.35714286 39.64285714],0
a5,1,0.358073,0.84464,[198 102] ; [39 26],[194.79452055 105.20547945] ; [42.20547945 22.79452055],0
u2,1,0.361113,0.834019,[52 50] ; [13  8],[53.90243902 48.09756098] ; [11.09756098  9.90243902],0
u1,1,0.363114,0.827094,[ 34 266] ; [10 55],[ 36.16438356 263.83561644] ; [ 7.83561644 57.16438356],0
s1,1,0.386286,0.750601,[  8 289] ; [ 3 60],[  9.075 287.925] ; [ 1.925 61.075],0
r2,1,0.391446,0.734446,[282  17] ; [63  2],[283.39285714  15.60714286] ; [61.60714286  3.39285714],0
p2,1,0.435987,0.606823,[211  88] ; [49 16],[213.57142857  85.42857143] ; [46.42857143 18.57142857],0
r1,1,0.473796,0.51311,[228  70] ; [47 18],[225.75757576  72.24242424] ; [49.24242424 15.75757576],0
d5,1,0.480677,0.497326,[223  76] ; [45 19],[220.74931129  78.25068871] ; [47.25068871 16.74931129],0
d3,1,0.484106,0.489599,[185 114] ; [36 27],[182.53867403 116.46132597] ; [38.46132597 24.53867403],0
n2,1,0.50133,0.452119,[71 25] ; [17  4],[72.20512821 23.79487179] ; [15.79487179  5.20512821],0
s4,1,0.511302,0.431401,[ 52 246] ; [ 9 55],[ 50.21546961 247.78453039] ; [10.78453039 53.21546961],0
n6,1,0.520076,0.413743,[233  66] ; [53 12],[234.92857143  64.07142857] ; [51.07142857 13.92857143],0
s6,1,0.537617,0.379975,[166 130] ; [38 25],[168.2005571 127.7994429] ; [35.7994429 27.2005571],0
r3,1,0.551406,0.354804,[274  25] ; [61  4],[275.17857143  23.82142857] ; [59.82142857  5.17857143],0
d2,1,0.590901,0.28894,[125 172] ; [25 40],[123.06629834 173.93370166] ; [26.93370166 38.06629834],0
p9,1,0.597973,0.278064,[223  68] ; [51 13],[224.6028169  66.3971831] ; [49.3971831 14.6028169],0
a2,1,0.610502,0.259445,[ 59 241] ; [11 54],[ 57.53424658 242.46575342] ; [12.46575342 52.53424658],0
b1,1,0.614323,0.253928,[110 190] ; [26 39],[111.78082192 188.21917808] ; [24.21917808 40.78082192],0
p5,1,0.620465,0.245214,[ 10 288] ; [ 3 62],[ 10.67217631 287.32782369] ; [ 2.32782369 62.67217631],0
a3,1,0.647442,0.20914,[196 102] ; [44 20],[197.56906077 100.43093923] ; [42.43093923 21.56906077],0
u4,1,0.705403,0.142912,[  3 297] ; [ 1 64],[  3.28767123 296.71232877] ; [ 0.71232877 64.28767123],0
a6,1,0.725224,0.123542,[194 105] ; [43 21],[195.21487603 103.78512397] ; [41.78512397 22.21487603],0
v3,1,0.730438,0.11871,[ 97 191] ; [23 41],[ 98.18181818 189.81818182] ; [21.81818182 42.18181818],0
a8,1,0.867763,0.027722,[ 35 244] ; [ 8 52],[ 35.38938053 243.61061947] ; [ 7.61061947 52.38938053],0
n3,1,0.912105,0.012185,[66 28] ; [15  6],[66.20869565 27.79130435] ; [14.79130435  6.20869565],0
d1,1,0.925294,0.008792,[145 155] ; [31 34],[144.65753425 155.34246575] ; [31.34246575 33.65753425],0
p10,1,0.948886,0.00411,[213  85] ; [46 18],[213.20994475  84.79005525] ; [45.79005525 18.20994475],0
d4,1,0.964188,0.002016,[230  68] ; [50 15],[229.86225895  68.13774105] ; [50.13774105 14.86225895],0
p12,1,0.992811,8.1e-05,[ 14 283] ; [ 3 61],[ 13.98614958 283.01385042] ; [ 3.01385042 60.98614958],0
