Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n4,1,6e-06,20.414894,[11 22] ; [34  6],[20.34246575 12.65753425] ; [24.65753425 15.34246575],1
d1,1,0.549009,0.359096,[15 18] ; [21 19],[16.2739726 16.7260274] ; [19.7260274 20.2739726],0
v1,1,0.55706,0.34482,[11 22] ; [16 24],[12.20547945 20.79452055] ; [14.79452055 25.20547945],0
a6,1,0.638893,0.220193,[18 15] ; [24 16],[18.98630137 14.01369863] ; [23.01369863 16.98630137],0
p1,1,0.642596,0.215363,[ 3 30] ; [ 5 35],[ 3.61643836 29.38356164] ; [ 4.38356164 35.61643836],0
p8,1,0.650178,0.205675,[16 17] ; [21 18],[16.95833333 16.04166667] ; [20.04166667 18.95833333],0
d5,1,0.662779,0.190165,[25  8] ; [32  8],[25.76712329  7.23287671] ; [31.23287671  8.76712329],0
u2,1,0.67558,0.175144,[ 8 11] ; [ 6 11],[ 7.38888889 11.61111111] ; [ 6.61111111 10.38888889],0
d2,1,0.698829,0.149692,[15 18] ; [20 20],[15.82191781 17.17808219] ; [19.17808219 20.82191781],0
v3,1,0.729176,0.119869,[12 21] ; [13 27],[11.30136986 21.69863014] ; [13.69863014 26.30136986],0
p7,1,0.732654,0.116688,[19 14] ; [24 15],[19.70833333 13.29166667] ; [23.29166667 15.70833333],0
n2,1,0.780512,0.077647,[9 3] ; [8 2],[9.27272727 2.72727273] ; [7.72727273 2.27272727],0
v2,1,0.782262,0.076382,[15 18] ; [19 20],[15.58333333 17.41666667] ; [18.41666667 20.58333333],0
p3,1,0.813025,0.055944,[17 16] ; [19 20],[16.5 16.5] ; [19.5 19.5],0
p2,1,0.825674,0.048511,[24  9] ; [30 10],[24.4109589  8.5890411] ; [29.5890411 10.4109589],0
s1,1,0.83059,0.045772,[ 3 30] ; [ 3 36],[ 2.75 30.25] ; [ 3.25 35.75],0
b1,1,0.834041,0.043899,[19 14] ; [24 16],[19.43835616 13.56164384] ; [23.56164384 16.43835616],0
d4,1,0.840616,0.040443,[23 10] ; [27 13],[22.60273973 10.39726027] ; [27.39726027 12.60273973],0
a1,1,0.842908,0.039273,[ 2 31] ; [ 2 38],[ 1.80821918 31.19178082] ; [ 2.19178082 37.80821918],0
b5,1,0.861576,0.030404,[18 15] ; [21 19],[17.63013699 15.36986301] ; [21.36986301 18.63013699],0
p6,1,0.900655,0.015584,[10 23] ; [11 27],[ 9.76056338 23.23943662] ; [11.23943662 26.76056338],0
a4,1,0.96587,0.001831,[10 23] ; [12 27],[10.08333333 22.91666667] ; [11.91666667 27.08333333],0
d3,1,0.977596,0.000789,[23 10] ; [28 12],[23.05479452  9.94520548] ; [27.94520548 12.05479452],0
s2,1,0.978349,0.000737,[14 19] ; [16 22],[13.94366197 19.05633803] ; [16.05633803 21.94366197],0
s4,1,0.986899,0.00027,[ 7 26] ; [ 8 30],[ 6.97183099 26.02816901] ; [ 8.02816901 29.97183099],0
