Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,2e-06,22.423939,[64 35] ; [ 6 28],[52.10526316 46.89473684] ; [17.89473684 16.10526316],1
b2,1,0.535093,0.38471,[20 35] ; [ 7 17],[18.79746835 36.20253165] ; [ 8.20253165 15.79746835],0
p3,1,0.595257,0.282208,[31 68] ; [ 9 25],[29.77443609 69.22556391] ; [10.22556391 23.77443609],0
s6,1,0.598326,0.277528,[40 59] ; [12 22],[38.70676692 60.29323308] ; [13.29323308 20.70676692],0
p4,1,0.64228,0.215773,[39 59] ; [12 22],[37.86363636 60.13636364] ; [13.13636364 20.86363636],0
s1,1,0.764067,0.090087,[ 4 94] ; [ 1 33],[ 3.71212121 94.28787879] ; [ 1.28787879 32.71212121],0
u1,1,0.771263,0.08452,[ 4 95] ; [ 1 33],[ 3.72180451 95.27819549] ; [ 1.27819549 32.72180451],0
n1,1,0.774987,0.081715,[13 24] ; [4 9],[12.58 24.42] ; [4.42 8.58],0
n4,1,0.818458,0.052684,[56 43] ; [20 14],[56.57142857 42.42857143] ; [19.42857143 14.57142857],0
p5,1,0.832285,0.044847,[ 5 93] ; [ 2 31],[ 5.23664122 92.76335878] ; [ 1.76335878 31.23664122],0
n3,1,0.864475,0.029132,[26 13] ; [9 4],[26.25 12.75] ; [8.75 4.25],0
b5,1,0.89883,0.016164,[57 42] ; [20 14],[57.31578947 41.68421053] ; [19.68421053 14.31578947],0
s4,1,0.938634,0.005927,[21 78] ; [ 7 27],[20.84210526 78.15789474] ; [ 7.15789474 26.84210526],0
