Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a4,1,1e-06,23.736456,[34 29] ; [ 6 48],[21.53846154 41.46153846] ; [18.46153846 35.53846154],1
b2,1,0.195254,1.677525,[14 26] ; [ 7 26],[11.50684932 28.49315068] ; [ 9.49315068 23.50684932],0
n2,1,0.22504,1.471937,[18  5] ; [9 6],[16.34210526  6.65789474] ; [10.65789474  4.34210526],0
n1,1,0.247752,1.335937,[11 11] ; [ 5 11],[ 9.26315789 12.73684211] ; [6.73684211 9.26315789],0
p5,1,0.282441,1.155307,[ 2 63] ; [ 4 50],[ 3.27731092 61.72268908] ; [ 2.72268908 51.27731092],0
p2,1,0.300971,1.069886,[41 24] ; [29 25],[38.23529412 26.76470588] ; [31.76470588 22.23529412],0
r3,1,0.326892,0.96117,[58  7] ; [44  9],[56.18644068  8.81355932] ; [45.81355932  7.18644068],0
p4,1,0.339495,0.912338,[31 33] ; [21 32],[28.44444444 35.55555556] ; [23.55555556 29.44444444],0
a1,1,0.357238,0.847578,[ 5 60] ; [ 2 52],[ 3.82352941 61.17647059] ; [ 3.17647059 50.82352941],0
p10,1,0.357925,0.845161,[20 43] ; [13 41],[17.76923077 45.23076923] ; [15.23076923 38.76923077],0
s2,1,0.395766,0.721154,[25 38] ; [17 36],[22.81034483 40.18965517] ; [19.18965517 33.81034483],0
p6,1,0.415553,0.662857,[12 52] ; [13 39],[13.79310345 50.20689655] ; [11.20689655 40.79310345],0
s8,1,0.432994,0.614778,[18 45] ; [12 42],[16.15384615 46.84615385] ; [13.84615385 40.15384615],0
n3,1,0.451549,0.566761,[15  7] ; [9 7],[13.89473684  8.10526316] ; [10.10526316  5.89473684],0
p11,1,0.47013,0.52167,[38 27] ; [28 26],[36.05042017 28.94957983] ; [29.94957983 24.05042017],0
s7,1,0.478146,0.503088,[23 39] ; [16 36],[21.21052632 40.78947368] ; [17.78947368 34.21052632],0
b4,1,0.589719,0.290783,[39 26] ; [35 19],[40.42016807 24.57983193] ; [33.57983193 20.42016807],0
v3,1,0.631126,0.230536,[21 43] ; [20 34],[22.23728814 41.76271186] ; [18.76271186 35.23728814],0
a7,1,0.660694,0.192681,[43 22] ; [33 20],[41.86440678 23.13559322] ; [34.13559322 18.86440678],0
b5,1,0.670269,0.181288,[41 24] ; [32 22],[39.87394958 25.12605042] ; [33.12605042 20.87394958],0
s4,1,0.689594,0.159525,[ 9 54] ; [ 9 44],[ 9.77586207 53.22413793] ; [ 8.22413793 44.77586207],0
s3,1,0.704862,0.143464,[28 37] ; [21 32],[26.99152542 38.00847458] ; [22.00847458 30.99152542],0
p1,1,0.721142,0.127401,[ 6 59] ; [ 4 50],[ 5.46218487 59.53781513] ; [ 4.53781513 49.46218487],0
u3,1,0.725526,0.123259,[ 9 11] ; [16 16],[ 9.61538462 10.38461538] ; [15.38461538 16.61538462],0
s6,1,0.797286,0.065977,[33 30] ; [27 27],[32.30769231 30.69230769] ; [27.69230769 26.30769231],0
a8,1,0.801426,0.063253,[ 5 52] ; [ 5 44],[ 5.37735849 51.62264151] ; [ 4.62264151 44.37735849],0
s1,1,0.803239,0.062079,[ 4 60] ; [ 4 50],[ 4.33898305 59.66101695] ; [ 3.66101695 50.33898305],0
p3,1,0.809326,0.058224,[20 44] ; [18 36],[20.61016949 43.38983051] ; [17.38983051 36.61016949],0
p12,1,0.894664,0.017531,[ 1 64] ; [ 1 53],[ 1.09243697 63.90756303] ; [ 0.90756303 53.09243697],0
p7,1,0.945929,0.0046,[31 34] ; [24 27],[30.81896552 34.18103448] ; [24.18103448 26.81896552],0
v2,1,0.969358,0.001476,[28 36] ; [23 30],[27.8974359 36.1025641] ; [23.1025641 29.8974359],0
u2,1,0.99058,0.000139,[ 8 11] ; [13 18],[ 7.98 11.02] ; [13.02 17.98],0
