Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
b3,1,0.006705,7.350241,[ 3 21] ; [62 88],[ 8.96551724 15.03448276] ; [56.03448276 93.96551724],0
p1,1,0.200027,1.642179,[ 1 40] ; [ 19 217],[ 2.96028881 38.03971119] ; [ 17.03971119 218.96028881],0
a8,1,0.214281,1.542264,[ 3 34] ; [ 34 179],[ 5.476 31.524] ; [ 31.524 181.476],0
v4,1,0.230754,1.436207,[36  4] ; [220  12],[37.64705882  2.35294118] ; [218.35294118  13.64705882],0
r4,1,0.241344,1.372726,[38  3] ; [203  33],[35.67148014  5.32851986] ; [205.32851986  30.67148014],0
s7,1,0.252492,1.309464,[20 18] ; [ 96 129],[16.76045627 21.23954373] ; [ 99.23954373 125.76045627],0
r2,1,0.276221,1.185588,[40  1] ; [216  16],[38.44688645  2.55311355] ; [217.55311355  14.44688645],0
a7,1,0.287686,1.130419,[25 16] ; [163  72],[27.92753623 13.07246377] ; [160.07246377  74.92753623],0
s5,1,0.295358,1.095038,[14 23] ; [ 68 164],[11.27881041 25.72118959] ; [ 70.72118959 161.27881041],0
n4,1,0.326728,0.961822,[28 13] ; [176  57],[30.52554745 10.47445255] ; [173.47445255  59.52554745],0
n1,1,0.335274,0.928421,[ 4 10] ; [21 28],[5.55555556 8.44444444] ; [19.44444444 29.55555556],0
r1,1,0.382184,0.763665,[31 10] ; [189  43],[33.04029304  7.95970696] ; [186.95970696  45.04029304],0
a4,1,0.397387,0.71622,[16 25] ; [108 126],[18.48727273 22.51272727] ; [105.51272727 128.48727273],0
d5,1,0.407448,0.686235,[34  7] ; [182  54],[31.97111913  9.02888087] ; [184.02888087  51.97111913],0
p4,1,0.417812,0.656461,[19 22] ; [125 110],[21.39130435 19.60869565] ; [122.60869565 112.39130435],0
b1,1,0.471024,0.519573,[17 24] ; [ 84 152],[14.94945848 26.05054152] ; [ 86.05054152 149.94945848],0
p8,1,0.501,0.452816,[16 24] ; [107 127],[17.95620438 22.04379562] ; [105.04379562 128.95620438],0
a5,1,0.523385,0.407218,[29 12] ; [178  58],[30.63898917 10.36101083] ; [176.36101083  59.63898917],0
s1,1,0.545875,0.364759,[ 2 39] ; [  7 223],[ 1.36162362 39.63837638] ; [  7.63837638 222.36162362],0
p9,1,0.556481,0.345834,[32  8] ; [196  38],[33.28467153  6.71532847] ; [194.71532847  39.28467153],0
r3,1,0.578272,0.309037,[39  2] ; [217  17],[38.16727273  2.83272727] ; [217.83272727  16.16727273],0
a1,1,0.586265,0.296216,[ 1 40] ; [ 10 226],[ 1.62815884 39.37184116] ; [  9.37184116 226.62815884],0
p5,1,0.657609,0.196442,[ 3 38] ; [ 22 210],[ 3.75457875 37.24542125] ; [ 21.24542125 210.75457875],0
d3,1,0.6672,0.184894,[28 13] ; [153  83],[26.79061372 14.20938628] ; [154.20938628  81.79061372],0
u3,1,0.678921,0.171343,[8 4] ; [38 25],[7.36 4.64] ; [38.64 24.36],0
a3,1,0.700355,0.148103,[29 12] ; [173  62],[30.00724638 10.99275362] ; [171.99275362  63.00724638],0
n3,1,0.726978,0.121905,[11  3] ; [37 13],[10.5  3.5] ; [37.5 12.5],0
n2,1,0.796987,0.066176,[11  3] ; [40  9],[11.33333333  2.66666667] ; [39.66666667  9.33333333],0
u1,1,0.812433,0.056306,[ 6 35] ; [ 38 198],[ 6.51263538 34.48736462] ; [ 37.48736462 198.51263538],0
p10,1,0.844875,0.038284,[32  8] ; [184  50],[31.53284672  8.46715328] ; [184.46715328  49.53284672],0
p7,1,0.868612,0.027364,[21 19] ; [124 106],[21.48148148 18.51851852] ; [123.51851852 106.48148148],0
n5,1,0.91322,0.011876,[31 10] ; [178  55],[31.27372263  9.72627737] ; [177.72627737  55.27372263],0
p3,1,0.96369,0.002072,[19 22] ; [108 127],[18.86594203 22.13405797] ; [108.13405797 126.86594203],0
b5,1,0.985825,0.000316,[26 15] ; [150  86],[26.05054152 14.94945848] ; [149.94945848  86.05054152],0
