Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d2,1,0.0,139.120818,[165  74] ; [ 31 186],[102.72807018 136.27192982] ; [ 93.27192982 123.72807018],1
s7,1,0.012273,6.27105,[117 114] ; [ 81 128],[103.95 127.05] ; [ 94.05 114.95],0
b3,1,0.021306,5.301579,[60 85] ; [34 88],[51.04868914 93.95131086] ; [42.95131086 79.04868914],0
b2,1,0.021306,5.301579,[60 85] ; [34 88],[51.04868914 93.95131086] ; [42.95131086 79.04868914],0
p10,1,0.02951,4.737628,[219  20] ; [183  32],[211.62555066  27.37444934] ; [190.37444934  24.62555066],0
v2,1,0.032293,4.582872,[107 126] ; [ 75 134],[ 95.94117647 137.05882353] ; [ 86.05882353 122.94117647],0
s6,1,0.058242,3.586743,[169  67] ; [136  79],[159.60088692  76.39911308] ; [145.39911308  69.60088692],0
v4,1,0.064009,3.430334,[229  10] ; [197  18],[224.25991189  14.74008811] ; [201.74008811  13.25991189],0
n6,1,0.06512,3.401932,[205  33] ; [172  44],[197.63436123  40.36563877] ; [179.36563877  36.63436123],0
b4,1,0.106134,2.610861,[144  95] ; [115 103],[135.45076586 103.54923414] ; [123.54923414  94.45076586],0
s3,1,0.134743,2.23699,[139 100] ; [110 105],[131.0814978 107.9185022] ; [117.9185022  97.0814978],0
p7,1,0.156627,2.006491,[150  83] ; [122  89],[142.73873874  90.26126126] ; [129.26126126  81.73873874],0
n1,1,0.202331,1.625466,[26 30] ; [19 36],[22.7027027 33.2972973] ; [22.2972973 32.7027027],0
a1,1,0.207031,1.592065,[  5 234] ; [  9 209],[  7.32166302 231.67833698] ; [  6.67833698 211.32166302],0
u4,1,0.212383,1.555109,[  4 235] ; [  1 217],[  2.61487965 236.38512035] ; [  2.38512035 215.61487965],0
b1,1,0.217778,1.518953,[ 81 158] ; [ 86 132],[ 87.33698031 151.66301969] ; [ 79.66301969 138.33698031],0
n2,1,0.27794,1.177133,[41 15] ; [45 10],[43.38738739 12.61261261] ; [42.61261261 12.38738739],0
r3,1,0.287477,1.131401,[227  11] ; [201  15],[224.37004405  13.62995595] ; [203.62995595  12.37004405],0
u3,1,0.317301,1.000038,[29 17] ; [52 44],[26.23943662 19.76056338] ; [54.76056338 41.23943662],0
n5,1,0.437249,0.603492,[175  62] ; [151  63],[171.31263858  65.68736142] ; [154.68736142  59.31263858],0
n3,1,0.506271,0.441767,[43 12] ; [40 15],[41.5 13.5] ; [41.5 13.5],0
p8,1,0.5156,0.422686,[123 114] ; [105 110],[119.54867257 117.45132743] ; [108.45132743 106.54867257],0
p12,1,0.551347,0.354909,[ 14 224] ; [ 10 206],[ 12.5814978 225.4185022] ; [ 11.4185022 204.5814978],0
a8,1,0.564683,0.331661,[ 30 190] ; [ 32 173],[ 32.09411765 187.90588235] ; [ 29.90588235 175.09411765],0
s4,1,0.569397,0.323693,[ 51 185] ; [ 42 174],[ 48.55752212 187.44247788] ; [ 44.44247788 171.55752212],0
p5,1,0.628557,0.234022,[ 24 214] ; [ 19 198],[ 22.49230769 215.50769231] ; [ 20.50769231 196.49230769],0
s1,1,0.663385,0.189438,[  6 230] ; [  7 210],[  6.77262693 229.22737307] ; [  6.22737307 210.77262693],0
u2,1,0.712073,0.136215,[25 21] ; [49 47],[23.97183099 22.02816901] ; [50.02816901 45.97183099],0
p2,1,0.788521,0.071948,[205  33] ; [185  32],[204.  34.] ; [186.  31.],0
p11,1,0.82624,0.048192,[191  48] ; [176  42],[191.9321663  47.0678337] ; [175.0678337  42.9321663],0
b5,1,0.867339,0.027902,[152  87] ; [137  81],[151.14004376  87.85995624] ; [137.85995624  80.14004376],0
v1,1,0.873216,0.025464,[109 123] ; [ 98 114],[108.16216216 123.83783784] ; [ 98.83783784 113.16216216],0
p1,1,0.938878,0.00588,[ 15 224] ; [ 14 203],[ 15.1995614 223.8004386] ; [ 13.8004386 203.1995614],0
