Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v1,1,6.2e-05,16.03131,[36 26] ; [ 83 185],[22.35757576 39.64242424] ; [ 96.64242424 171.35757576],1
d2,1,0.409636,0.679856,[30 33] ; [114 158],[27.08059701 35.91940299] ; [116.91940299 155.08059701],0
u2,1,0.414672,0.665365,[13  9] ; [51 52],[11.264 10.736] ; [52.736 50.264],0
d4,1,0.416811,0.659289,[44 18] ; [208  66],[46.5 15.5] ; [205.5  68.5],0
a1,1,0.455797,0.556195,[ 5 58] ; [ 15 259],[ 3.7388724 59.2611276] ; [ 16.2611276 257.7388724],0
n2,1,0.46266,0.539451,[8 3] ; [54 34],[6.88888889 4.11111111] ; [55.11111111 32.88888889],0
r4,1,0.472456,0.516226,[52 11] ; [215  59],[49.91394659 13.08605341] ; [217.08605341  56.91394659],0
p4,1,0.48831,0.480248,[33 29] ; [132 141],[30.53731343 31.46268657] ; [134.46268657 138.53731343],0
r2,1,0.505715,0.442923,[57  6] ; [237  34],[55.45508982  7.54491018] ; [238.54491018  32.45508982],0
p9,1,0.517383,0.419107,[45 18] ; [202  66],[47.01208459 15.98791541] ; [199.98791541  68.01208459],0
p12,1,0.520121,0.413654,[ 4 59] ; [ 12 259],[ 3.01796407 59.98203593] ; [ 12.98203593 258.01796407],0
v4,1,0.523216,0.40755,[57  6] ; [240  34],[55.52225519  7.47774481] ; [241.47774481  32.52225519],0
a7,1,0.532345,0.389914,[39 24] ; [181  93],[41.12759644 21.87240356] ; [178.87240356  95.12759644],0
a4,1,0.539316,0.376808,[28 35] ; [109 162],[25.84131737 37.15868263] ; [111.15868263 159.84131737],0
a3,1,0.616356,0.251023,[41 21] ; [170 101],[39.28528529 22.71471471] ; [171.71471471  99.28528529],0
p8,1,0.626429,0.236935,[26 37] ; [121 150],[27.72754491 35.27245509] ; [119.27245509 151.72754491],0
a6,1,0.631296,0.230307,[40 23] ; [165 109],[38.32344214 24.67655786] ; [166.67655786 107.32344214],0
r3,1,0.689577,0.159544,[53 10] ; [235  38],[54.  9.] ; [234.  39.],0
d1,1,0.705299,0.143018,[28 35] ; [129 145],[29.35014837 33.64985163] ; [127.64985163 146.35014837],0
d3,1,0.72305,0.125589,[38 25] ; [158 115],[36.75 26.25] ; [159.25 113.75],0
d5,1,0.737477,0.112356,[45 17] ; [193  81],[43.91666667 18.08333333] ; [194.08333333  79.91666667],0
p7,1,0.775223,0.081538,[32 29] ; [146 122],[33.00303951 27.99696049] ; [144.99696049 123.00303951],0
b2,1,0.796741,0.066341,[18 27] ; [ 61 100],[17.25728155 27.74271845] ; [61.74271845 99.25728155],0
b3,1,0.796741,0.066341,[18 27] ; [ 61 100],[17.25728155 27.74271845] ; [61.74271845 99.25728155],0
a2,1,0.828642,0.046848,[12 51] ; [ 49 225],[11.40356083 51.59643917] ; [ 49.59643917 224.40356083],0
n1,1,0.837402,0.042114,[4 5] ; [36 52],[3.71134021 5.28865979] ; [36.28865979 51.71134021],0
b5,1,0.861956,0.030236,[38 25] ; [162 112],[37.38872404 25.61127596] ; [162.61127596 111.38872404],0
s5,1,0.874461,0.024962,[16 47] ; [ 66 204],[15.51351351 47.48648649] ; [ 66.48648649 203.51351351],0
s3,1,0.948005,0.004253,[29 33] ; [128 143],[29.23123123 32.76876877] ; [127.76876877 143.23123123],0
n3,1,0.97729,0.00081,[6 4] ; [52 34],[6.04166667 3.95833333] ; [51.95833333 34.04166667],0
p10,1,0.988263,0.000216,[43 19] ; [187  83],[42.95180723 19.04819277] ; [187.04819277  82.95180723],0
