Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p8,1,1e-06,23.640023,[14 71] ; [16  8],[23.39449541 61.60550459] ; [ 6.60550459 17.39449541],1
b5,1,0.536517,0.382034,[52 33] ; [13 11],[50.68807339 34.31192661] ; [14.31192661  9.68807339],0
a6,1,0.538971,0.37745,[54 31] ; [13 10],[52.73148148 32.26851852] ; [14.26851852  8.73148148],0
n1,1,0.544197,0.367816,[14 15] ; [2 1],[14.5 14.5] ; [1.5 1.5],0
n4,1,0.547374,0.362043,[62 23] ; [16  8],[60.82568807 24.17431193] ; [17.17431193  6.82568807],0
d1,1,0.607796,0.263397,[41 44] ; [13 11],[42.11009174 42.88990826] ; [11.88990826 12.11009174],0
a4,1,0.608256,0.262723,[34 51] ; [11 13],[35.09174312 49.90825688] ; [ 9.90825688 14.09174312],0
d4,1,0.662086,0.190999,[63 22] ; [16  7],[62.17592593 22.82407407] ; [16.82407407  6.17592593],0
s1,1,0.676072,0.174581,[ 5 79] ; [ 2 22],[ 5.44444444 78.55555556] ; [ 1.55555556 22.44444444],0
b3,1,0.738362,0.111572,[19 36] ; [ 7 11],[19.5890411 35.4109589] ; [ 6.4109589 11.5890411],0
b2,1,0.738362,0.111572,[19 36] ; [ 7 11],[19.5890411 35.4109589] ; [ 6.4109589 11.5890411],0
a1,1,0.744847,0.105912,[ 5 80] ; [ 1 23],[ 4.67889908 80.32110092] ; [ 1.32110092 22.67889908],0
s4,1,0.759919,0.093384,[15 68] ; [ 5 19],[15.51401869 67.48598131] ; [ 4.48598131 19.51401869],0
d3,1,0.759971,0.093342,[45 40] ; [13 10],[45.64814815 39.35185185] ; [12.35185185 10.64814815],0
b1,1,0.791123,0.070147,[38 47] ; [10 14],[37.43119266 47.56880734] ; [10.56880734 13.43119266],0
d5,1,0.800753,0.063692,[53 32] ; [15  8],[53.51851852 31.48148148] ; [14.48148148  8.51851852],0
d2,1,0.801332,0.063314,[39 45] ; [10 13],[38.46728972 45.53271028] ; [10.53271028 12.46728972],0
n6,1,0.856732,0.032593,[68 16] ; [19  4],[68.29906542 15.70093458] ; [18.70093458  4.29906542],0
a5,1,0.906343,0.013842,[52 33] ; [15  9],[52.24770642 32.75229358] ; [14.75229358  9.24770642],0
n5,1,0.954666,0.003232,[60 24] ; [17  7],[59.88888889 24.11111111] ; [17.11111111  6.88888889],0
a7,1,0.965644,0.001855,[50 35] ; [14 10],[49.90825688 35.09174312] ; [14.09174312  9.90825688],0
a3,1,0.965644,0.001855,[50 35] ; [14 10],[49.90825688 35.09174312] ; [14.09174312  9.90825688],0
s3,1,0.985946,0.00031,[40 44] ; [11 12],[40.03738318 43.96261682] ; [10.96261682 12.03738318],0
