Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,6.6e-05,15.923366,[11 14] ; [85 18],[18.75  6.25] ; [77.25 25.75],1
d1,1,0.308097,1.038815,[11 14] ; [57 46],[13.28125 11.71875] ; [54.71875 48.28125],0
d5,1,0.314181,1.013018,[19  6] ; [87 16],[20.703125  4.296875] ; [85.296875 17.703125],0
p12,1,0.333284,0.936095,[ 2 21] ; [ 4 98],[ 1.104 21.896] ; [ 4.896 97.104],0
d2,1,0.35177,0.867063,[11 14] ; [56 47],[13.0859375 11.9140625] ; [53.9140625 49.0859375],0
v1,1,0.391276,0.734974,[15 10] ; [69 31],[16.8  8.2] ; [67.2 32.8],0
b5,1,0.402243,0.701609,[13 12] ; [44 59],[11.1328125 13.8671875] ; [45.8671875 57.1328125],0
d3,1,0.432656,0.615683,[ 9 16] ; [46 57],[10.7421875 14.2578125] ; [44.2578125 58.7421875],0
b4,1,0.49562,0.464302,[15 10] ; [54 49],[13.4765625 11.5234375] ; [55.5234375 47.4765625],0
s7,1,0.521405,0.411113,[10 12] ; [53 47],[11.36065574 10.63934426] ; [51.63934426 48.36065574],0
s2,1,0.567024,0.327688,[12 13] ; [56 47],[13.28125 11.71875] ; [54.71875 48.28125],0
v4,1,0.570414,0.32199,[21  3] ; [94  9],[21.73228346  2.26771654] ; [93.26771654  9.73228346],0
a1,1,0.604389,0.268427,[ 1 24] ; [ 7 96],[ 1.5625 23.4375] ; [ 6.4375 96.5625],0
a2,1,0.604389,0.268427,[ 1 24] ; [ 7 96],[ 1.5625 23.4375] ; [ 6.4375 96.5625],0
a6,1,0.64738,0.209219,[ 8 17] ; [38 65],[ 8.984375 16.015625] ; [37.015625 65.984375],0
p8,1,0.658939,0.194815,[12 12] ; [55 45],[12.96774194 11.03225806] ; [54.03225806 45.96774194],0
p6,1,0.669382,0.182326,[ 7 15] ; [37 64],[ 7.8699187 14.1300813] ; [36.1300813 64.8699187],0
n2,1,0.705591,0.14272,[8 2] ; [14  5],[7.5862069 2.4137931] ; [14.4137931  4.5862069],0
s4,1,0.756064,0.096505,[ 4 21] ; [14 89],[ 3.515625 21.484375] ; [14.484375 88.515625],0
b2,1,0.763147,0.090812,[6 7] ; [30 42],[5.50588235 7.49411765] ; [30.49411765 41.50588235],0
b3,1,0.763147,0.090812,[6 7] ; [30 42],[5.50588235 7.49411765] ; [30.49411765 41.50588235],0
p4,1,0.772025,0.083942,[13 11] ; [58 43],[13.632 10.368] ; [57.368 43.632],0
n3,1,0.775404,0.081404,[8 2] ; [16  3],[8.27586207 1.72413793] ; [15.72413793  3.27586207],0
u4,1,0.978483,0.000727,[ 1 24] ; [ 4 99],[ 0.9765625 24.0234375] ; [ 4.0234375 98.9765625],0
s3,1,0.997194,1.2e-05,[13 12] ; [53 49],[12.99212598 12.00787402] ; [53.00787402 48.99212598],0
