Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p6,1,1.9e-05,18.238817,[ 7 73] ; [18 26],[16.12903226 63.87096774] ; [ 8.87096774 35.12903226],1
b3,1,0.099322,2.716396,[25 28] ; [10 24],[21.32183908 31.67816092] ; [13.67816092 20.32183908],0
u3,1,0.112776,2.514881,[10 17] ; [11  7],[12.6 14.4] ; [8.4 9.6],0
p11,1,0.132079,2.267902,[44 37] ; [30 14],[47.952 33.048] ; [26.048 17.952],0
s8,1,0.149971,2.07255,[27 54] ; [20 23],[30.7016129 50.2983871] ; [16.2983871 26.7016129],0
u1,1,0.160869,1.966036,[15 66] ; [ 4 40],[12.312 68.688] ; [ 6.688 37.312],0
s1,1,0.166318,1.915819,[ 5 75] ; [ 6 38],[ 7.09677419 72.90322581] ; [ 3.90322581 40.09677419],0
s5,1,0.176142,1.82988,[16 61] ; [14 30],[19.09090909 57.90909091] ; [10.90909091 33.09090909],0
d2,1,0.178605,1.809191,[44 35] ; [18 24],[40.47933884 38.52066116] ; [21.52066116 20.47933884],0
d3,1,0.181532,1.785034,[45 36] ; [18 24],[41.48780488 39.51219512] ; [21.51219512 20.48780488],0
p1,1,0.188853,1.726546,[12 69] ; [ 3 41],[ 9.72 71.28] ; [ 5.28 38.72],0
v4,1,0.189877,1.718575,[62 19] ; [38  6],[64.8 16.2] ; [35.2  8.8],0
p9,1,0.206958,1.592582,[46 32] ; [31 13],[49.2295082 28.7704918] ; [27.7704918 16.2295082],0
p5,1,0.241115,1.374065,[ 6 73] ; [ 6 36],[ 7.83471074 71.16528926] ; [ 4.16528926 37.83471074],0
r1,1,0.267836,1.227797,[49 32] ; [31 13],[51.84 29.16] ; [28.16 15.84],0
a3,1,0.301727,1.066544,[54 25] ; [26 18],[51.38211382 27.61788618] ; [28.61788618 15.38211382],0
a7,1,0.325314,0.967462,[48 33] ; [30 14],[50.544 30.456] ; [27.456 16.544],0
d5,1,0.350328,0.872267,[49 32] ; [29 13],[51.36585366 29.63414634] ; [26.63414634 15.36585366],0
a6,1,0.35551,0.853694,[55 26] ; [25 17],[52.68292683 28.31707317] ; [27.31707317 14.68292683],0
a5,1,0.358419,0.843424,[58 23] ; [28 16],[55.728 25.272] ; [30.272 13.728],0
b4,1,0.451383,0.567177,[48 33] ; [23 21],[46.008 34.992] ; [24.992 19.008],0
n4,1,0.46055,0.544557,[67 14] ; [34 10],[65.448 15.552] ; [35.552  8.448],0
n2,1,0.476343,0.507223,[27 11] ; [9 2],[27.91836735 10.08163265] ; [8.08163265 2.91836735],0
n3,1,0.482843,0.492434,[22 14] ; [8 3],[22.9787234 13.0212766] ; [7.0212766 3.9787234],0
b1,1,0.507167,0.439907,[41 40] ; [25 19],[42.768 38.232] ; [23.232 20.768],0
p12,1,0.564309,0.332298,[ 8 73] ; [ 3 41],[ 7.128 73.872] ; [ 3.872 40.128],0
a4,1,0.59997,0.275042,[38 41] ; [19 25],[36.6097561 42.3902439] ; [20.3902439 23.6097561],0
u2,1,0.680358,0.169724,[11 16] ; [8 9],[11.65909091 15.34090909] ; [7.34090909 9.65909091],0
v3,1,0.7813,0.077076,[26 49] ; [16 27],[26.69491525 48.30508475] ; [15.30508475 27.69491525],0
d4,1,0.791733,0.069728,[54 27] ; [27 15],[53.34146341 27.65853659] ; [27.65853659 14.34146341],0
s4,1,0.815253,0.054595,[12 67] ; [ 6 38],[11.56097561 67.43902439] ; [ 6.43902439 37.56097561],0
n1,1,0.819678,0.051966,[20 17] ; [5 5],[19.68085106 17.31914894] ; [5.31914894 4.68085106],0
r2,1,0.896892,0.016793,[69 12] ; [37  6],[69.24193548 11.75806452] ; [36.75806452  6.24193548],0
n6,1,0.954709,0.003226,[64 17] ; [33  9],[63.87804878 17.12195122] ; [33.12195122  8.87804878],0
d1,1,0.964121,0.002023,[39 42] ; [21 23],[38.88 42.12] ; [21.12 22.88],0
