Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a6,1,5e-06,20.686778,[26 60] ; [102  67],[43.16862745 42.83137255] ; [84.83137255 84.16862745],1
p4,1,0.372726,0.794555,[43 40] ; [77 91],[39.6812749 43.3187251] ; [80.3187251 87.6812749],0
p12,1,0.383182,0.760468,[ 5 79] ; [  6 162],[ 3.66666667 80.33333333] ; [  7.33333333 160.66666667],0
p9,1,0.41634,0.660622,[61 23] ; [126  37],[63.5951417 20.4048583] ; [123.4048583  39.5951417],0
p11,1,0.423893,0.639496,[59 27] ; [124  45],[61.71764706 24.28235294] ; [121.28235294  47.71764706],0
n5,1,0.455929,0.55587,[57 27] ; [106  62],[54.33333333 29.66666667] ; [108.66666667  59.33333333],0
p6,1,0.478582,0.502093,[29 54] ; [ 50 114],[26.5465587 56.4534413] ; [ 52.4534413 111.5465587],0
n4,1,0.552456,0.352935,[55 31] ; [101  67],[52.81889764 33.18110236] ; [103.18110236  64.81889764],0
s2,1,0.59935,0.275978,[35 50] ; [75 93],[36.95652174 48.04347826] ; [73.04347826 94.95652174],0
a1,1,0.604325,0.268522,[ 3 83] ; [  4 165],[ 2.36078431 83.63921569] ; [  4.63921569 164.36078431],0
s7,1,0.613225,0.255505,[28 53] ; [ 61 100],[29.7892562 51.2107438] ; [ 59.2107438 101.7892562],0
p7,1,0.657964,0.196007,[50 32] ; [94 68],[48.39344262 33.60655738] ; [95.60655738 66.39344262],0
v1,1,0.658214,0.195701,[39 46] ; [70 93],[37.35887097 47.64112903] ; [71.64112903 91.35887097],0
a4,1,0.699334,0.149166,[16 70] ; [ 28 140],[14.8976378 71.1023622] ; [ 29.1023622 138.8976378],0
p5,1,0.765695,0.088811,[ 9 75] ; [ 16 152],[ 8.33333333 75.66666667] ; [ 16.66666667 151.33333333],0
s3,1,0.793283,0.06867,[46 38] ; [88 78],[45.024 38.976] ; [88.976 77.024],0
b4,1,0.803012,0.062226,[50 36] ; [101  68],[50.9254902 35.0745098] ; [100.0745098  68.9254902],0
u2,1,0.80955,0.058084,[30 22] ; [52 35],[30.67625899 21.32374101] ; [51.32374101 35.67625899],0
s1,1,0.842677,0.03939,[ 4 80] ; [  7 159],[ 3.696 80.304] ; [  7.304 158.696],0
a8,1,0.921763,0.009646,[ 9 72] ; [ 18 138],[ 9.2278481 71.7721519] ; [ 17.7721519 138.2278481],0
n1,1,0.923242,0.009284,[11 20] ; [15 26],[11.19444444 19.80555556] ; [14.80555556 26.19444444],0
s4,1,0.925705,0.008696,[17 69] ; [ 32 134],[16.72222222 69.27777778] ; [ 32.27777778 133.72222222],0
s8,1,0.92799,0.008168,[27 59] ; [ 54 115],[27.31764706 58.68235294] ; [ 53.68235294 115.31764706],0
n2,1,0.929388,0.007853,[22  9] ; [28 12],[21.83098592  9.16901408] ; [28.16901408 11.83098592],0
p8,1,0.952485,0.003551,[38 47] ; [74 93],[37.77777778 47.22222222] ; [74.22222222 92.77777778],0
p1,1,0.957673,0.002817,[ 7 79] ; [ 14 154],[ 7.11023622 78.88976378] ; [ 13.88976378 154.11023622],0
