Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s6,1,0.000123,14.748753,[256  33] ; [88 32],[243.07090465  45.92909535] ; [100.92909535  19.07090465],1
b3,1,0.131052,2.279998,[ 93 116] ; [27 51],[ 87.38675958 121.61324042] ; [32.61324042 45.38675958],0
p6,1,0.140439,2.173145,[141 145] ; [50 71],[134.21621622 151.78378378] ; [56.78378378 64.21621622],0
p8,1,0.239368,1.38431,[167 119] ; [63 58],[161.62162162 124.37837838] ; [68.37837838 52.62162162],0
u2,1,0.251306,1.316027,[34 15] ; [17 13],[31.63291139 17.36708861] ; [19.36708861 10.63291139],0
u1,1,0.252327,1.310372,[ 77 214] ; [26 97],[ 72.39855072 218.60144928] ; [30.60144928 92.39855072],0
r4,1,0.254288,1.299588,[272  19] ; [111  12],[269.21014493  21.78985507] ; [113.78985507   9.21014493],0
p11,1,0.273042,1.201398,[234  57] ; [93 30],[229.84782609  61.15217391] ; [97.15217391 25.84782609],0
n1,1,0.29395,1.101444,[34 30] ; [12 17],[31.65591398 32.34408602] ; [14.34408602 14.65591398],0
n2,1,0.300559,1.071711,[50 15] ; [25  4],[51.86170213 13.13829787] ; [23.13829787  5.86170213],0
d5,1,0.302478,1.063239,[245  45] ; [98 24],[241.43203883  48.56796117] ; [101.56796117  20.43203883],0
p2,1,0.310656,1.027884,[246  44] ; [109  14],[249.27360775  40.72639225] ; [105.72639225  17.27360775],0
u3,1,0.3135,1.015873,[37 13] ; [19 11],[35. 15.] ; [21.  9.],0
p1,1,0.366343,0.816031,[ 32 257] ; [ 10 113],[ 29.46116505 259.53883495] ; [ 12.53883495 110.46116505],0
r2,1,0.370726,0.801228,[280   7] ; [118   5],[278.6   8.4] ; [119.4   3.6],0
d4,1,0.372204,0.796294,[250  40] ; [101  21],[247.0631068  42.9368932] ; [103.9368932  18.0631068],0
b4,1,0.377546,0.778678,[159 132] ; [73 50],[163.07246377 127.92753623] ; [68.92753623 54.07246377],0
p7,1,0.389419,0.740756,[201  80] ; [80 39],[197.4025  83.5975] ; [83.5975 35.4025],0
b5,1,0.432265,0.616729,[173 118] ; [68 55],[169.39855072 121.60144928] ; [71.60144928 51.39855072],0
r1,1,0.435066,0.609262,[247  43] ; [101  22],[244.35835351  45.64164649] ; [103.64164649  19.35835351],0
d2,1,0.549769,0.357731,[162 129] ; [64 58],[159.23970944 131.76029056] ; [66.76029056 55.23970944],0
a6,1,0.577479,0.310328,[196  94] ; [79 43],[193.56796117  96.43203883] ; [81.43203883 40.56796117],0
s1,1,0.586366,0.296056,[ 13 275] ; [  7 114],[ 14.08312958 273.91687042] ; [  5.91687042 115.08312958],0
a1,1,0.602892,0.270656,[ 18 273] ; [  6 117],[ 16.86956522 274.13043478] ; [  7.13043478 115.86956522],0
b1,1,0.656967,0.197229,[118 173] ; [47 76],[115.97826087 175.02173913] ; [49.02173913 73.97826087],0
p3,1,0.661151,0.192129,[169 122] ; [68 54],[166.99031477 124.00968523] ; [70.00968523 51.99031477],0
r3,1,0.68475,0.164827,[279  12] ; [118   4],[279.72639225  11.27360775] ; [117.27360775   4.72639225],0
d3,1,0.686017,0.163431,[209  82] ; [90 32],[210.67554479  80.32445521] ; [88.32445521 33.67554479],0
a2,1,0.695872,0.152801,[ 82 209] ; [37 86],[ 83.64492754 207.35507246] ; [35.35507246 87.64492754],0
n3,1,0.721284,0.127266,[45 20] ; [19 10],[44.25531915 20.74468085] ; [19.74468085  9.25531915],0
p4,1,0.801827,0.062993,[197  93] ; [82 41],[195.90799031  94.09200969] ; [83.09200969 39.90799031],0
s4,1,0.848311,0.036586,[ 61 228] ; [27 96],[ 61.72815534 227.27184466] ; [26.27184466 96.72815534],0
a8,1,0.860685,0.030801,[ 45 218] ; [18 92],[ 44.42091153 218.57908847] ; [18.57908847 91.42091153],0
a4,1,0.932916,0.007086,[143 148] ; [61 62],[143.39130435 147.60869565] ; [60.60869565 62.39130435],0
n4,1,0.999435,1e-06,[242  47] ; [103  20],[242.00242718  46.99757282] ; [102.99757282  20.00242718],0
