Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p5,1,1e-06,24.470088,[  8 245] ; [16 67],[ 18.07142857 234.92857143] ; [ 5.92857143 77.07142857],1
r1,1,0.15199,2.052162,[187  66] ; [67 15],[191.82686567  61.17313433] ; [62.17313433 19.82686567],0
d2,1,0.190454,1.714104,[ 97 157] ; [38 44],[102.05357143 151.94642857] ; [32.94642857 49.05357143],0
a6,1,0.199973,1.642575,[184  70] ; [54 29],[179.38278932  74.61721068] ; [58.61721068 24.38278932],0
d5,1,0.231838,1.429547,[198  55] ; [70 13],[201.79761905  51.20238095] ; [66.20238095 16.79761905],0
p1,1,0.24549,1.348787,[ 15 238] ; [ 8 75],[ 17.31845238 235.68154762] ; [ 5.68154762 77.31845238],0
u2,1,0.262665,1.254656,[56 43] ; [12 15],[53.42857143 45.57142857] ; [14.57142857 12.42857143],0
a3,1,0.264259,1.246309,[154 100] ; [56 27],[158.27893175  95.72106825] ; [51.72106825 31.27893175],0
r2,1,0.294273,1.099968,[229  21] ; [78  4],[231.1746988  18.8253012] ; [75.8253012  6.1746988],0
p4,1,0.322808,0.977536,[130 122] ; [48 35],[133.89850746 118.10149254] ; [44.10149254 38.89850746],0
u1,1,0.343925,0.895745,[ 27 227] ; [12 71],[ 29.39465875 224.60534125] ; [ 9.60534125 73.39465875],0
b4,1,0.433139,0.614393,[153 101] ; [54 29],[156.01780415  97.98219585] ; [50.98219585 32.01780415],0
n3,1,0.433862,0.612463,[45 15] ; [7 4],[43.94366197 16.05633803] ; [8.05633803 2.94366197],0
u3,1,0.447668,0.57655,[50 48] ; [16 11],[51.744 46.256] ; [14.256 12.744],0
a8,1,0.455653,0.556551,[ 27 205] ; [ 7 74],[ 25.20127796 206.79872204] ; [ 8.79872204 72.20127796],0
n2,1,0.484475,0.488773,[43 17] ; [9 2],[43.94366197 16.05633803] ; [8.05633803 2.94366197],0
p9,1,0.549984,0.357345,[236  17] ; [78  4],[237.14029851  15.85970149] ; [76.85970149  5.14029851],0
a2,1,0.625075,0.238799,[ 43 211] ; [16 67],[ 44.46884273 209.53115727] ; [14.53115727 68.46884273],0
v2,1,0.639913,0.218855,[130 107] ; [42 39],[128.18867925 108.81132075] ; [43.81132075 37.18867925],0
r3,1,0.671137,0.180275,[238  15] ; [77  6],[237.1875  15.8125] ; [77.8125  5.1875],0
b1,1,0.773464,0.082856,[ 87 167] ; [27 56],[ 85.92284866 168.07715134] ; [28.07715134 54.92284866],0
s1,1,0.808896,0.058492,[  4 247] ; [ 1 81],[  3.76876877 247.23123123] ; [ 1.23123123 80.76876877],0
n4,1,0.810018,0.057794,[181  73] ; [58 25],[180.13649852  73.86350148] ; [58.86350148 24.13649852],0
p11,1,0.843156,0.039148,[215  39] ; [71 12],[215.56083086  38.43916914] ; [70.43916914 12.56083086],0
n1,1,0.85543,0.033195,[18 42] ; [3 8],[17.74647887 42.25352113] ; [3.25352113 7.74647887],0
p2,1,0.880068,0.022766,[213  38] ; [71 12],[213.4251497  37.5748503] ; [70.5748503 12.4251497],0
d3,1,0.9478,0.004286,[171  81] ; [56 27],[170.75820896  81.24179104] ; [56.24179104 26.75820896],0
n5,1,0.953428,0.003411,[183  69] ; [60 23],[182.79402985  69.20597015] ; [60.20597015 22.79402985],0
v3,1,0.962988,0.002153,[ 79 165] ; [26 55],[ 78.83076923 165.16923077] ; [26.16923077 54.83076923],0
