Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n4,1,0.0,43.963263,[107   9] ; [14 20],[93.57333333 22.42666667] ; [27.42666667  6.57333333],1
p11,1,0.33116,0.944356,[85 31] ; [22 12],[82.74666667 33.25333333] ; [24.25333333  9.74666667],0
s3,1,0.334051,0.933128,[60 52] ; [15 19],[57.53424658 54.46575342] ; [17.46575342 16.53424658],0
u3,1,0.35092,0.870129,[17 11] ; [7 2],[18.16216216  9.83783784] ; [5.83783784 3.16216216],0
b2,1,0.425662,0.634631,[32 45] ; [ 6 13],[30.47916667 46.52083333] ; [ 7.52083333 11.47916667],0
b3,1,0.425662,0.634631,[32 45] ; [ 6 13],[30.47916667 46.52083333] ; [ 7.52083333 11.47916667],0
p5,1,0.474661,0.511106,[  7 108] ; [ 1 33],[  6.17449664 108.82550336] ; [ 1.82550336 32.17449664],0
r3,1,0.57531,0.313879,[108   7] ; [31  3],[107.28187919   7.71812081] ; [31.71812081  2.28187919],0
a1,1,0.604757,0.267881,[ 10 106] ; [ 2 32],[  9.28 106.72] ; [ 2.72 31.28],0
p6,1,0.658001,0.195961,[25 90] ; [ 6 27],[24.08783784 90.91216216] ; [ 6.91216216 26.08783784],0
d1,1,0.682839,0.166948,[66 50] ; [18 16],[64.96 51.04] ; [19.04 14.96],0
s1,1,0.695171,0.153544,[  5 107] ; [ 1 33],[  4.60273973 107.39726027] ; [ 1.39726027 32.60273973],0
a6,1,0.747445,0.10369,[82 34] ; [25  9],[82.74666667 33.25333333] ; [24.25333333  9.74666667],0
a3,1,0.781415,0.076993,[88 28] ; [25  9],[87.38666667 28.61333333] ; [25.61333333  8.38666667],0
s5,1,0.792397,0.069274,[28 84] ; [ 9 24],[28.57931034 83.42068966] ; [ 8.42068966 24.57931034],0
v1,1,0.823934,0.049501,[65 47] ; [19 15],[64.43835616 47.56164384] ; [19.56164384 14.43835616],0
v4,1,0.834851,0.043466,[108   8] ; [32  2],[108.26666667   7.73333333] ; [31.73333333  2.26666667],0
r2,1,0.871297,0.026248,[110   6] ; [32  2],[109.81333333   6.18666667] ; [32.18666667  1.81333333],0
b1,1,0.881518,0.022215,[46 70] ; [13 21],[45.62666667 70.37333333] ; [13.37333333 20.62666667],0
b4,1,0.922322,0.009508,[74 42] ; [22 12],[74.24 41.76] ; [21.76 12.24],0
b5,1,0.930337,0.007642,[76 40] ; [22 12],[75.78666667 40.21333333] ; [22.21333333 11.78666667],0
v2,1,0.981331,0.000548,[80 33] ; [24 10],[79.94557823 33.05442177] ; [24.05442177  9.94557823],0
